Treatments,Time,CD,CA,EL,DP,BU,PV,CDEVO
BU_1,0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0
BU_1,1,0.0,0.0,0.0,0.0,0.687066679,0.0,0.0
BU_1,2,0.0,0.0,0.0,0.0,0.319433329,0.0,0.0
BU_1,3,0.0,0.0,0.0,0.0,0.305633341,0.0,0.0
BU_1,4,0.0,0.0,0.0,0.0,0.310733341,0.0,0.0
BU_1,5,0.0,0.0,0.0,0.0,0.294333324,0.0,0.0
BU_1,6,0.0,0.0,0.0,0.0,0.318966674,0.0,0.0
BU_1,7,0.0,0.0,0.0,0.0,0.335766666,0.0,0.0
BU_2,0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0
BU_2,1,0.0,0.0,0.0,0.0,0.686666672,0.0,0.0
BU_2,2,0.0,0.0,0.0,0.0,0.320333329,0.0,0.0
BU_2,3,0.0,0.0,0.0,0.0,0.329433327,0.0,0.0
BU_2,4,0.0,0.0,0.0,0.0,0.331133328,0.0,0.0
BU_2,5,0.0,0.0,0.0,0.0,0.297433332,0.0,0.0
BU_2,6,0.0,0.0,0.0,0.0,0.355366665,0.0,0.0
BU_2,7,0.0,0.0,0.0,0.0,0.401666664,0.0,0.0
BU_2,8,0.0,0.0,0.0,0.0,0.378766671,0.0,0.0
BU_3,0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0
BU_3,1,0.0,0.0,0.0,0.0,0.683966642,0.0,0.0
BU_3,2,0.0,0.0,0.0,0.0,0.316233334,0.0,0.0
BU_3,3,0.0,0.0,0.0,0.0,0.322533344,0.0,0.0
BU_3,4,0.0,0.0,0.0,0.0,0.303233318,0.0,0.0
BU_3,5,0.0,0.0,0.0,0.0,0.287133321,0.0,0.0
BU_3,6,0.0,0.0,0.0,0.0,0.306166666,0.0,0.0
BU_3,7,0.0,0.0,0.0,0.0,0.332966678,0.0,0.0
BU_3,8,0.0,0.0,0.0,0.0,0.315666661,0.0,0.0
BU_3,9,0.0,0.0,0.0,0.0,0.287699997,0.0,0.0
BU_3,10,0.0,0.0,0.0,0.0,0.286200017,0.0,0.0
CA_1,0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0,0.0
CA_1,1,0.0,0.05536667,0.0,0.0,0.0,0.0,0.0
CA_1,2,0.0,-0.006166669,0.0,0.0,0.0,0.0,0.0
CA_1,3,0.0,0.026833331,0.0,0.0,0.0,0.0,0.0
CA_1,4,0.0,0.012933336,0.0,0.0,0.0,0.0,0.0
CA_1,5,0.0,0.002933331,0.0,0.0,0.0,0.0,0.0
CA_1,6,0.0,0.022766667,0.0,0.0,0.0,0.0,0.0
CA_1,7,0.0,0.042966664,0.0,0.0,0.0,0.0,0.0
CA_2,0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0,0.0
