Treatments,species,true,pred,stdv
CDanc-BU,BU,0.01384054,0.07701810449361801,0.0776064470410347
CDanc-BU,CD,0.011926127,0.03459819778800011,0.11276353895664215
CDanc-BU,BU,0.23919032533333331,0.500580906867981,0.08138912916183472
CDanc-BU,CD,0.14617634133333332,0.1518230438232422,0.11327577382326126
CDanc-BU,BU,0.906576979,0.6890944242477417,0.07887973636388779
CDanc-BU,CD,0.2886230223333333,0.3537490665912628,0.11393154412508011
CDanc-BU,BU,0.5550739336666667,0.6374816298484802,0.07920024544000626
CDanc-BU,CD,0.5700844056666666,0.3996860384941101,0.11397039145231247
CDanc-CA-BV,CA,0.27386860366666665,0.1353832632303238,0.08242828398942947
CDanc-CA-BV,CD,0.866942195,0.47712355852127075,0.11495357006788254
CDanc-CA-BV,BV,0.251655901,0.7288280725479126,0.1023469865322113
CDanc-CS-BT,BT,1.0745103583333333,1.0198723077774048,0.07232699543237686
CDanc-CS-BT,CD,0.13957183333333334,0.10416924953460693,0.11363872140645981
CDanc-CS-BT,CS,0.017584487666666666,0.0015928015345707536,0.01590445265173912
CDanc-CS-BT-BU-BV,BT,0.827561486,0.8044596910476685,0.07420199364423752
CDanc-CS-BT-BU-BV,BU,0.231113746,0.21237380802631378,0.07840471714735031
CDanc-CS-BT-BU-BV,CD,0.028624202,0.13016782701015472,0.11319701373577118
CDanc-CS-BT-BU-BV,BV,0.12033266166666666,0.08365055173635483,0.10026656836271286
CDanc-CS-BT-BU-BV,CS,0.003834569666666667,0.005251169204711914,0.01588921807706356
CDanc-CS-BT-BU-BV,BT,0.8109950403333334,0.8992308378219604,0.07305456697940826
CDanc-CS-BT-BU-BV,BU,0.22964533433333334,0.16007642447948456,0.07860227674245834
CDanc-CS-BT-BU-BV,CD,0.12679966233333334,0.12690357863903046,0.11344683170318604
CDanc-CS-BT-BU-BV,BV,0.044038447,0.00817720964550972,0.0997321680188179
CDanc-CS-BT-BU-BV,CS,0.004388196,0.0009744964772835374,0.015871308743953705
CDanc-DP-BV,CD,0.48101326133333333,0.5352434515953064,0.11433611065149307
CDanc-DP-BV,BV,0.6386184433333333,0.6051495671272278,0.10598818957805634
CDanc-DP-BV,DP,0.02553496566666667,0.04609530046582222,0.036306366324424744
CDanc-CH,CD,0.010875525333333335,0.030647581443190575,0.11148454248905182
CDanc-CH,CH,0.0016911413333333333,0.022364646196365356,0.04743361100554466
CDanc-CH,CD,0.11055987333333332,0.14114917814731598,0.11199644953012466
CDanc-CH,CH,0.005306793666666666,0.08659838140010834,0.047867730259895325
CDanc-CH,CD,0.2680235875,0.1684526652097702,0.12531907856464386
CDanc-CH,CH,0.15235974116666667,0.524642288684845,0.05155134201049805
CDanc-CS-CH-CA,CA,0.11675274866666667,0.21981841325759888,0.08582673966884613
CDanc-CS-CH-CA,CD,0.512658926,0.2817683219909668,0.11325334757566452
