Treatments,species,true,pred,stdv
CDanc-BU,BU,0.01384054,0.07133122,0.050679136
CDanc-BU,CD,0.011926127,0.03456374,0.09164871
CDanc-BU,BU,0.2391903253333333,0.43210948,0.05366586
CDanc-BU,CD,0.1461763413333333,0.16351189,0.09215999
CDanc-BU,BU,0.906576979,0.48021358,0.05870628
CDanc-BU,CD,0.2886230223333333,0.4240377,0.093098685
CDanc-BU,BU,0.5550739336666667,0.38408327,0.064901635
CDanc-BU,CD,0.5700844056666666,0.46013725,0.092899196
CDanc-CA-BV,CA,0.2738686036666666,0.012270995,0.0625912
CDanc-CA-BV,CD,0.866942195,0.626257,0.09948705
CDanc-CA-BV,BV,0.251655901,0.6905935,0.087118655
CDanc-CS-BT,BT,1.0745103583333333,1.1420742,0.057332076
CDanc-CS-BT,CD,0.1395718333333333,0.17013347,0.094392106
CDanc-CS-BT,CS,0.0175844876666666,0.0012798837,0.015650697
CDanc-CS-BT-BU-BV,BT,0.827561486,0.8029048,0.05950696
CDanc-CS-BT-BU-BV,BU,0.231113746,0.23744686,0.05350055
CDanc-CS-BT-BU-BV,CD,0.028624202,0.068737686,0.09245031
CDanc-CS-BT-BU-BV,BV,0.1203326616666666,0.14684394,0.08443594
CDanc-CS-BT-BU-BV,CS,0.0038345696666666,0.0020913985,0.015597612
CDanc-CS-BT-BU-BV,BT,0.8109950403333334,0.8503082,0.060982533
CDanc-CS-BT-BU-BV,BU,0.2296453343333333,0.22501096,0.056270737
CDanc-CS-BT-BU-BV,CD,0.1267996623333333,0.061505985,0.09324064
CDanc-CS-BT-BU-BV,BV,0.044038447,0.06062169,0.084403746
CDanc-CS-BT-BU-BV,CS,0.004388196,0.00032391577,0.015578926
CDanc-DP-BV,CD,0.4810132613333333,0.66652155,0.09463887
CDanc-DP-BV,BV,0.6386184433333333,0.63228,0.08458411
CDanc-DP-BV,DP,0.0255349656666666,0.0051082075,0.029998122
CDanc-CH,CD,0.0108755253333333,0.03193183,0.09329255
CDanc-CH,CH,0.0016911413333333,0.021904267,0.043701652
CDanc-CH,CD,0.1105598733333333,0.16428316,0.09381372
CDanc-CH,CH,0.0053067936666666,0.079323396,0.044088196
CDanc-CH,CD,0.2680235875,0.6138656,0.10090533
CDanc-CH,CH,0.1523597411666666,0.24191314,0.096461535
CDanc-CS-CH-CA,CA,0.1167527486666666,0.23175797,0.081549436
CDanc-CS-CH-CA,CD,0.512658926,0.31413418,0.09644314
CDanc-CS-CH-CA,CS,0.0108147796666666,0.009405587,0.017432166
CDanc-CS-CH-CA,CH,0.0081068913333333,0.12831923,0.045826167
CDanc-CS-CH-CA,CA,0.2323346883333333,0.37122792,0.076336525
CDanc-CS-CH-CA,CD,0.3993181489999999,0.17404544,0.09976963
CDanc-CS-CH-CA,CS,0.0125865546666666,8.130719e-06,0.017104045
CDanc-CS-CH-CA,CH,0.0370272686666666,0.12639347,0.048839096
CDanc-CS-DP-BU-BV,BU,0.5796566586666667,0.41564906,0.077974655
CDanc-CS-DP-BU-BV,CD,0.3312349636666666,0.26025006,0.098896325
CDanc-CS-DP-BU-BV,BV,0.1930094116666666,0.50128245,0.09263822
CDanc-CS-DP-BU-BV,CS,0.0073753603333333,0.01170213,0.017208068
CDanc-CS-DP-BU-BV,DP,0.0144568966666666,0.026350902,0.030640999
CDanc-CS-DP-BU-BV,BU,0.4053927856666666,0.36469063,0.0849064
CDanc-CS-DP-BU-BV,CD,0.2129560173333333,0.41941497,0.10294132
CDanc-CS-DP-BU-BV,BV,0.482798196,0.47441894,0.100430995
CDanc-CS-DP-BU-BV,CS,0.0055125123333333,0.005698293,0.017396634
CDanc-CS-DP-BU-BV,DP,0.010640477,0.02098053,0.03162666
CDanc-CS-DP-BU-CA,CA,0.0639189053333333,0.07679503,0.070442684
CDanc-CS-DP-BU-CA,BU,0.6999724296666666,0.7474547,0.07451653
CDanc-CS-DP-BU-CA,CD,0.344776989,0.23883498,0.094711185
CDanc-CS-DP-BU-CA,CS,0.0069077723333333,0.014222481,0.01715451
CDanc-CS-DP-BU-CA,DP,0.025790539,0.042530693,0.030645693
CDanc-CS-DP-BU-CA,CA,0.1470660503333333,0.23045515,0.07424327
CDanc-CS-DP-BU-CA,BU,0.6719134353333334,0.6582825,0.08838655
CDanc-CS-DP-BU-CA,CD,0.2950063893333333,0.17982464,0.10283778
CDanc-CS-DP-BU-CA,CS,0.004858378,0.0074470057,0.01769206
CDanc-CS-DP-BU-CA,DP,0.049189064,0.057274222,0.034613762
CDanc-DP-BT-BU-BV-CA,CA,0.0134859223333333,0.0101029165,0.069688395
CDanc-DP-BT-BU-BV-CA,BT,0.8242452533333333,0.81683695,0.06124222
CDanc-DP-BT-BU-BV-CA,BU,0.2584100883333333,0.2538905,0.07432472
CDanc-DP-BT-BU-BV-CA,CD,0.0501177603333333,0.045992263,0.0936208
CDanc-DP-BT-BU-BV-CA,BV,0.028904523,0.10704012,0.089667864
CDanc-DP-BT-BU-BV-CA,DP,0.0097697923333333,0.011573998,0.030479869
CDanc-DP-BT-BU-BV-CA,CA,0.030624101,0.013203868,0.070067644
CDanc-DP-BT-BU-BV-CA,BT,0.7609332206666667,0.8271608,0.060588334
CDanc-DP-BT-BU-BV-CA,BU,0.2350497873333333,0.26347747,0.074243665
CDanc-DP-BT-BU-BV-CA,CD,0.0875741773333333,0.050643627,0.09443065
CDanc-DP-BT-BU-BV-CA,BV,0.043914841,0.025052221,0.08908358
CDanc-DP-BT-BU-BV-CA,DP,0.0101705223333333,0.0023793085,0.03039649
CDanc-CH-BU-CA,CA,0.0706410106666666,0.051000584,0.06988407
CDanc-CH-BU-CA,BU,0.8270080633333333,0.65165544,0.078527994
CDanc-CH-BU-CA,CD,0.256375515,0.31518093,0.103355646
CDanc-CH-BU-CA,CH,0.013908751,0.08543689,0.043499473
CDanc-CH-BU-CA,CA,0.127526479,0.27805477,0.09677452
CDanc-CH-BU-CA,BU,0.7725607923333332,0.4829841,0.11435089
CDanc-CH-BU-CA,CD,0.2300630743333333,0.22628511,0.1147734
CDanc-CH-BU-CA,CH,0.0087829896666666,0.103289306,0.06507289
CDanc-CH-DP-BT-BU,BT,0.8367495453333333,0.9031675,0.05652147
CDanc-CH-DP-BT-BU,BU,0.2360033016666666,0.25107107,0.07620917
CDanc-CH-DP-BT-BU,CD,0.0665852413333333,0.01884614,0.10193243
CDanc-CH-DP-BT-BU,DP,0.005865259,0.014502515,0.030768383
CDanc-CH-DP-BT-BU,CH,0.0076966676666666,0.016268501,0.04279103
CDanc-CH-DP-BT-BU,BT,0.7793354386666667,0.8626529,0.05724044
CDanc-CH-DP-BT-BU,BU,0.2288014903333333,0.24606694,0.07744185
CDanc-CH-DP-BT-BU,CD,0.0906062306666666,0.0081179235,0.10197718
CDanc-CH-DP-BT-BU,DP,0.0061765809999999,0.0052061495,0.030740334
CDanc-CH-DP-BT-BU,CH,0.007013565,0.013775508,0.04315924
CDanc-CS-CA,CA,0.16119765,0.122791484,0.0712515
CDanc-CS-CA,CD,0.4566381055,0.41227078,0.10309334
CDanc-CS-CA,CS,0.0170642329999999,0.0127481865,0.016171742
CDanc-CS-CA,CA,0.2132283283333333,0.17535497,0.069497116
CDanc-CS-CA,CD,0.353061659,0.4402184,0.10326267
CDanc-CS-CA,CS,0.00917668,7.596097e-05,0.0156223
CDanc-DP-BT-CA,CA,0.0301693126666666,0.01854431,0.06825384
CDanc-DP-BT-CA,BT,1.0425896666666663,1.098608,0.056755632
CDanc-DP-BT-CA,CD,0.0739408693333333,0.044928625,0.10252699
CDanc-DP-BT-CA,DP,0.0093001643333333,0.024897479,0.030933626
CDanc-DP-BT-CA,CA,0.15603343,0.02874179,0.070732236
CDanc-DP-BT-CA,BT,0.936693735,1.0506992,0.056734346
CDanc-DP-BT-CA,CD,0.0511635353333333,0.054541912,0.106702715
CDanc-DP-BT-CA,DP,0.007675959,0.012723501,0.031452443
CS-CH-DP-BT-BU-BV-CA,CA,0.013172101,0.008582619,0.06804931
CS-CH-DP-BT-BU-BV-CA,BT,0.771952514,0.8397939,0.055444494
CS-CH-DP-BT-BU-BV-CA,BU,0.318997774,0.2669627,0.0756465
CS-CH-DP-BT-BU-BV-CA,BV,0.0228337773333333,0.06883053,0.096774176
CS-CH-DP-BT-BU-BV-CA,CS,0.0034693886666666,0.0032009687,0.015635084
CS-CH-DP-BT-BU-BV-CA,DP,0.0128857426666666,0.010527709,0.030654043
CS-CH-DP-BT-BU-BV-CA,CH,0.0208553463333333,0.011459153,0.042744715
CS-CH-DP-BT-BU-BV-CA,CA,0.0265179923333333,0.0068115154,0.06812202
CS-CH-DP-BT-BU-BV-CA,BT,0.7566428406666668,0.81385446,0.05533518
CS-CH-DP-BT-BU-BV-CA,BU,0.2779267853333333,0.28529567,0.075593606
CS-CH-DP-BT-BU-BV-CA,BV,0.0297728953333333,0.016196167,0.09660367
CS-CH-DP-BT-BU-BV-CA,CS,0.0041761283333333,0.0016850869,0.01563581
CS-CH-DP-BT-BU-BV-CA,DP,0.013691634,0.0033918996,0.0306437
CS-CH-DP-BT-BU-BV-CA,CH,0.0626050313333333,0.008081945,0.042832084
CDanc-CA-CH,CA,0.424318691,0.15863557,0.07097972
CDanc-CA-CH,CD,0.210783265,0.43627176,0.10078281
CDanc-CA-CH,CH,0.1167313586666666,0.0005248938,0.042379446
CDanc-CH-BT,BT,0.995231217,1.1293619,0.05740647
CDanc-CH-BT,CD,0.069565715,0.18674871,0.10146837
CDanc-CH-BT,CH,0.1269363829999999,2.9950484e-06,0.042369366
CDanc-CS-DP-BT,BT,1.0853958046666663,1.1435764,0.05741728
CDanc-CS-DP-BT,CD,0.064206932,0.05299255,0.09989333
CDanc-CS-DP-BT,CS,0.006222838,0.013194284,0.015726678
CDanc-CS-DP-BT,DP,0.0102077673333333,0.021937607,0.030656686
CDanc-CS-DP-BT,BT,1.0609543316666663,1.1192281,0.058884583
CDanc-CS-DP-BT,CD,0.080568068,0.05991012,0.103266135
CDanc-CS-DP-BT,CS,0.006715382,0.016699346,0.017846838
CDanc-CS-DP-BT,DP,0.010095554,0.009099515,0.030839646
CDanc-DP-CS,CD,0.3256040206666666,0.42235714,0.10156651
CDanc-DP-CS,CS,0.0269486896666666,0.0050586932,0.016400406
CDanc-DP-CS,DP,0.168847279,0.21705252,0.032307204
CH-DP-BT-BU-BV-CA,CA,0.007331443,0.00571018,0.06974567
CH-DP-BT-BU-BV-CA,BT,0.8129144949999999,0.8144878,0.056652274
CH-DP-BT-BU-BV-CA,BU,0.3100528113333333,0.2938093,0.07902549
CH-DP-BT-BU-BV-CA,BV,0.0254561843333333,0.069714166,0.09629266
CH-DP-BT-BU-BV-CA,DP,0.0114753046666666,0.0108411005,0.030443007
CH-DP-BT-BU-BV-CA,CH,0.0112030956666666,0.008255999,0.042512
CH-DP-BT-BU-BV-CA,CA,0.014603722,0.002672458,0.06976041
CH-DP-BT-BU-BV-CA,BT,0.8086059533333333,0.7874282,0.056655757
CH-DP-BT-BU-BV-CA,BU,0.2636546773333333,0.30906004,0.07885897
CH-DP-BT-BU-BV-CA,BV,0.0406046363333333,0.016050976,0.095961794
CH-DP-BT-BU-BV-CA,DP,0.0105450076666666,0.0031601,0.030411644
CH-DP-BT-BU-BV-CA,CH,0.0382193293333333,0.004766605,0.04251395
CDanc-BT-BU-CA,CA,0.0123599013333333,0.0693595,0.064166255
CDanc-BT-BU-CA,BT,0.8752898330000001,0.6088408,0.07174363
CDanc-BT-BU-CA,BU,0.3005979206666666,0.32034084,0.078983106
CDanc-BT-BU-CA,CD,0.0182523536666666,0.18616112,0.097431
CDanc-BT-BU-CA,CA,0.0224776123333333,0.25959563,0.080579445
CDanc-BT-BU-CA,BT,0.870774072,0.4525443,0.19970636
CDanc-BT-BU-CA,BU,0.280299824,0.24327812,0.12617028
CDanc-BT-BU-CA,CD,0.0640484953333333,0.22656466,0.12053934
CDanc-CA,CA,0.0007394356666666,0.012116638,0.061264873
CDanc-CA,CD,0.0063272313333333,0.036980346,0.09563809
CDanc-CA,CA,0.001990791,0.029049955,0.06130029
CDanc-CA,CD,0.1024425423333333,0.2088275,0.09635785
CDanc-CA,CA,0.1152441506666666,0.14232808,0.065925725
CDanc-CA,CD,0.549155846,0.63904554,0.09723066
CDanc-CA,CA,0.100640184,0.25870758,0.06824072
CDanc-CA,CD,0.3728166679999999,0.64547884,0.09787584
CDanc-CA-BT,CA,0.144471694,0.32101968,0.113253415
CDanc-CA-BT,BT,0.9576480813333332,0.721475,0.15870641
CDanc-CA-BT,CD,0.098946912,0.22026318,0.13328977
CDanc-CS-BT-BU-CA,CA,0.0199631849999999,0.04673767,0.062239666
CDanc-CS-BT-BU-CA,BT,0.939492982,0.71209985,0.06228487
CDanc-CS-BT-BU-CA,BU,0.2434409813333333,0.29050994,0.07820858
CDanc-CS-BT-BU-CA,CD,0.029092715,0.1251182,0.09658747
CDanc-CS-BT-BU-CA,CS,0.0044768173333333,0.008818748,0.017044928
CDanc-CS-BT-BU-CA,CA,0.0325150763333333,0.20471832,0.080681495
CDanc-CS-BT-BU-CA,BT,0.878763656,0.58443534,0.12648785
CDanc-CS-BT-BU-CA,BU,0.2180592803333333,0.22472733,0.09889237
CDanc-CS-BT-BU-CA,CD,0.0924432503333333,0.16100115,0.1079233
CDanc-CS-BT-BU-CA,CS,0.004085408,0.0040912437,0.017324558
CDanc-DP-CH,CD,0.2034449163333333,0.41067627,0.096842974
CDanc-DP-CH,DP,0.3383849663333333,0.21093114,0.03003543
CDanc-DP-CH,CH,0.142603453,9.865369e-07,0.043815363
CDanc-BT-BV,BT,0.9901584073333334,1.05507,0.062279556
