Param name,Param value,Param stdv,Param p-value,CA,BT,BU,CD,BV,CS,DP,CH,CA*CA,CA*BT,CA*BU,CA*CD,CA*BV,CA*CS,CA*DP,CA*CH,BT*CA,BT*BT,BT*BU,BT*CD,BT*BV,BT*CS,BT*DP,BT*CH,BU*CA,BU*BT,BU*BU,BU*CD,BU*BV,BU*CS,BU*DP,BU*CH,CD*CA,CD*BT,CD*BU,CD*CD,CD*BV,CD*CS,CD*DP,CD*CH,BV*CA,BV*BT,BV*BU,BV*CD,BV*BV,BV*CS,BV*DP,BV*CH,CS*CA,CS*BT,CS*BU,CS*CD,CS*BV,CS*CS,CS*DP,CS*CH,DP*CA,DP*BT,DP*BU,DP*CD,DP*BV,DP*CS,DP*DP,DP*CH,CH*CA,CH*BT,CH*BU,CH*CD,CH*BV,CH*CS,CH*DP,CH*CH
CA,0.285665048,0.014863513,2.56E-82,0.000220924,9.11E-07,6.55E-06,9.04E-06,6.63E-06,-6.13E-07,1.07E-05,8.67E-06,-0.00062329,-0.000219583,-8.55E-05,-0.000266771,-4.81E-05,-0.006331882,-0.000473504,-0.000694581,8.19E-05,-1.48E-06,2.79E-06,8.62E-08,1.22E-05,-0.000128679,0.000126986,5.25E-05,0.000140878,-5.95E-06,8.40E-07,1.88E-07,-2.97E-07,-0.000527822,0.000156735,8.65E-05,1.57E-05,-7.62E-06,1.22E-05,-4.86E-06,4.70E-06,-0.000120817,-3.04E-05,4.16E-05,-4.46E-05,-1.16E-05,-5.63E-06,1.21E-06,-7.60E-06,0.00013252,-8.41E-05,3.44E-07,0.000302334,-2.87E-06,1.03E-05,1.28E-05,-5.96E-07,1.90E-06,-3.11E-05,3.27E-05,-9.83E-07,-9.72E-06,1.28E-06,-1.01E-05,1.78E-06,-0.000140467,-3.46E-05,0.000135196,-1.30E-05,-1.08E-05,1.23E-05,1.12E-05,1.17E-05,-0.00012906,0.000304496,-2.02E-05
BT,0.994363562,0.016464217,0,9.11E-07,0.00027107,5.75E-05,2.06E-06,1.42E-05,-2.55E-07,-2.60E-06,-1.94E-06,-5.95E-06,1.25E-05,1.57E-06,4.28E-07,-1.24E-06,1.36E-05,-2.74E-06,-1.62E-05,-1.13E-05,-0.000252997,-0.00023626,-7.52E-05,-0.000327772,-0.003089103,-0.001274575,-0.000271815,-3.66E-05,-3.77E-05,-5.51E-05,-4.25E-05,-5.08E-05,0.000383726,-8.02E-05,-2.37E-05,-1.42E-05,2.88E-05,1.13E-05,-4.89E-06,4.95E-07,9.05E-05,-1.33E-06,-3.51E-07,-3.32E-05,7.78E-05,6.85E-06,-1.75E-05,-8.69E-06,2.36E-05,4.52E-05,-1.70E-05,-1.99E-05,0.000111039,7.35E-06,8.05E-06,2.02E-06,7.93E-07,6.43E-05,1.18E-05,-4.51E-06,0.000111864,1.61E-05,1.29E-06,1.05E-05,0.000227412,1.04E-05,1.13E-05,-8.30E-06,6.03E-05,1.50E-05,6.97E-06,1.87E-07,7.61E-05,8.05E-05,4.20E-06
BU,0.930646096,0.014783325,0,6.55E-06,5.75E-05,0.000218547,2.46E-05,5.06E-05,7.89E-07,1.10E-05,4.75E-06,-3.53E-05,-2.51E-06,2.08E-06,3.84E-06,-6.45E-06,-0.000185267,-2.64E-05,4.78E-05,-9.73E-06,-6.65E-05,-7.12E-06,2.18E-05,2.97E-05,0.002832815,0.001905778,0.000695884,-0.000167203,-0.000187943,-0.00018173,-0.000229889,-0.000192439,-0.002089919,-0.000681936,-0.000146762,-4.92E-05,-2.33E-05,-5.24E-06,-2.32E-05,-1.62E-05,-0.000577474,-8.74E-05,-1.75E-05,-7.85E-05,2.04E-05,-2.91E-05,-6.28E-05,-3.33E-05,-8.05E-05,0.000210606,-4.88E-05,1.65E-05,-1.25E-05,-4.33E-06,4.36E-06,-5.76E-06,-2.45E-06,0.000121772,2.91E-05,-2.58E-05,-3.07E-05,2.79E-05,-9.39E-06,1.97E-05,-0.000235748,-3.92E-05,-4.84E-07,-1.40E-05,-2.77E-05,2.01E-05,2.95E-05,9.10E-07,-0.000288379,0.000243066,-1.19E-05
CD,0.665805223,0.013835998,0,9.04E-06,2.06E-06,2.46E-05,0.000191435,1.81E-06,1.46E-06,4.56E-05,2.41E-05,-3.63E-05,-1.14E-05,-9.34E-06,2.26E-05,-8.73E-06,9.88E-05,-0.000158018,-1.49E-05,-3.77E-05,-2.58E-06,-2.84E-06,-1.16E-05,-5.67E-06,0.00044377,-0.000121315,4.12E-05,-0.000100599,-2.03E-05,-1.45E-05,2.31E-05,-1.50E-05,-0.000423069,-0.000124396,-6.17E-05,-0.000498129,-0.000187307,-0.000175989,-0.000131661,-9.15E-05,-0.004674772,-0.000690555,-0.000794147,-2.71E-05,7.06E-06,-8.79E-07,2.30E-06,2.18E-06,3.59E-05,0.000198793,-2.62E-05,9.09E-06,1.12E-05,-2.06E-05,6.34E-05,-3.40E-07,-4.55E-06,0.000435809,-8.82E-05,-0.000135663,-4.15E-05,-5.04E-05,-2.64E-05,-2.90E-05,-0.000638546,-0.000163863,2.89E-05,0.000137254,-1.79E-05,-2.75E-05,8.99E-05,-4.71E-05,-0.001400433,0.001381434,-5.34E-05
BV,0.955575788,0.02197588,0,6.63E-06,1.42E-05,5.06E-05,1.81E-06,0.000482939,3.53E-07,2.10E-05,-1.08E-05,-8.76E-05,-7.52E-07,1.13E-06,-2.93E-06,1.29E-05,0.000622425,2.02E-05,0.000113298,-9.02E-05,-1.93E-05,1.10E-05,-1.35E-06,0.000140064,0.000842136,0.000995607,7.90E-05,-0.000187921,-3.81E-05,-3.86E-05,-0.000109189,0.000131014,-0.000920004,0.000243289,-3.96E-05,-2.67E-05,-6.51E-07,-1.09E-05,3.17E-06,-3.68E-06,-0.000206073,-3.42E-05,-9.58E-05,-2.20E-05,-0.000596372,-0.000447958,-0.000320973,-0.000432739,-0.000659369,-0.00258416,-0.000390546,-2.05E-06,-1.47E-05,8.74E-06,-9.34E-06,1.29E-05,-1.09E-06,-9.36E-05,-4.79E-07,-5.03E-05,-2.25E-05,-1.51E-05,-3.27E-05,2.31E-05,-5.51E-05,-6.54E-05,-0.00013663,0.000152791,1.28E-05,-3.92E-06,7.25E-06,-5.30E-05,-0.000244051,-0.002160747,2.72E-05
CS,0.307277556,0.003518953,0,-6.13E-07,-2.55E-07,7.89E-07,1.46E-06,3.53E-07,1.24E-05,7.68E-07,1.29E-06,9.55E-06,5.69E-07,1.12E-07,-1.14E-06,9.46E-07,-0.000132103,-3.29E-06,-1.24E-05,-5.97E-07,2.93E-07,2.42E-07,-3.32E-07,4.02E-07,-8.65E-05,7.54E-06,-3.04E-06,-4.95E-06,-8.98E-07,-5.92E-07,-2.66E-06,1.88E-06,0.000101114,-5.33E-06,-2.08E-06,-5.61E-06,-1.55E-06,-2.69E-06,-1.61E-06,-1.66E-07,0.00016217,-5.70E-06,-3.76E-07,-1.16E-06,-1.69E-07,-2.46E-07,-3.23E-08,-1.93E-07,-5.04E-06,9.04E-06,-1.56E-08,-3.09E-05,-1.58E-05,-1.03E-05,-3.25E-05,-5.29E-06,-3.87E-05,-0.000134483,-3.93E-05,-3.24E-06,-7.61E-07,-1.52E-06,-8.02E-07,4.66E-07,6.75E-05,-2.80E-06,-5.84E-06,-1.26E-05,-1.05E-06,-2.51E-06,-8.45E-07,8.23E-07,0.000193124,-2.24E-06,-3.05E-06
DP,0.505820891,0.013919644,3.97E-289,1.07E-05,-2.60E-06,1.10E-05,4.56E-05,2.10E-05,7.68E-07,0.000193756,1.15E-05,-6.41E-05,-1.36E-05,-4.10E-06,8.72E-07,-4.63E-06,0.000290667,-0.000119139,-2.28E-05,-3.02E-05,5.90E-06,1.16E-06,-4.24E-06,-4.18E-05,0.000572062,-0.001636065,-1.78E-05,-2.42E-05,-9.55E-06,-7.92E-06,8.78E-06,-1.85E-05,-0.000172023,-0.000453165,-8.12E-06,-0.000101277,-4.32E-05,-3.81E-05,-3.19E-05,-1.89E-05,-0.000846905,-0.000220605,-0.000107057,-4.77E-05,-1.90E-05,-2.76E-05,-1.36E-05,-1.88E-05,-0.000223857,0.000577139,-6.12E-06,-9.11E-07,5.06E-06,-2.10E-05,3.13E-05,5.58E-06,-2.40E-06,0.000659191,1.95E-05,-0.000277063,-0.000197815,-0.000153171,-0.000194145,-0.000108558,-0.005102115,-0.000676455,-0.001095928,-5.99E-06,-8.14E-06,-1.65E-05,3.45E-05,-5.44E-06,-0.000610434,0.003131525,-2.51E-05
CH,0.506137726,0.013839721,8.15E-293,8.67E-06,-1.94E-06,4.75E-06,2.41E-05,-1.08E-05,1.29E-06,1.15E-05,0.000191538,-4.61E-05,-1.19E-05,-7.69E-06,-1.81E-06,-1.12E-06,0.000322582,-2.74E-05,-0.000242885,3.62E-05,3.42E-06,-2.12E-06,-1.22E-06,-2.11E-05,5.28E-05,-8.35E-05,-0.000700542,5.08E-05,-5.89E-06,-3.26E-06,1.12E-07,-8.38E-06,1.18E-05,-0.000131551,-0.000402712,-4.66E-05,-2.05E-05,-2.57E-05,-5.19E-06,-3.00E-05,-0.001199674,-9.85E-05,-5.46E-05,-4.23E-05,1.55E-05,8.59E-06,4.92E-06,1.36E-05,1.77E-05,9.69E-05,4.95E-05,3.05E-05,3.49E-06,-5.37E-06,-2.92E-05,1.07E-05,-4.00E-06,-8.22E-05,-0.000128858,-2.17E-05,-1.06E-05,-1.22E-05,-5.92E-06,-1.14E-05,-0.000600669,-4.01E-05,-2.43E-05,-0.00049886,-0.000174418,-0.000154672,-0.0004721,-4.58E-05,-0.00340614,-0.002606694,-0.000412269
CA*CA,-1.391667894,0.12430074,4.27E-29,-0.00062329,-5.95E-06,-3.53E-05,-3.63E-05,-8.76E-05,9.55E-06,-6.41E-05,-4.61E-05,0.015450675,0.000657638,2.15E-06,-0.002005432,0.000191434,-0.010518064,-0.008154005,-0.010962865,5.11E-05,8.78E-06,-2.22E-05,-9.04E-06,-0.000108823,0.000968745,-0.000928011,-0.000369107,-0.000195832,2.32E-05,1.30E-05,-1.60E-06,-6.17E-05,0.003355298,-0.001062298,-0.000831862,0.000701516,2.69E-05,-8.99E-05,7.82E-05,-0.000158018,-0.001196668,-0.000360977,-0.000850335,0.000605613,0.000104435,0.000144212,4.08E-05,6.54E-05,-0.001541736,5.17E-05,7.61E-05,-0.004056143,4.74E-05,-7.80E-05,-0.000136041,6.62E-05,-2.97E-05,0.000303945,-0.000586587,0.00021479,6.74E-05,5.49E-05,-3.08E-05,-6.09E-05,-0.001583294,0.00022281,-0.001119395,-0.000649572,4.00E-05,-5.11E-05,-0.000197781,-0.000187064,-0.000480414,-0.001267926,0.000107581
CA*BT,-0.205037375,0.026750464,1.79E-14,-0.000219583,1.25E-05,-2.51E-06,-1.14E-05,-7.52E-07,5.69E-07,-1.36E-05,-1.19E-05,0.000657638,0.000715587,5.95E-05,0.000250632,6.90E-05,0.002948344,0.00045681,0.000565978,0.000919889,1.15E-05,-2.18E-05,-1.73E-05,-0.000102148,0.00127656,-0.000400307,1.75E-05,-8.94E-05,3.89E-05,-9.65E-06,8.99E-06,-2.04E-05,0.000378883,-0.000265756,-2.61E-05,-4.38E-05,5.56E-05,-9.81E-06,8.78E-06,-7.39E-06,-3.62E-05,2.86E-05,-9.31E-05,0.000105132,-1.38E-05,1.83E-06,-9.43E-06,2.99E-06,-0.000135726,-3.18E-05,-1.21E-05,-0.000265087,-0.000112371,-8.66E-06,-2.38E-05,6.76E-07,-1.77E-06,3.13E-05,-7.21E-05,-2.27E-05,4.62E-05,1.85E-06,1.13E-05,2.08E-06,3.17E-05,4.52E-05,-6.77E-05,-2.35E-05,6.60E-05,-1.14E-05,-2.26E-05,-2.15E-05,7.35E-05,8.97E-06,2.81E-05
