Param name,Param value,Param stdv,Param p-value,CA,BT,BU,CD,BV,CS,DP,CH,CA*CA,CA*BT,CA*BU,CA*CD,CA*BV,CA*CS,CA*DP,CA*CH,BT*CA,BT*BT,BT*BU,BT*CD,BT*BV,BT*CS,BT*DP,BT*CH,BU*CA,BU*BT,BU*BU,BU*CD,BU*BV,BU*CS,BU*DP,BU*CH,CD*CA,CD*BT,CD*BU,CD*CD,CD*BV,CD*CS,CD*DP,CD*CH,BV*CA,BV*BT,BV*BU,BV*CD,BV*BV,BV*CS,BV*DP,BV*CH,CS*CA,CS*BT,CS*BU,CS*CD,CS*BV,CS*CS,CS*DP,CS*CH,DP*CA,DP*BT,DP*BU,DP*CD,DP*BV,DP*CS,DP*DP,DP*CH,CH*CA,CH*BT,CH*BU,CH*CD,CH*BV,CH*CS,CH*DP,CH*CH
CA,0.2855277673259472,0.014260426,3.5147453435493436e-89,0.00020335974,7.6363204e-07,6.2976947e-06,8.524008e-06,6.6196235e-06,-6.0024746e-07,1.1234386e-05,9.379082e-06,-0.00066506874,-0.00020229239,-8.2372026e-05,-0.00021853646,-5.0561284e-05,-0.0056181494,-0.00039985956,-0.0005653788,7.92567e-05,-1.2334659e-06,1.4533692e-06,2.145521e-07,9.868507e-06,-0.0001223913,8.976787e-05,5.0783303e-05,0.00016422785,-6.0978446e-06,4.178225e-07,2.2764268e-06,-1.4302187e-06,-0.00051395025,0.00013450063,8.562847e-05,4.196725e-05,-7.487008e-06,1.1957991e-05,-4.0852697e-06,5.503704e-06,-0.0001012184,-2.683648e-05,5.5103486e-05,-4.7480255e-05,-1.0870318e-05,-5.7190528e-06,1.1037754e-06,-7.416318e-06,0.00012674712,-6.552732e-05,-1.1652675e-06,0.000395513,-3.230186e-06,1.0560302e-05,1.3526332e-05,-2.2769236e-06,1.8543564e-06,-3.0398605e-05,3.7856706e-05,2.173191e-05,-1.0558388e-05,1.4998404e-06,-1.0061716e-05,1.9810898e-06,-0.0001720316,-3.6419096e-05,0.00010244528,-4.0788895e-05,-1.0990237e-05,1.0831989e-05,1.1966589e-05,1.3850522e-05,-0.00010758649,0.000410964,-2.183905e-05
BT,0.9946754251063121,0.0164677,0.0,7.6363204e-07,0.00027118516,5.748946e-05,2.010798e-06,1.432625e-05,-2.7259784e-07,-2.8151148e-06,-1.7843844e-06,-4.2256825e-06,1.3445405e-05,1.7684472e-06,1.4724972e-07,-1.1515771e-06,5.5276746e-06,-3.5970272e-06,-1.4182798e-05,-5.336611e-06,-0.00025344876,-0.00023612469,-7.196244e-05,-0.0003273563,-0.0030619432,-0.0013920804,-0.00022021354,-3.5019577e-05,-3.7521866e-05,-5.4865646e-05,-4.2573756e-05,-5.1061073e-05,0.00039033566,-9.060769e-05,-2.711026e-05,-1.34223865e-05,2.9001943e-05,1.1364336e-05,-4.7297103e-06,4.7837483e-07,9.0939204e-05,-1.8945115e-06,-1.357777e-06,-2.9056719e-05,7.509091e-05,6.4849087e-06,-1.7024522e-05,-9.298091e-06,2.0051382e-05,5.814151e-05,-1.6724545e-05,-2.2466065e-05,0.00011144485,7.074655e-06,8.2646175e-06,2.6972805e-06,8.4548236e-07,6.975434e-05,1.018767e-05,-4.0269965e-06,0.00011722587,1.6041626e-05,1.3887623e-06,1.2200903e-05,0.0002542383,1.1079563e-05,6.337534e-06,-6.070949e-06,5.4321365e-05,1.51394715e-05,6.3261336e-06,-9.761314e-08,7.9413076e-05,0.00010159215,3.8786375e-06
BU,0.9295969033514788,0.014731613,0.0,6.2976947e-06,5.748946e-05,0.00021702041,2.4280325e-05,4.9621005e-05,7.8496464e-07,1.0527407e-05,4.9586615e-06,-3.1948824e-05,-2.6139162e-06,2.0380778e-06,2.410573e-06,-5.8466258e-06,-0.00017616965,-2.7396045e-05,4.4072112e-05,-2.3273064e-06,-6.632558e-05,-8.25799e-06,2.0678586e-05,2.4536934e-05,0.0028403935,0.0020502377,0.0006084617,-0.00017512856,-0.00018717819,-0.00018007803,-0.00022851083,-0.00019354875,-0.0020518012,-0.0006837191,-0.00013222522,-5.1250456e-05,-2.3047085e-05,-4.890593e-06,-2.2713535e-05,-1.6079517e-05,-0.00057522504,-8.550956e-05,-1.2168524e-05,-6.898378e-05,1.839839e-05,-2.8303006e-05,-6.0570794e-05,-3.3993012e-05,-7.582174e-05,0.00026139192,-4.6960802e-05,1.8277222e-05,-1.5429228e-05,-4.7446e-06,4.4249923e-06,-6.1748674e-06,-2.4394208e-06,0.0001327501,2.996536e-05,-2.6005204e-05,-3.2697277e-05,2.7877964e-05,-8.573353e-06,2.2524853e-05,-0.0002216632,-3.7704318e-05,-5.7589284e-07,-2.087625e-05,-2.4299376e-05,2.0823616e-05,3.0205154e-05,1.7261948e-06,-0.00029110568,0.00027378445,-1.2499028e-05
CD,0.6667024447589069,0.013734324,0.0,8.524008e-06,2.010798e-06,2.4280325e-05,0.00018863166,1.8100217e-06,1.404838e-06,4.4857792e-05,2.3417826e-05,-2.7827859e-05,-1.0378796e-05,-8.751119e-06,1.7550126e-05,-6.6512907e-06,-4.1212156e-06,-0.00014792901,-1.9246345e-05,-3.6160352e-05,-2.639115e-06,-2.80816e-06,-1.1243969e-05,-6.089945e-06,0.00044032198,-0.00011871862,3.555857e-05,-0.000104439256,-1.9935844e-05,-1.4395555e-05,2.3053288e-05,-1.3599629e-05,-0.0004525306,-0.000109270164,-6.479009e-05,-0.0005204097,-0.00018467351,-0.00017306225,-0.00012896126,-8.9214656e-05,-0.0045882333,-0.00068397494,-0.000761871,-2.4870462e-05,6.7378746e-06,-1.00783e-06,2.9216847e-06,1.9119523e-06,3.3190954e-05,0.00023594958,-2.5607258e-05,1.0268581e-05,1.049738e-05,-2.3000535e-05,6.763665e-05,9.705461e-07,-4.3747123e-06,0.0004972544,-8.2849874e-05,-0.00014203895,-4.061816e-05,-4.9006612e-05,-2.6153799e-05,-2.810378e-05,-0.0006463811,-0.0001612804,1.8677432e-05,0.00014776565,-1.7997985e-05,-2.2667096e-05,0.00010213693,-4.0871906e-05,-0.0015842748,0.0014556558,-5.2594783e-05
BV,0.9568752317842139,0.021997098,0.0,6.6196235e-06,1.432625e-05,4.9621005e-05,1.8100217e-06,0.0004838723,2.8562255e-07,1.994809e-05,-1.1007182e-05,-8.264595e-05,-9.1901836e-07,1.9569717e-07,-2.8470224e-06,1.0814549e-05,0.0006178877,7.972078e-06,0.00011165634,-8.232132e-05,-1.9540526e-05,1.0938436e-05,-1.4551542e-06,0.00014844013,0.000815386,0.0010448307,5.234686e-05,-0.00018571148,-3.7116155e-05,-3.7847884e-05,-0.000107861895,0.00013290037,-0.0008965929,0.00023276467,-5.175768e-05,-2.858071e-05,-5.0763794e-07,-1.1076058e-05,3.495665e-06,-4.5893403e-06,-0.00022438861,-3.4714798e-05,-9.560054e-05,-2.8469238e-05,-0.00058945885,-0.00044684228,-0.0003186496,-0.00043508993,-0.0005939609,-0.0030010329,-0.00039019907,-9.716963e-07,-1.4220027e-05,8.349623e-06,-1.0479897e-05,1.286093e-05,-8.825051e-07,-0.00011260838,-5.6419462e-06,-4.994466e-05,-2.0663227e-05,-1.4646304e-05,-3.1304702e-05,1.9088546e-05,-5.9560483e-05,-6.229751e-05,-8.3234605e-05,0.0001703302,1.3594179e-05,-4.7225494e-06,9.231626e-06,-5.477436e-05,-0.00018984184,-0.0025113057,2.7956185e-05
CS,0.3077523993534604,0.0035243863,0.0,-6.0024746e-07,-2.7259784e-07,7.8496464e-07,1.404838e-06,2.8562255e-07,1.2421298e-05,7.2917663e-07,1.2483216e-06,8.344895e-06,5.4188365e-07,1.1949942e-07,-7.6934674e-07,8.891934e-07,-0.0001253096,-2.2568258e-06,-1.0584368e-05,-5.975445e-07,3.1403422e-07,2.3877234e-07,-3.139975e-07,3.770321e-07,-8.814814e-05,8.586613e-06,-2.5507074e-06,-5.0630806e-06,-8.966979e-07,-5.881134e-07,-2.6321907e-06,1.6904125e-06,9.934386e-05,-4.127742e-06,-2.0554323e-06,-5.2700047e-06,-1.5009299e-06,-2.6370844e-06,-1.5591693e-06,-2.3796095e-07,0.0001669241,-5.3138574e-06,4.9025795e-07,-7.6015937e-07,-1.3056805e-07,-2.7201185e-07,3.7583412e-08,-1.8031267e-07,-5.709241e-06,9.915087e-06,-6.13983e-08,-3.3158067e-05,-1.5661846e-05,-1.016206e-05,-3.287885e-05,-5.949366e-06,-3.876249e-05,-0.00013836002,-3.814994e-05,-3.046725e-06,-7.257816e-07,-1.4965514e-06,-7.38515e-07,3.6366282e-07,7.1327275e-05,-2.66552e-06,-3.4827788e-06,-1.2719649e-05,-9.695449e-07,-2.495458e-06,-6.069945e-07,9.1041386e-07,0.00016286338,-1.3049794e-07,-2.9646171e-06
DP,0.504312162357939,0.013804211,3.294769004425756e-292,1.1234386e-05,-2.8151148e-06,1.0527407e-05,4.4857792e-05,1.994809e-05,7.2917663e-07,0.00019055624,1.0519714e-05,-6.3863445e-05,-1.3972695e-05,-4.0522336e-06,-2.363549e-06,-2.9398946e-06,0.00032454854,-0.000117444695,-4.587302e-05,-2.733059e-05,5.9825234e-06,1.0719084e-06,-4.301466e-06,-3.793866e-05,0.00058727496,-0.0017218352,-3.744814e-05,-1.9212612e-05,-9.157374e-06,-7.5749645e-06,7.5399066e-06,-1.5748885e-05,-0.00016456713,-0.00045812957,-2.2030588e-05,-0.00010986878,-4.2405587e-05,-3.8820657e-05,-3.032206e-05,-1.8851455e-05,-0.00085554784,-0.00021659269,-9.720408e-05,-4.4638848e-05,-1.7403721e-05,-2.8407707e-05,-1.4120746e-05,-1.8291092e-05,-0.00024030302,0.000693477,-4.1720027e-06,5.1209813e-06,5.4351153e-06,-2.3360531e-05,3.0817926e-05,7.849206e-06,-2.2767072e-06,0.0007062318,2.4289006e-05,-0.00029514226,-0.00019290143,-0.00014908354,-0.00018853364,-0.000119867465,-0.0052709286,-0.00066741917,-0.00097389246,-2.5925548e-05,-6.6065522e-06,-1.6759848e-05,3.9907303e-05,-3.898991e-06,-0.00054111425,0.003310161,-2.299661e-05
CH,0.5044702257536804,0.013678406,9.396756274725468e-298,9.379082e-06,-1.7843844e-06,4.9586615e-06,2.3417826e-05,-1.1007182e-05,1.2483216e-06,1.0519714e-05,0.0001870988,-5.6278437e-05,-1.2959761e-05,-8.3203895e-06,-8.4278395e-07,-4.328801e-06,0.00043084618,-2.7272907e-05,-0.00022301007,3.9123162e-05,3.2298067e-06,-2.6223686e-06,-9.562742e-07,-2.0301628e-05,5.8073885e-05,-7.7741824e-05,-0.00061613315,5.2724878e-05,-5.955586e-06,-3.2625894e-06,-1.9052234e-07,-7.858907e-06,3.6748228e-05,-0.00013695711,-0.00040253927,-5.5161734e-05,-1.9989677e-05,-2.4675794e-05,-4.319316e-06,-2.8930152e-05,-0.0011599339,-9.623189e-05,-6.796568e-05,-4.0201703e-05,1.5992211e-05,8.753809e-06,5.3255144e-06,1.3519164e-05,1.4232668e-05,0.00011667888,5.2328447e-05,2.331399e-05,3.2269602e-06,-2.7956257e-06,-2.7982915e-05,1.4418355e-05,-3.8636445e-06,-0.00011146692,-0.00015248233,-2.4225115e-05,-9.700135e-06,-1.052369e-05,-4.779888e-06,-1.1115242e-05,-0.0005823154,-3.6990958e-05,-4.747962e-05,-0.0005802726,-0.00017059852,-0.00015216698,-0.00047045914,-4.6930632e-05,-0.0030540791,-0.0025900232,-0.0004018197
CA*CA,-1.3008455643208185,0.11543098,1.8569175835071026e-29,-0.00066506874,-4.2256825e-06,-3.1948824e-05,-2.7827859e-05,-8.264595e-05,8.344895e-06,-6.3863445e-05,-5.6278437e-05,0.013324312,0.0007108692,7.299289e-05,-0.0013790455,0.00016754678,-0.007168398,-0.005340599,-0.008565101,-4.9306364e-05,7.210063e-06,-2.0753774e-05,-1.5937836e-06,-0.00011332373,0.0009368767,-0.0006609015,-0.00018980664,-0.00048729934,2.4228866e-05,9.24544e-06,7.3494048e-06,-7.83458e-05,0.0031248243,-0.0008449125,-0.00066295185,0.00069635984,2.1244727e-05,-8.998239e-05,7.128398e-05,-0.00015777857,-0.0017504537,-0.00036681033,-0.0010506412,0.0006082218,9.646494e-05,0.0001363287,2.4292556e-05,6.610108e-05,-0.0013939143,-7.641674e-05,5.8640137e-05,-0.0047267326,5.0841834e-05,-7.14798e-05,-0.00015537655,8.352875e-05,-2.5914107e-05,0.00023267182,-0.00065344124,0.0001676975,6.9920854e-05,4.6560424e-05,-2.5828444e-05,-6.64672e-05,-0.0013406723,0.00022318099,-0.00074992306,-0.00037493883,4.420893e-05,-2.8190647e-05,-0.00020443875,-0.00021127629,-0.0008013217,-0.0011503485,0.00013170355
CA*BT,-0.20843496390137448,0.026635656,5.059999415019001e-15,-0.00020229239,1.3445405e-05,-2.6139162e-06,-1.0378796e-05,-9.1901836e-07,5.4188365e-07,-1.3972695e-05,-1.2959761e-05,0.0007108692,0.00070945814,6.1027396e-05,0.00020274066,7.463358e-05,0.001970747,0.00038357428,0.00038863608,0.00082786905,9.772927e-06,-2.0569089e-05,-1.7064654e-05,-9.937005e-05,0.0013465128,-0.00036467795,3.4754146e-05,-0.00011201615,4.0761533e-05,-8.9413e-06,8.10018e-06,-2.0085175e-05,0.00039253518,-0.00024688928,-2.1536403e-05,-7.4028896e-05,5.785164e-05,-9.760094e-06,7.871715e-06,-8.522716e-06,-8.342061e-05,2.2777944e-05,-0.00012191502,9.953322e-05,-1.2799696e-05,2.1954563e-06,-9.0624335e-06,3.237552e-06,-0.00013578424,-5.859706e-05,-9.709413e-06,-0.00035587067,-0.000102350714,-9.448583e-06,-2.5530995e-05,3.297979e-06,-1.6845399e-06,4.514462e-05,-7.889123e-05,-5.0524544e-05,4.816576e-05,1.3910758e-06,1.10892e-05,2.39523e-06,6.331035e-05,4.6510537e-05,-4.12928e-05,-7.3186675e-06,7.619454e-05,-9.0432295e-06,-2.570207e-05,-2.6116399e-05,2.2254693e-05,-2.0486565e-05,3.0971318e-05
