Param name,Param value,Param stdv,Param p-value
CA,0.27312014,0.0033900226,0.0
BT,1.0465857,0.0042257523,0.0
BU,0.95884067,0.0061559314,0.0
CD,0.5674445,0.0032261957,0.0
BV,0.9746407,0.0070412382,0.0
CS,0.30198345,0.009722545,8.328268059076355e-212
DP,0.45860806,0.0077096527,0.0
CH,0.49932322,0.005889218,0.0
CA*CA,-1.001414,0.05645201,2.088572200495834e-70
CA*BT,-0.22039111,0.008068924,2.9267441563675477e-164
CA*BU,0.0017529965,0.00968476,0.8563631242410045
CA*CD,0.0042290147,0.02278502,0.85275449373542
CA*BV,-0.0008229249,0.010896556,0.9397997452952158
CA*CS,0.8602042,0.75987846,0.257622369038777
CA*DP,0.88601965,0.07817173,8.876673617861362e-30
CA*CH,-0.0045562224,0.048722014,0.9254947049167556
BT*CA,-0.045278493,0.085867986,0.5979828324196133
BT*BT,-1.3720291,0.007640415,0.0
BT*BU,-0.71390736,0.019004084,7.72212749772247e-309
BT*CD,0.029096449,0.048092004,0.5451681325883418
BT*BV,0.0065040067,0.027852435,0.8153602548698431
BT*CS,1.2534058,1.5817305,0.428111774072099
BT*DP,0.6363993,0.22943796,0.005541736008886429
BT*CH,1.7663357,0.84439987,0.0364542790563681
BU*CA,-0.41852733,0.21573742,0.05238152287194551
BU*BT,-0.9514109,0.018110914,0.0
BU*BU,-1.4057379,0.019939631,0.0
BU*CD,-0.7304987,0.06413681,4.706384334851399e-30
BU*BV,-0.5636582,0.047281735,9.170372151408042e-33
BU*CS,1.6778947,2.0297306,0.4084304540717265
BU*DP,0.036144685,0.10967156,0.7417233206873561
BU*CH,0.18248251,0.27990323,0.5144343498880388
CD*CA,-0.2810473,0.0471574,2.525914076575449e-09
CD*BT,-0.4111991,0.007866517,0.0
CD*BU,-0.015815018,0.012967874,0.2226341489712389
CD*CD,-1.2621574,0.02188543,0.0
CD*BV,0.28723693,0.03566757,8.0677846632662605e-16
CD*CS,0.031620003,0.3258865,0.9227044290386496
CD*DP,-0.17984721,0.03124948,8.653590390511654e-09
CD*CH,-0.5263961,0.05250791,1.1826183336964181e-23
BV*CA,-0.0020267721,0.046740044,0.9654124498491381
BV*BT,-1.357,0.021609837,0.0
BV*BU,-1.0180743,0.024367455,0.0
BV*CD,-0.49412644,0.039453395,5.496920180662254e-36
BV*BV,-1.1019367,0.02031043,0.0
BV*CS,-6.955146,3.8475223,0.07065401549378798
BV*DP,-0.029717777,0.090679236,0.7431202352567721
BV*CH,-0.37211585,0.121281885,0.0021535974422227044
CS*CA,-0.102280974,0.25290322,0.6858985137810796
CS*BT,-3.0536408,1.0677752,0.004238867724768159
CS*BU,-1.3267292,0.44024658,0.002581639941008966
CS*CD,-1.8031104,0.40383747,8.009098839110959e-06
CS*BV,-2.999995,0.93497014,0.0013335823553931457
CS*CS,-0.3058296,0.035076044,2.8055883487483577e-18
CS*DP,-0.9537593,0.7468732,0.20160117052478632
CS*CH,-0.021724697,0.27523375,0.937086862659875
DP*CA,-0.35259917,0.09604792,0.0002415318951223591
DP*BT,-0.61012423,0.019211592,2.452220217567822e-221
DP*BU,-0.6662269,0.04343171,4.1547660204374275e-53
DP*CD,-0.16048035,0.05171491,0.00191457211239161
DP*BV,-0.9955698,0.04150475,3.810698546804257e-127
DP*CS,0.11648624,0.38027808,0.7593620930850201
DP*DP,-0.6324304,0.034674976,2.5391960325017356e-74
DP*CH,0.0009015421,0.20428708,0.9964788563316505
CH*CA,-0.37131745,0.08182553,5.681270259442949e-06
CH*BT,-0.58452505,0.029837877,1.880628500472212e-85
CH*BU,-0.5317722,0.018000575,8.33123605474114e-192
CH*CD,-0.9690513,0.034290835,1.0794656302012771e-175
CH*BV,0.03446753,0.032372635,0.2870063104634052
CH*CS,-5.461574,1.6562818,0.0009755285823031076
CH*DP,-0.9601025,0.20252056,2.1291217123041116e-06
CH*CH,-0.64141315,0.024534734,1.1817780591528172e-150
CA*BT*BU,-0.359801,0.05182237,3.8395060186332496e-12
CA*BT*CD,1.0640244,0.20848897,3.334203024668149e-07
CA*BT*BV,-1.1514891,0.1356863,2.1312356288266064e-17
CA*BT*CS,-0.058013823,1.009009,0.954150216945012
CA*BT*DP,0.01731246,0.1766841,0.9219438971298498
CA*BT*CH,-0.49669012,0.63820416,0.4364144911112867
CA*BU*CD,-0.007452104,0.051949892,0.8859364390454639
CA*BU*BV,-0.34218115,0.101949155,0.0007896705897926587
CA*BU*CS,-0.011463087,0.9998161,0.9908522978833991
CA*BU*DP,-1.0224664,0.3551824,0.00399308008991106
CA*BU*CH,-2.4894743,0.558434,8.274475951294238e-06
CA*CD*BV,-0.024714522,0.081366435,0.7613233512167777
CA*CD*CS,0.47417852,1.8029449,0.7925488704782857
CA*CD*DP,-1.5167942,0.41958615,0.00030037442335057785
CA*CD*CH,5.0836143,1.44692,0.0004424044273408787
CA*BV*CS,-0.046207063,0.9833364,0.9625211265420678
CA*BV*DP,-2.855619,0.4533842,3.0063113288070104e-10
CA*BV*CH,0.038111344,0.088666,0.6673189941079154
CA*CS*DP,0.10174487,1.3038781,0.9378021997127148
CA*CS*CH,0.00064754626,1.2369877,0.9995823182967634
CA*DP*CH,0.14977373,0.7361041,0.8387691423342268
