Param name,Param value,Param stdv,Param p-value,CA,BT,BU,CD,BV,CS,DP,CH,CA*CA,CA*BT,CA*BU,CA*CD,CA*BV,CA*CS,CA*DP,CA*CH,BT*CA,BT*BT,BT*BU,BT*CD,BT*BV,BT*CS,BT*DP,BT*CH,BU*CA,BU*BT,BU*BU,BU*CD,BU*BV,BU*CS,BU*DP,BU*CH,CD*CA,CD*BT,CD*BU,CD*CD,CD*BV,CD*CS,CD*DP,CD*CH,BV*CA,BV*BT,BV*BU,BV*CD,BV*BV,BV*CS,BV*DP,BV*CH,CS*CA,CS*BT,CS*BU,CS*CD,CS*BV,CS*CS,CS*DP,CS*CH,DP*CA,DP*BT,DP*BU,DP*CD,DP*BV,DP*CS,DP*DP,DP*CH,CH*CA,CH*BT,CH*BU,CH*CD,CH*BV,CH*CS,CH*DP,CH*CH
CA,0.3223404965872482,0.022318484,2.7846676898709268e-47,0.00049811474,7.669918e-06,2.2221686e-05,1.5097787e-05,1.8811159e-05,-2.816653e-06,-3.199612e-06,8.802785e-06,-0.0003915118,-0.0005561523,-0.00045405724,-0.0011858592,-0.00038165366,-0.004296641,-0.0013706193,-0.0025374028,-0.00010976839,-8.933515e-06,-6.3197617e-06,4.1590214e-05,4.079081e-05,0.00032127608,0.0006179155,0.00010508313,-0.00013217144,-1.860474e-05,-2.4779087e-05,-3.1212578e-06,1.7363158e-05,-0.000272252,0.0005613968,5.1084276e-05,-1.1296811e-05,-1.29280725e-05,-1.01890255e-05,-2.2404607e-05,-2.2777483e-06,4.860216e-05,-3.6540245e-05,0.00010071019,-4.386321e-05,-1.6064825e-05,-2.5707268e-05,4.5611647e-05,-2.2094791e-05,0.00055505877,0.00048585123,-7.5774415e-06,0.00013186288,-1.80956e-05,9.120017e-06,1.8808341e-05,2.8530949e-05,8.62538e-06,-9.917063e-06,0.00016303659,6.7084393e-06,1.1858618e-05,1.1903475e-05,8.832592e-06,-9.796927e-07,0.00010420423,8.957547e-06,0.00020635773,-1.3722711e-05,7.1199174e-06,-1.7312752e-05,4.907973e-05,-1.9477906e-05,0.00044190453,0.0003420376,-1.9562805e-05
BT,0.8887004465371272,0.014790109,0.0,7.669918e-06,0.00021874734,8.116986e-05,5.3212866e-06,3.0942923e-05,3.3766828e-08,-2.0852453e-06,5.367483e-07,-5.3852913e-05,4.7560206e-06,7.712501e-06,-7.395264e-06,-8.768584e-06,0.00011089059,1.59315e-05,-4.0783234e-05,-1.3037644e-05,-0.0002084026,-0.00019760536,-0.0004719323,-0.00025665146,-0.0027244617,-0.0009031577,-0.0007428067,4.2606425e-05,-6.407359e-05,-9.250404e-05,2.8243561e-05,-6.332052e-05,-0.00019679617,-1.3045374e-05,0.00018673709,-1.0129202e-05,0.00017018185,7.0900714e-06,-1.2797046e-05,2.9199848e-06,1.2562362e-05,2.2042498e-06,7.352121e-06,2.420932e-06,2.5352037e-05,-7.1367685e-06,-1.3582349e-05,-3.6180852e-05,-6.801802e-05,-6.0472103e-05,-6.900567e-05,-9.289367e-07,8.267772e-05,8.429178e-06,1.7093532e-06,5.8142787e-06,-1.04453356e-07,1.4235846e-05,-3.4112465e-05,-7.535145e-06,0.000138575,2.2698627e-05,6.9640923e-06,3.4559427e-05,6.523053e-05,6.389925e-06,5.259444e-05,-5.5790486e-05,0.00018481741,1.613093e-05,2.300645e-05,9.189814e-06,2.4667374e-05,3.5717974e-05,-1.042877e-06
BU,0.9228363711005587,0.01566154,0.0,2.2221686e-05,8.116986e-05,0.00024528382,3.1644715e-05,7.8237004e-05,1.6871066e-06,1.2963156e-05,9.041475e-06,-0.00012264612,-1.9520221e-05,1.0015848e-05,-2.6794238e-05,-1.9673898e-05,0.00018407665,2.7524038e-06,-0.000116748866,0.00023786451,-9.809811e-05,-1.984409e-05,0.0007297897,5.8726746e-06,0.0015038803,0.0011938241,0.0016464564,0.00013557423,-0.00019728241,-0.00026940284,3.9485494e-05,-0.0002097252,-0.0011622318,-0.000839244,0.00012308058,-2.3361952e-05,2.2165486e-05,1.0665445e-06,-6.86733e-05,-1.2482323e-05,-9.9220255e-05,-4.069378e-05,-5.1791314e-05,5.1105508e-05,-3.675826e-05,-2.7920849e-05,3.74082e-06,-9.707806e-05,-0.0006528438,-0.00010663288,-0.00010867403,1.6198417e-05,0.00022451706,4.525372e-06,-1.8638079e-06,5.580405e-06,-5.184708e-06,2.4943297e-06,-7.4873264e-05,-1.4483057e-05,2.9173369e-05,4.2513195e-05,-4.6896657e-06,6.93833e-05,-8.30833e-05,-4.5587843e-05,1.0179728e-05,-0.00013092408,-9.390511e-06,4.6235673e-05,7.1374765e-05,1.6875149e-05,7.313894e-05,0.00018041815,-1.9581475e-05
CD,0.6672165218477825,0.013464406,0.0,1.5097787e-05,5.3212866e-06,3.1644715e-05,0.00018129023,2.0845675e-05,3.5213156e-06,6.0135044e-05,6.3445104e-06,-4.220931e-05,-1.538248e-05,-1.5864056e-05,-6.473383e-05,-1.07419055e-05,0.00028255378,-5.4964225e-05,-0.00012624775,-1.4039955e-06,-3.993742e-06,-4.2974128e-07,-0.00029567606,-4.2579713e-06,0.00020004286,-0.00013449953,0.00035714556,1.8959276e-05,-2.5556645e-05,-3.9942555e-05,-2.245098e-05,-2.5618421e-05,-0.00029311824,8.8443696e-05,0.00014278688,-6.1754785e-05,-0.00023192838,-0.00015669285,-0.00039579798,-0.00016682323,-0.0006287932,-0.0002905879,-0.00087519217,1.094086e-05,-1.7548986e-05,-1.6867469e-05,-3.0966912e-05,-2.5837906e-05,-2.6285692e-05,4.6633454e-06,-3.9809387e-05,3.824677e-05,-1.1671037e-05,1.3844702e-06,1.8139255e-06,5.924828e-06,-1.0882092e-05,-1.09309085e-05,-9.4472794e-05,-9.625955e-06,-6.49171e-05,-5.7116646e-05,-4.8281425e-05,-5.3416883e-05,1.18065e-05,-0.00022353101,-0.0004348748,6.761308e-05,-1.6157594e-05,-1.0497809e-05,0.00034301192,-1.5753174e-05,0.00022139189,0.0004880124,-1.37475645e-05
BV,0.7427558137368675,0.011864514,0.0,1.8811159e-05,3.0942923e-05,7.8237004e-05,2.0845675e-05,0.0001407667,1.0002104e-06,9.622506e-06,2.659149e-05,-9.197479e-05,-1.5214873e-05,1.7577032e-06,-1.984742e-05,-1.9079333e-05,0.00017357811,-2.779797e-05,-0.000111493966,9.799866e-05,-3.6698188e-05,-1.8410452e-05,0.00022736307,9.356154e-06,0.00080453843,0.0006532348,0.00077439466,7.954104e-05,-6.370269e-05,-8.8944646e-05,-6.0376406e-06,-8.295917e-05,-0.0007504087,0.0002036902,0.00050173956,-1.2266267e-05,2.2594625e-06,-7.1933346e-06,-4.5302364e-05,8.2535e-06,-2.329269e-05,-2.956956e-05,-4.7962832e-05,8.2653816e-05,-0.00016048913,-0.000115578805,-9.885904e-05,-0.00014859966,-0.0010805293,-0.0010361616,-0.00028022673,1.6575865e-05,2.9492387e-05,5.3630224e-06,2.0111352e-06,3.0104682e-06,-3.0668648e-06,-2.4749966e-07,-2.5353585e-05,-3.6811502e-06,6.001478e-06,1.17323525e-05,-8.221122e-06,9.2302755e-05,-4.2074218e-05,-3.358433e-05,8.542721e-06,0.00025803767,-1.8437378e-05,-2.3460338e-05,-0.000100701385,-4.5140237e-05,0.00015253632,-0.0003231013,-5.772556e-05
CS,0.3132628971155245,0.0038656697,0.0,-2.816653e-06,3.3766828e-08,1.6871066e-06,3.5213156e-06,1.0002104e-06,1.4943402e-05,1.0406693e-06,-1.3106336e-07,1.9992836e-05,3.3249048e-06,1.9237414e-06,-2.3358807e-06,1.9168365e-06,-0.00013581783,-5.9899294e-06,6.360956e-07,-2.1807982e-06,-3.9857625e-08,1.2997664e-07,-5.797397e-06,2.3381467e-07,-5.7876445e-05,3.393501e-05,4.8936463e-06,-1.7477723e-06,-1.7795506e-06,-1.8228608e-06,-5.796053e-06,-1.0493677e-06,8.012404e-05,4.0875377e-05,-3.0309843e-06,-2.410103e-06,-4.5006186e-06,-3.294153e-06,-7.496329e-06,-2.9845405e-06,3.2968626e-05,-7.5593634e-06,-8.109406e-06,-2.3925595e-06,-9.2038687e-07,-1.285554e-06,-6.2255384e-07,-1.2933599e-06,6.143315e-05,3.4512782e-06,-2.5115771e-06,-1.7382106e-05,-3.0960768e-05,-1.4771021e-05,-3.3283977e-05,-1.6472306e-05,-4.615998e-05,-4.457944e-05,-6.395027e-05,-7.703739e-07,-1.1621837e-06,-1.0190391e-06,-1.5283491e-06,-3.5219074e-07,5.0753965e-06,-3.6243337e-06,-1.1123428e-06,-1.7960565e-06,4.064845e-07,-1.1025598e-06,2.1566507e-08,3.070107e-07,-8.379646e-05,-5.085357e-06,2.5295125e-07
DP,0.5427780883149378,0.011269866,0.0,-3.199612e-06,-2.0852453e-06,1.2963156e-05,6.0135044e-05,9.622506e-06,1.0406693e-06,0.00012700987,6.065352e-06,5.6533314e-05,3.5809937e-06,-4.2448124e-07,-2.3197423e-05,-6.330092e-07,0.00011390075,-0.00012046521,-8.197816e-06,-2.2278495e-05,5.4465645e-06,2.3707196e-06,-9.3020164e-05,-2.1478314e-05,0.0001699017,-0.0007747491,0.0002749269,1.0158883e-05,-1.1111302e-05,-1.5585532e-05,-6.869508e-07,-9.649281e-06,-0.00018156038,-9.423781e-05,0.000119205026,-1.1308907e-05,-7.579109e-05,-4.9478316e-05,-0.00013407599,-5.2439285e-05,-0.00012789351,-0.000108865584,-0.00014873754,1.08156155e-05,-7.85669e-06,-7.3427195e-06,-2.907106e-06,-1.1602348e-05,-9.3289775e-05,2.797033e-05,-3.8272763e-05,1.1912362e-05,-1.3145824e-05,1.3805977e-06,6.8711433e-06,3.109678e-06,-3.2680457e-06,4.4737884e-05,-7.6893004e-05,1.0047875e-05,-0.0001478677,-0.00013052684,-0.00015913333,-0.00015612388,-0.00054046256,-0.00043805706,-0.0014619475,-5.0888426e-05,-1.1077419e-05,-1.4835919e-05,0.000220035,-1.2351286e-06,-0.0003274493,0.0007103841,-1.3029593e-05
CH,0.5313193661581501,0.014493971,3.417666467253145e-294,8.802785e-06,5.367483e-07,9.041475e-06,6.3445104e-06,2.659149e-05,-1.3106336e-07,6.065352e-06,0.00021007519,-1.9941519e-05,-1.081945e-05,-7.318474e-06,-2.3274464e-05,-1.7897804e-05,6.216178e-05,-2.6907e-05,-4.5544664e-05,-4.457327e-05,1.155427e-06,-7.2485085e-07,4.4578825e-05,-1.5485644e-05,0.00023254527,3.6051013e-05,-0.0015686426,-4.573706e-05,-6.38716e-06,-1.35582995e-05,2.0237912e-05,-1.098684e-05,0.0004389422,-7.075604e-05,-0.00049926946,-2.4031854e-06,-6.7058527e-06,-3.925865e-06,-1.4700111e-05,-5.1918953e-08,-7.0263022e-06,-1.0383366e-05,3.993808e-05,1.6481827e-05,-3.282423e-05,-1.6998045e-05,-2.8266852e-06,-3.1260857e-05,-0.00033299107,-0.00014547394,3.9748178e-05,3.663857e-06,2.225735e-05,3.9753765e-09,1.3073635e-06,9.167553e-06,3.9695308e-07,7.6113593e-06,0.00033213236,3.3720814e-06,-6.8714844e-06,-3.1961847e-06,-8.945266e-06,1.4468552e-05,-8.086345e-05,-2.0378588e-05,0.00043950506,-2.3162505e-05,-0.00023477664,-0.00016028719,-0.0007248026,-0.0002134628,-0.001408109,-0.0017607132,-0.00046712838
CA*CA,-1.8459308584877054,0.15262781,1.1316396721850607e-33,-0.0003915118,-5.3852913e-05,-0.00012264612,-4.220931e-05,-9.197479e-05,1.9992836e-05,5.6533314e-05,-1.9941519e-05,0.02329525,0.00046605337,-0.0007202962,-0.006821106,-0.0017446373,-0.014997509,-0.013704745,0.0039293743,0.00033465037,6.693611e-05,2.3221957e-05,-0.000652307,-0.00014549994,-0.000633045,-0.0030537609,-0.00048130154,0.0003642074,9.851722e-05,0.00015241938,-0.00043079638,-6.969287e-05,0.0014784295,-0.0024065888,-4.4113747e-08,0.00026424858,3.4712597e-05,-2.0100868e-05,8.264401e-05,-3.6737958e-05,-0.00038505872,9.221787e-05,-0.00042467585,4.2446638e-05,9.7465214e-05,9.499123e-05,-0.00054581754,0.00012689673,-0.0019063425,-0.0017984846,0.00042030498,-0.0012568752,-4.8170783e-05,-8.19559e-05,-8.524888e-05,-8.857868e-05,-6.1201725e-05,0.00020182242,-0.00096725475,8.639191e-05,-0.00010680968,-0.00012440282,-6.0329825e-05,-5.8766105e-05,-0.0004693684,-0.00019375983,-0.001301277,0.000337741,7.5030234e-06,8.042085e-06,0.00014702395,0.00011679218,-0.0006464111,-0.0014533774,4.8049176e-05
CA*BT,-0.27284521663554195,0.04106096,3.034615565432718e-11,-0.0005561523,4.7560206e-06,-1.9520221e-05,-1.538248e-05,-1.5214873e-05,3.3249048e-06,3.5809937e-06,-1.081945e-05,0.00046605337,0.0016860027,0.0003857123,0.0013564354,0.00039401374,0.0044454196,0.001446344,0.0028338158,0.00038853358,1.9943262e-05,-1.2996397e-05,2.0234953e-05,-6.5723965e-05,0.0010857934,-0.0004986737,-0.000114366165,0.00020420035,4.6987338e-05,1.4340218e-05,-1.2110231e-06,-1.7437256e-05,-1.9659241e-05,-0.0006105274,-1.4131355e-05,1.1757927e-05,-5.585011e-05,7.6053484e-06,2.2524144e-05,3.5737341e-06,-6.303702e-05,4.0178766e-05,-0.00011981013,-1.9677018e-05,3.0281919e-05,1.5594424e-05,-4.9827482e-05,1.964698e-05,-0.0005405638,-0.00060876005,4.746257e-06,-0.00014347394,-0.00037734717,-1.0288312e-05,-2.2071554e-05,-2.0303618e-05,-1.0173151e-05,1.973793e-05,-0.00022262406,-8.739369e-06,-3.4669672e-05,-1.1123095e-05,-8.239695e-06,7.5733137e-06,-7.1040784e-05,-1.0764677e-05,-0.000248705,-0.00020386999,6.062568e-05,4.012743e-06,-3.344778e-05,3.1019135e-05,4.5618755e-05,-0.00035922186,2.4333032e-05
