Param name,Param value,Param stdv,Param p-value,CD,DP,CA,PC,CS,CH,BU,BT,PV,EL,CD*CD,CD*DP,CD*CA,CD*PC,CD*CS,CD*CH,CD*BU,CD*BT,CD*PV,CD*EL,DP*CD,DP*DP,DP*CA,DP*PC,DP*CS,DP*CH,DP*BU,DP*BT,DP*PV,DP*EL,CA*CD,CA*DP,CA*CA,CA*PC,CA*CS,CA*CH,CA*BU,CA*BT,CA*PV,CA*EL,PC*CD,PC*DP,PC*CA,PC*PC,PC*CS,PC*CH,PC*BU,PC*BT,PC*PV,PC*EL,CS*CD,CS*DP,CS*CA,CS*PC,CS*CS,CS*CH,CS*BU,CS*BT,CS*PV,CS*EL,CH*CD,CH*DP,CH*CA,CH*PC,CH*CS,CH*CH,CH*BU,CH*BT,CH*PV,CH*EL,BU*CD,BU*DP,BU*CA,BU*PC,BU*CS,BU*CH,BU*BU,BU*BT,BU*PV,BU*EL,BT*CD,BT*DP,BT*CA,BT*PC,BT*CS,BT*CH,BT*BU,BT*BT,BT*PV,BT*EL,PV*CD,PV*DP,PV*CA,PV*PC,PV*CS,PV*CH,PV*BU,PV*BT,PV*PV,PV*EL,EL*CD,EL*DP,EL*CA,EL*PC,EL*CS,EL*CH,EL*BU,EL*BT,EL*PV,EL*EL
CD,5.078733706932498,0.9325645,5.151902982538082e-08,0.86967653,-0.0063480884,-0.0056285793,0.045952942,-3.495667e-05,0.11594204,0.24387032,0.005755923,0.102180354,0.012799542,-1.7423875,-1.3904363,-0.5361243,-3.8262253,-0.111215785,-4.217461,-0.6160642,-0.76202565,-0.25214452,0.00041037126,-0.03136981,0.03669228,-4.6414767e-05,-0.0032247507,-0.13966635,-0.11654234,-0.016061312,-0.0033332244,0.0064390916,-0.0025534022,0.008317431,-7.861359e-05,-0.018276403,-0.023489645,0.05143532,0.115652874,0.25382072,0.009871958,0.10245036,0.067240305,-0.6269236,0.015532556,0.0059399595,-0.05502227,-0.22182292,0.029753994,0.0030652808,-0.033809442,-0.015158828,-0.11418821,0.00067226257,0.013005031,-0.0038136689,-0.0037337206,0.00015017031,-0.011659642,0.060148172,0.00016668333,-0.00022347235,0.0089681465,-0.17123489,-0.06321403,0.012044166,-0.4583817,0.052458853,-0.28943306,-0.12985493,-0.09860623,-0.27431846,-0.019305127,-0.31988847,-0.15969276,-0.12748279,-0.017140774,0.22204775,-0.22569907,-0.378557,-0.1613633,0.58706903,0.8993518,-0.000296325,3.6311158e-05,0.004034503,0.004219469,0.0006726843,-0.0039917426,0.0137268435,-0.005013053,-0.006436788,0.010041589,-0.08021225,0.24783355,-0.075353585,-0.11119812,0.41187567,-0.10808583,-0.06415054,-0.07818497,-0.09553786,0.007091785,-0.0049465382,0.00010900894,0.0041384744,-0.02173322,0.0039932798,0.54636335,0.0028650672,-0.008363353,-0.0015514133,-0.083327435
DP,0.38316844967489083,0.076863736,6.19504478708866e-07,-0.0063480884,0.005908034,5.407153e-05,0.0014256946,5.8407466e-05,-0.0010898084,-0.0027805672,3.5582918e-05,-0.00089330476,0.00013705889,0.011983536,0.029341394,0.00407412,-0.0030580084,0.0010715271,0.027439354,0.004173019,0.004659721,0.0016379571,0.00021639686,-0.009206065,-0.015925212,-0.00017983161,-0.003888159,-0.0014116926,-0.03116606,0.0023549683,-0.003645783,-0.0023523865,-0.00022603694,-5.8902326e-05,-2.3884163e-06,8.6719476e-05,0.0020020702,-0.0006015766,-0.00043868268,0.00010988523,-7.289302e-05,-0.00051299226,-0.0008546203,0.013708342,0.009492703,-0.00043770595,-0.0016456239,-0.016799714,-0.0065538,-0.00030165212,-0.0013044019,-0.0010381668,-0.006207679,3.0914887e-06,0.0021282646,-0.0003630634,-0.00013487691,-0.00024690243,-3.9044568e-05,3.2881555e-05,-2.2291106e-05,-6.8391887e-06,-0.0005498695,0.0003358666,0.026614532,-8.67761e-05,-0.019048842,-0.00039454593,0.0029740501,0.00078489503,0.0008718397,0.0016097411,2.1048461e-05,0.003257477,0.0064844238,0.0019967458,-0.0015721068,-0.00046710015,0.0038990448,0.0035955268,0.0020445061,-0.0038580017,-0.0066031255,-3.7284044e-05,3.578192e-05,-0.00010923823,0.00088961533,-2.8889008e-05,-0.00018050543,-0.0014748591,-2.8806162e-05,-0.00012006303,-0.00035641962,0.0004222111,-0.00647302,0.00065764267,0.00046608513,-0.0025130499,0.0009617266,0.00041686208,0.0006896819,0.0008349888,-1.43470215e-05,7.8513685e-06,-1.8584029e-05,-0.00026950808,-0.00060249044,-0.00017828039,-0.0013950301,-6.017999e-05,-0.00010640033,-7.394159e-05,-0.00082651037
CA,-0.5014657915418164,0.1702509,0.0032248342900000992,-0.0056285793,5.407153e-05,0.028985364,-0.000165284,-0.00033980608,-0.002034718,-0.002002948,0.00063357153,-0.0014888378,-0.0004831103,0.011545595,0.0102634635,0.002613521,0.014231935,0.0001662159,0.017568273,0.0039000437,0.005263763,0.0027962523,0.00012236783,0.0004950329,-0.0003706094,0.00036984644,2.912787e-05,-0.0006467045,0.0020799758,8.445325e-05,5.8674734e-05,-0.00031814838,-0.00039762916,-0.0391449,-0.0023334052,-0.0061373827,-0.1623921,-0.18274128,-0.22763073,-0.08260974,-0.030949697,-0.04139956,-0.12397182,0.004145405,8.435578e-07,-0.00070010254,0.00023677076,0.011588256,0.0004463468,-1.7444268e-05,0.00013516453,0.00030586464,0.003943563,4.0452793e-05,0.0001057003,-0.009632423,0.00018451414,0.0014357244,0.00066326064,0.00034802046,0.00019975487,-4.9331225e-06,0.0013183428,-0.0018351745,0.0051432974,-0.0038788528,0.0031501206,0.0005320097,0.007991198,0.0021606737,0.0015182096,-0.001448332,0.00171302,0.0033186015,0.0015314291,-0.014627929,-0.00012489161,-0.0021477113,-0.00073127553,0.0030027244,0.0016255549,-0.0042160214,-0.0076157725,0.0003921131,-0.00011279957,-0.0022310007,-0.0006256686,-0.00013842726,-0.0016963219,-0.0028333503,-0.00056247774,-0.0009514653,-0.001167082,0.003806164,-0.0033297588,-0.002588029,0.0012693815,-0.010600303,0.0017540938,0.0007805591,0.0012589287,0.0011225065,-0.0012041773,0.00051647867,-0.00012667407,-0.01090045,-6.9986054e-05,-0.001317915,-0.010104522,-0.00036938334,0.00028420682,-9.9915764e-05,0.0043798327
PC,-0.8538625805877755,0.30488646,0.005100896584224682,0.045952942,0.0014256946,-0.000165284,0.09295575,-0.0036851212,0.0021614903,0.012276776,-0.0019736788,0.00339331,0.00030786716,-0.09048932,-0.08173164,-0.027763173,-0.4157379,-0.002828792,-0.25769436,-0.034844447,-0.053296216,-0.012438052,0.0017907146,-0.005121001,0.0010792711,-0.0008808023,0.005068401,-0.009374491,-0.0111340135,-0.0031066947,-0.0014012858,-0.0006704869,-0.001903921,0.00069017947,-6.7863552e-06,-0.0013430624,0.002992082,0.0073011736,0.006689514,0.015907412,0.0005396462,0.0064243237,0.0034431864,-0.58483326,-0.03548831,-0.0061160913,-0.11091391,-0.54682386,-0.057743873,-0.004383112,-0.07035721,-0.034323364,-0.23198135,0.0013021681,0.0045610247,0.018388877,-0.010841866,0.015573904,0.0069880458,0.011622901,0.0019332836,0.00036961326,0.017882455,-0.0077588153,-0.007857703,0.00065384444,-0.16449594,0.0025212746,0.0020059769,-0.007827394,-0.0029197063,-0.024550285,-0.0030378422,-0.012832739,-0.0036009375,-0.0061519663,-0.012748149,0.015184728,-0.0036593587,-0.026764376,-0.010495154,0.047851462,0.0736944,0.000102089354,0.0002094568,0.001963129,0.021848697,0.00012955125,0.004138257,0.0056191958,0.0017681,0.0017793766,0.0007863416,-0.0003130921,0.0094591705,-0.0027181474,-0.02050752,0.037701957,-0.003194375,-0.0024194636,-0.0032679718,-0.003574484,0.0005835708,0.0002750516,0.00022873383,0.00060647255,-0.047698572,0.0009828736,0.03574044,0.0006680117,-0.00014907135,0.00015526365,-0.004777344
CS,-0.7911922318084512,0.13174033,1.905142070367043e-09,-3.495667e-05,5.8407466e-05,-0.00033980608,-0.0036851212,0.017355517,0.0009815956,-0.0020494026,0.00041899318,0.0004235903,-0.0012725221,-0.0013510841,0.0003520877,0.00096724095,0.012247501,-0.0006052885,0.0010604593,0.0006827075,-0.000696496,0.00012600375,-3.8612445e-05,-3.8493574e-05,-0.0005468784,0.0002487893,-6.0028404e-05,-0.04744344,5.4795975e-05,0.00042815696,4.0038365e-05,0.00013233245,0.0004865985,0.0016625391,-3.9502163e-05,0.00018806489,-0.00033857772,-0.042136896,-0.0016914926,0.0018691274,0.00028368557,-0.0001212231,-0.002083681,0.029211394,0.00048960536,0.000115344286,0.0027785422,-0.28656983,0.0006689845,0.00010336846,0.003077703,0.0016799236,-0.009036766,-0.006736526,-0.021050042,-0.084706694,-0.010219222,-0.07336094,-0.0352234,-0.032201074,-0.008764688,-0.001803143,-0.077044725,-0.003274774,0.00036353205,-0.0003625653,0.0036646796,0.00068822026,-0.003961875,-0.0001065311,-0.00072545966,0.0016101954,-0.00017184467,0.003170996,0.0011855855,2.4812169e-05,0.00060248305,0.006120513,0.0022765712,0.0032533607,0.0016980029,-0.002517064,-0.005089448,-6.9598434e-05,-5.4515967e-05,-0.00022489899,8.982206e-05,0.00021078247,-0.00059601426,-0.0028345925,-0.00038316112,-0.00047248093,-0.00027703625,-0.0018055986,0.0030856275,0.00020111038,0.0021395877,-0.048873343,-0.0004164626,-4.367722e-05,-0.00031189976,-0.00041128957,0.00082132773,0.00059014425,1.6417527e-05,0.00069683057,0.01284291,-0.00042296582,-0.010565956,-0.00025763092,0.00089660723,0.00011982354,0.007818435
CH,3.406906184983986,0.91788286,0.00020587157310199546,0.11594204,-0.0010898084,-0.002034718,0.0021614903,0.0009815956,0.8425089,0.04372286,0.0037103612,-0.0108312825,-0.039187778,-0.2750072,-0.14824009,-0.043563228,-0.46755034,0.037426803,0.7053717,-0.05754512,-0.09675235,-0.004697766,-0.096876465,-0.00078712474,0.0025885324,0.00056520826,-0.0014912167,-0.018446991,-0.528686,-0.0018674586,-0.000113331516,-0.0032442668,0.0076847943,0.006470108,-1.4532787e-05,-0.009065741,0.0066328947,0.0039106836,-0.53995866,0.021986756,0.0041394206,0.040470567,0.033029303,-0.08892873,0.0074836332,0.0018256232,-0.0028754906,-0.003579902,-0.042109914,0.00066532596,-0.00095465727,0.002424822,0.07843052,-0.00014596936,0.0005303204,-0.0053117042,-0.000791876,-0.0041472525,0.013051652,0.0036992077,-0.00042490603,-0.00010505238,-0.0029243734,-1.7621667,-1.2900333,-0.09935142,-3.5928707,-0.028953413,-3.8798761,-0.43128732,-0.56898767,2.2387447,0.10555187,-0.076174594,-0.02619601,-0.01043896,-0.0030718,0.034153685,0.16687593,-0.057754513,-0.03039354,0.13569677,0.10612229,-0.0010819617,-0.00026603922,0.0009865023,-0.0036391313,-0.00018155346,0.057254016,0.00041535898,-0.0033854016,-0.008765901,-0.0009932307,0.013239941,0.09169104,0.01315006,0.016933795,0.16097815,0.10157134,0.015794626,0.013002112,0.00930889,-0.0012358394,0.0052985526,-0.0009057455,0.046387244,0.040918577,-0.00829986,-1.5003797,-0.010631299,0.026262878,0.0063961404,0.2912625
BU,4.190934686285504,0.6640608,2.7711099357470827e-10,0.24387032,-0.0027805672,-0.002002948,0.012276776,-0.0020494026,0.04372286,0.4409767,0.011179016,0.025230486,-0.036728766,-0.50433356,-0.35741904,-0.14623253,-0.8737038,-0.021289654,-1.0213884,-0.24116021,-0.20228492,-0.062051617,0.0022381565,-0.01482605,0.01551801,0.0027681193,-0.0015964574,0.00031109527,-0.05221251,-0.009330372,0.0008951602,0.0033121095,0.0030348562,0.0051223016,-5.7477344e-05,-0.005482884,-0.030783579,0.008124973,0.023231063,-0.39426392,0.0030807906,0.028184451,0.057366222,-0.22233404,0.0046538035,0.0008755227,-0.014379809,-0.082044564,0.0045395256,0.0036806266,-0.009369573,-0.008533254,-0.00989624,0.0008592622,0.0053052735,0.010042544,0.00045348264,0.008664769,0.0006374221,-0.09564862,0.0012579618,0.00014081763,0.022851933,-0.044963103,-0.023782834,0.003394648,-0.017900348,0.015631713,-0.1167185,-0.10580472,-0.035849467,-0.03728485,0.009714772,-0.7525107,-0.27243787,-0.20447762,-0.06260368,0.03112209,-0.49443683,-0.66472,-0.36895132,0.589902,1.1288588,-0.0012930639,-0.00075634196,-0.0043525063,-0.004199952,-0.0006326762,-0.011779518,0.23670709,-0.010512972,-0.010710776,0.007989788,-0.018573416,0.09326277,-0.017823003,-0.016028862,0.12829429,-0.026278272,-0.01744306,-0.017923791,-0.023966718,0.0013132029,0.0010372818,0.0023999123,0.04525512,0.042017948,0.013673209,-0.21583469,0.010229895,0.025968,0.010917829,0.25041527
BT,5.942944677209781,0.7439063,1.3622010631384872e-15,0.005755923,3.5582918e-05,0.00063357153,-0.0019736788,0.00041899318,0.0037103612,0.011179016,0.5533966,0.004901043,-0.0010831391,-0.006878414,-0.011117658,-0.0051302556,-0.015990132,0.0005296234,0.004913637,-0.006798591,0.15814392,-0.0034193783,-0.0011494502,-0.00090560137,0.00027425628,-1.1133652e-05,5.981662e-07,-0.00218579,-0.008972518,-0.00029358742,0.044593457,0.00066032837,5.7179997e-05,-0.004769856,8.8544926e-05,0.0026429854,-0.005506998,0.015575956,-0.010852374,-0.011062193,-0.0077588167,-0.0030850247,0.00652314,0.015539612,-0.00017900036,-0.00010647708,0.003060122,-0.011189088,-0.0023845627,4.1449835e-05,-0.0007475076,-0.00093350414,0.0049423776,-8.907359e-05,-0.00051041,-0.0030544642,-6.718542e-05,-0.0017705202,-0.0006997684,-0.0044072843,0.012018269,-3.6774207e-05,-0.001841444,0.006201013,-0.011657469,-0.00379323,-0.01528065,-0.0012574183,-0.0018551257,-0.0066631907,-0.010893096,-0.014521855,-0.0037301546,-0.014587413,-0.008209216,-0.008416999,-0.0026323681,-0.002074025,-0.010622921,-0.016569572,0.012863972,0.005424192,0.02151923,-0.18687968,-0.040981565,-0.34146383,-0.32532802,-0.04092931,-0.6564485,-1.5770915,-0.5268855,-0.42686337,0.18976891,-0.004480605,-0.0040745465,-0.004479299,-0.004895026,-0.013471428,-0.0059942887,-0.0034598594,0.018439787,-0.0043669753,-0.00091911195,-3.872262e-05,-7.079842e-05,0.00019261935,-0.0006690715,-0.00022942781,-0.02413151,-5.9461378e-05,0.024469392,0.00021315432,0.009351409
PV,3.41677180440778,0.3135436,1.187562490685777e-27,0.102180354,-0.00089330476,-0.0014888378,0.00339331,0.0004235903,-0.0108312825,0.025230486,0.004901043,0.09830958,0.005695121,-0.20529848,-0.16136146,-0.02660863,-0.41533238,-0.013009306,-0.41994044,-0.07806056,-0.08627058,-0.07259079,0.004600083,-0.0030981817,0.0039436985,-0.00035507762,-0.0006994924,-0.016797138,-0.015354209,-0.0010047017,4.41348e-05,0.013949131,-0.00040348765,-0.0064091524,0.00034038184,0.010871284,-0.009183315,0.04155063,0.050045006,0.038085442,-0.00076728704,-0.05794841,0.014850561,-0.07266818,0.003246688,0.0006294598,-0.0036103954,-0.030574583,0.0016853252,0.00042919384,-0.0025665483,-0.006461366,-0.015780564,0.00013439576,0.0010484168,-0.003122453,-0.00059764885,-0.0017901715,-0.002913915,0.007498595,-0.00012792893,0.00067887286,-0.0025800404,0.056190018,0.025896255,0.013003861,0.077050485,0.0066201803,0.115565136,-0.004190616,0.0026424078,-0.27707946,-0.001663249,-0.037344486,-0.018920941,0.00084790523,-0.0012194144,0.027150352,-0.0066270977,-0.036692362,-0.015149178,-0.051339697,0.07777378,-0.00010111392,-0.0003709564,-0.006713464,-0.002758656,-0.0003105034,-0.006209996,-0.015083999,-0.0046128,0.010430646,0.0017022827,-0.14659661,-0.040344667,-0.04169033,-0.12661228,-0.115973875,-0.12690708,-0.06492713,-0.087842196,-0.08255815,-0.0022250488,-0.0011057828,-0.00015265512,-0.010127998,-0.008507455,-0.00029834954,0.11817987,0.00049011834,-0.0036680743,-0.0012630868,-0.03840563
EL,1.8982382467122638,0.4932556,0.00011889825291098618,0.012799542,0.00013705889,-0.0004831103,0.00030786716,-0.0012725221,-0.039187778,-0.036728766,-0.0010831391,0.005695121,0.24330108,-0.018364657,-0.026643142,-0.01251045,-0.0751724,-0.00911192,-0.15093681,-0.03018282,-0.011688741,-0.0052473983,0.007373227,0.0014546897,-0.0014192368,-0.0009202478,-0.0001658997,-0.008824355,0.025548637,0.0025800297,-0.00046530092,-6.158167e-05,0.0031473537,0.0009537813,1.7046323e-05,0.003766176,0.0015852408,-0.004372977,0.033834316,0.05902523,-0.0003614504,-0.006451933,-0.22017536,-0.0052369,0.0009461526,0.00022662096,0.0005620971,0.02181975,0.004819364,-0.00043565014,-0.0003872368,-0.000673758,-0.35281438,0.0006684612,0.0017453382,0.0063496684,0.00048745185,0.005376101,0.0012668984,0.01873606,0.00059461343,0.00010704048,-0.044192325,0.0749166,0.066701464,0.008356905,0.15979552,0.0039550657,0.1805714,0.0052817045,0.026335629,-0.11997758,-0.003578551,0.04384029,0.014297125,0.026392179,0.002080587,0.014647881,-0.00013731934,0.062184762,0.03347121,-0.08014462,-0.21920028,0.0005939019,0.00021570735,0.00024631174,0.0005518818,0.00020655787,-0.00012122375,-0.029514791,0.0008427315,0.0026464714,-0.008754211,-0.0034295593,-0.0074324505,-0.0061075594,-0.008470423,-0.013320614,-0.010797013,-0.013201267,-0.005549562,-0.0051010805,0.0020189872,-0.047614936,-0.010409686,-0.25355706,-0.28668213,-0.028165992,2.1901953,0.03961577,-0.1678075,-0.055799793,-1.6286224
