Time,Sample,Replicate,CD,DP,CA,PC,CS,CH,BU,BT,PV,EL
1,CD,1,0.194866672,0,0,0,0,0,0,0,0,0
1,CD,2,0.231466666,0,0,0,0,0,0,0,0,0
1,CD,3,0.182966664,0,0,0,0,0,0,0,0,0
7,CD,1,0.207566654,0,0,0,0,0,0,0,0,0
7,CD,2,0.247966652,0,0,0,0,0,0,0,0,0
7,CD,3,0.374066656,0,0,0,0,0,0,0,0,0
14,CD,1,0.397033333,0,0,0,0,0,0,0,0,0
21,CD,1,0.4214,0,0,0,0,0,0,0,0,0
28,CD,1,0.358099992,0,0,0,0,0,0,0,0,0
35,CD,1,0.325333342,0,0,0,0,0,0,0,0,0
1,BT,1,0,0,0,0,0,0,0,1.067866638,0,0
1,BT,2,0,0,0,0,0,0,0,1.070966676,0,0
1,BT,3,0,0,0,0,0,0,0,1.029966667,0,0
7,BT,1,0,0,0,0,0,0,0,0.851166671,0,0
7,BT,2,0,0,0,0,0,0,0,0.837466662,0,0
7,BT,3,0,0,0,0,0,0,0,0.83266664,0,0
14,BT,1,0,0,0,0,0,0,0,1.145533333,0,0
14,BT,2,0,0,0,0,0,0,0,1.228833333,0,0
14,BT,3,0,0,0,0,0,0,0,1.212633333,0,0
21,BT,1,0,0,0,0,0,0,0,1.1372,0,0
21,BT,2,0,0,0,0,0,0,0,1.1513,0,0
21,BT,3,0,0,0,0,0,0,0,1.1358,0,0
28,BT,1,0,0,0,0,0,0,0,1.114000047,0,0
28,BT,2,0,0,0,0,0,0,0,1.106399978,0,0
28,BT,3,0,0,0,0,0,0,0,1.158799971,0,0
35,BT,1,0,0,0,0,0,0,0,0.89183332,0,0
35,BT,2,0,0,0,0,0,0,0,0.950533345,0,0
35,BT,3,0,0,0,0,0,0,0,0.613533333,0,0
1,BU,1,0,0,0,0,0,0,1.023266628,0,0,0
1,BU,2,0,0,0,0,0,0,1.002466634,0,0,0
1,BU,3,0,0,0,0,0,0,1.089066699,0,0,0
7,BU,1,0,0,0,0,0,0,0.373466675,0,0,0
7,BU,2,0,0,0,0,0,0,0.373666679,0,0,0
7,BU,3,0,0,0,0,0,0,0.369166677,0,0,0
14,BU,1,0,0,0,0,0,0,0.555233333,0,0,0
14,BU,2,0,0,0,0,0,0,0.579233333,0,0,0
14,BU,3,0,0,0,0,0,0,0.562633333,0,0,0
21,BU,1,0,0,0,0,0,0,0.7256,0,0,0
21,BU,2,0,0,0,0,0,0,0.7155,0,0,0
21,BU,3,0,0,0,0,0,0,0.7137,0,0,0
28,BU,1,0,0,0,0,0,0,0.576899971,0,0,0
28,BU,2,0,0,0,0,0,0,0.556099976,0,0,0
28,BU,3,0,0,0,0,0,0,0.58510002,0,0,0
35,BU,1,0,0,0,0,0,0,0.523133352,0,0,0
35,BU,2,0,0,0,0,0,0,0.497933343,0,0,0
35,BU,3,0,0,0,0,0,0,0.578833356,0,0,0
1,PV,1,0,0,0,0,0,0,0,0,0.899166659,0
1,PV,2,0,0,0,0,0,0,0,0,0.965766624,0
