Time,Sample,Replicate,CD,CA,EL,DP,BU,PV,CDEVO
0,CD_CA,1,0.00275,0.00275,0,0,0,0,0
0,CD_CA,2,0.00275,0.00275,0,0,0,0,0
0,CD_CA,3,0.00275,0.00275,0,0,0,0,0
0,CD_EL,1,0.00275,0,0.00275,0,0,0,0
0,CD_EL,2,0.00275,0,0.00275,0,0,0,0
0,CD_EL,3,0.00275,0,0.00275,0,0,0,0
0,CD_DP,1,0.00275,0,0,0.00275,0,0,0
0,CD_DP,2,0.00275,0,0,0.00275,0,0,0
0,CD_DP,3,0.00275,0,0,0.00275,0,0,0
0,CD_BU,1,0.00275,0,0,0,0.00275,0,0
0,CD_BU,2,0.00275,0,0,0,0.00275,0,0
0,CD_BU,3,0.00275,0,0,0,0.00275,0,0
0,CD_PV,1,0.00275,0,0,0,0,0.00275,0
0,CD_PV,2,0.00275,0,0,0,0,0.00275,0
0,CD_PV,3,0.00275,0,0,0,0,0.00275,0
1,CD_CA,1,0.223110036,0.031156618,0,0,0,0,0
1,CD_CA,2,0.271036259,0.035830422,0,0,0,0,0
1,CD_CA,3,0.302964457,0.042302218,0,0,0,0,0
1,CD_EL,1,0.898631383,0,0.158335284,0,0,0,0
1,CD_EL,2,0.417914924,0,0.113251754,0,0,0,0
1,CD_EL,3,0.741993592,0,0.130873103,0,0,0,0
1,CD_DP,1,0.274464886,0,0,0.155501777,0,0,0
1,CD_DP,2,0.21913332,0,0,0.21913332,0,0,0
1,CD_DP,3,0.28006658,0,0,0.154200082,0,0,0
1,CD_BU,1,0.31052838,0,0,0,0.437838279,0,0
1,CD_BU,2,0.338690786,0,0,0,0.41097591,0,0
1,CD_BU,3,0.320169086,0,0,0,0.441797565,0,0
1,CD_PV,1,0.471312344,0,0,0,0,0.430754309,0
1,CD_PV,2,0.589939254,0,0,0,0,0.289927411,0
1,CD_PV,3,0.561604197,0,0,0,0,0.284462461,0
7,CD_CA,1,0.100086078,0.005047259,0,0,0,0,0
7,CD_CA,2,0.110454946,0.005078388,0,0,0,0,0
7,CD_CA,3,0.091141614,0.007091711,0,0,0,0,0
7,CD_EL,1,0.328084416,0,0.137748918,0,0,0,0
7,CD_EL,2,0.362125252,0,0.167708093,0,0,0,0
7,CD_EL,3,0.350139131,0,0.136194207,0,0,0,0
7,CD_DP,1,0.210571864,0,0,0.074561466,0,0,0
7,CD_DP,2,0.132006903,0,0,0.036426433,0,0,0
7,CD_DP,3,0.113482172,0,0,0.033751163,0,0,0
7,CD_BU,1,0.197951892,0,0,0,0.097881425,0,0
7,CD_BU,2,0.192730137,0,0,0,0.096703191,0,0
7,CD_BU,3,0.181748276,0,0,0,0.095085047,0,0
7,CD_PV,1,0.377286292,0,0,0,0,0.345047048,0
7,CD_PV,2,0.411677774,0,0,0,0,0.294055553,0
7,CD_PV,3,0.383568705,0,0,0,0,0.339564647,0
14,CD_CA,1,0.270434721,0.017698607,0,0,0,0,0
14,CD_CA,2,0.261938019,0.006095312,0,0,0,0,0
14,CD_CA,3,0.247673061,0.02126027,0,0,0,0,0
14,CD_EL,1,0.430840951,0,0.055592381,0,0,0,0
14,CD_EL,2,0.393495989,0,0.10273736,0,0,0,0
14,CD_EL,3,0.393987163,0,0.100046178,0,0,0,0
14,CD_DP,1,0.115476435,0,0,0.060156897,0,0,0
14,CD_DP,2,0.109791307,0,0,0.100642032,0,0,0
14,CD_DP,3,0.016466276,0,0,0.174767066,0,0,0
14,CD_BU,1,0.258769169,0,0,0,0.105064174,0,0
14,CD_BU,2,0.259374721,0,0,0,0.105958603,0,0
14,CD_BU,3,0.263456609,0,0,0,0.10807673,0,0
14,CD_PV,1,0.342144011,0,0,0,0,0.303189343,0
14,CD_PV,2,0.33418697,0,0,0,0,0.328446335,0
14,CD_PV,3,0.371091149,0,0,0,0,0.291042192,0
21,CD_CA,1,0.165127469,0.016605864,0,0,0,0,0
21,CD_CA,2,0.193709975,0.013323354,0,0,0,0,0
21,CD_CA,3,0.185321299,0.015112037,0,0,0,0,0
21,CD_EL,1,0.346553345,0,0.141279999,0,0,0,0
21,CD_EL,2,0.350223521,0,0.146209819,0,0,0,0
21,CD_EL,3,0.374232928,0,0.133600396,0,0,0,0
21,CD_DP,1,0.219784873,0,0,0.126748448,0,0,0
21,CD_DP,2,0.166946494,0,0,0.112586825,0,0,0
21,CD_DP,3,0.172122711,0,0,0.130510627,0,0,0
21,CD_BU,1,0.261898497,0,0,0,0.098934842,0,0
21,CD_BU,2,0.279048903,0,0,0,0.086684415,0,0
21,CD_BU,3,0.318234852,0,0,0,0.093598486,0,0
21,CD_PV,1,0.345228685,0,0,0,0,0.328404675,0
21,CD_PV,2,0.352601378,0,0,0,0,0.303131931,0
21,CD_PV,3,0.382527237,0,0,0,0,0.282306093,0
28,CD_CA,1,0.222067244,0.019566097,0,0,0,0,0
28,CD_CA,2,0.286204527,0.028428798,0,0,0,0,0
28,CD_CA,3,0.265152135,0.029081202,0,0,0,0,0
28,CD_EL,1,0.388169574,0,0.119163749,0,0,0,0
28,CD_EL,2,0.349935105,0,0.138098235,0,0,0,0
28,CD_EL,3,0.318365432,0,0.156067915,0,0,0,0
28,CD_DP,1,0.136481838,0,0,0.141351489,0,0,0
28,CD_DP,2,0.126052268,0,0,0.157981075,0,0,0
28,CD_DP,3,0.084901324,0,0,0.160731995,0,0,0
28,CD_BU,1,0.254088569,0,0,0,0.102344748,0,0
28,CD_BU,2,0.332166123,0,0,0,0.094067213,0,0
28,CD_BU,3,0.355817321,0,0,0,0.104116004,0,0
28,CD_PV,1,0.306313703,0,0,0,0,0.377219653,0
28,CD_PV,2,0.408581476,0,0,0,0,0.262851839,0
28,CD_PV,3,0.436139213,0,0,0,0,0.237894116,0
35,CD_CA,1,0.249902219,0.016164439,0,0,0,0,0
35,CD_CA,3,0.292688631,0.014978046,0,0,0,0,0
35,CD_EL,1,0.41399148,0,0.09957521,0,0,0,0
35,CD_EL,2,0.473239202,0,0.082227468,0,0,0,0
35,CD_EL,3,0.412886923,0,0.099379731,0,0,0,0
35,CD_DP,1,0.1650593,0,0,0.086707369,0,0,0
35,CD_DP,2,0.204561646,0,0,0.114805005,0,0,0
35,CD_BU,1,0.288474468,0,0,0,0.065692206,0,0
35,CD_BU,2,0.353288356,0,0,0,0.05907832,0,0
35,CD_BU,3,0.325389253,0,0,0,0.082777411,0,0
35,CD_PV,1,0.532396468,0,0,0,0,0.106370196,0
35,CD_PV,2,0.512962405,0,0,0,0,0.125004245,0
35,CD_PV,3,0.587208014,0,0,0,0,0.099458671,0
42,CD_CA,1,0.285355068,0.024411605,0,0,0,0,0
42,CD_CA,3,0.180311686,0.016554968,0,0,0,0,0
42,CD_EL,1,0.511461322,0,0.045505363,0,0,0,0
42,CD_EL,2,0.567544285,0,0.066022355,0,0,0,0
42,CD_DP,1,0.290667468,0,0,0.13029921,0,0,0
42,CD_DP,2,0.250995208,0,0,0.106171462,0,0,0
42,CD_BU,2,0.326268485,0,0,0,0.097298177,0,0
42,CD_BU,3,0.360350183,0,0,0,0.097716482,0,0
42,CD_PV,1,0.283700488,0,0,0,0,0.506966174,0
42,CD_PV,2,0.302335316,0,0,0,0,0.502831368,0
42,CD_PV,3,0.309267805,0,0,0,0,0.496098852,0
49,CD_EL,1,0.409878102,0,0.093788552,0,0,0,0
49,CD_EL,2,0.42499245,0,0.069374211,0,0,0,0
49,CD_DP,1,0.135121036,0,0,0.071945634,0,0,0
49,CD_DP,2,0.135044011,0,0,0.134422643,0,0,0
49,CD_BU,2,0.346946732,0,0,0,0.105319917,0,0
49,CD_BU,3,0.320109175,0,0,0,0.115057497,0,0
49,CD_PV,1,0.295986532,0,0,0,0,0.443080143,0
49,CD_PV,2,0.326554648,0,0,0,0,0.398112022,0
49,CD_PV,3,0.305227819,0,0,0,0,0.446038854,0
56,CD_EL,1,0.475500003,0,0.0317,0,0,0,0
56,CD_EL,2,0.51107378,0,0.021526205,0,0,0,0
56,CD_DP,1,0.186464645,0,0,0.097835355,0,0,0
56,CD_BU,2,0.341443278,0,0,0,0.08975669,0,0
56,CD_BU,3,0.294609151,0,0,0,0.090290853,0,0
56,CD_PV,1,0.505533338,0,0,0,0,0.252766669,0
56,CD_PV,2,0.236227613,0,0,0,0,0.499972362,0
56,CD_PV,3,0.264644626,0,0,0,0,0.499555346,0
64,CD_EL,1,0.500285153,0,0.073814864,0,0,0,0
64,CD_EL,2,0.432757983,0,0.102641991,0,0,0,0
64,CD_DP,1,0.172991775,0,0,0.050708241,0,0,0
64,CD_BU,2,0.302133189,0,0,0,0.152766837,0,0
64,CD_BU,3,0.299194673,0,0,0,0.109905323,0,0
64,CD_PV,1,0.225852686,0,0,0,0,0.532947344,0
64,CD_PV,2,0.230261242,0,0,0,0,0.517638767,0
64,CD_PV,3,0.293908894,0,0,0,0,0.476791084,0
1,CD,1,0.238566672,0,0,0,0,0,0
1,CD,2,0.218566661,0,0,0,0,0,0
1,CD,3,0.235866671,0,0,0,0,0,0
7,CD,1,0.075133336,0,0,0,0,0,0
7,CD,2,0.079233331,0,0,0,0,0,0
7,CD,3,0.078633336,0,0,0,0,0,0
14,CD,1,0.221833323,0,0,0,0,0,0
14,CD,2,0.229033326,0,0,0,0,0,0
14,CD,3,0.255233323,0,0,0,0,0,0
21,CD,1,0.266133331,0,0,0,0,0,0
21,CD,2,0.325033329,0,0,0,0,0,0
21,CD,3,0.267433338,0,0,0,0,0,0
28,CD,2,0.204533324,0,0,0,0,0,0
