Param name,Param value,Param stdv,Param p-value,CA,BT,BU,CD,BV,CS,DP,CH,CA*CA,CA*BT,CA*BU,CA*CD,CA*BV,CA*CS,CA*DP,CA*CH,BT*CA,BT*BT,BT*BU,BT*CD,BT*BV,BT*CS,BT*DP,BT*CH,BU*CA,BU*BT,BU*BU,BU*CD,BU*BV,BU*CS,BU*DP,BU*CH,CD*CA,CD*BT,CD*BU,CD*CD,CD*BV,CD*CS,CD*DP,CD*CH,BV*CA,BV*BT,BV*BU,BV*CD,BV*BV,BV*CS,BV*DP,BV*CH,CS*CA,CS*BT,CS*BU,CS*CD,CS*BV,CS*CS,CS*DP,CS*CH,DP*CA,DP*BT,DP*BU,DP*CD,DP*BV,DP*CS,DP*DP,DP*CH,CH*CA,CH*BT,CH*BU,CH*CD,CH*BV,CH*CS,CH*DP,CH*CH
CA,0.2905064640089901,0.014162245,1.6568984480170513e-93,0.0002005692,1.1444474e-06,6.0488237e-06,1.8134482e-06,-2.938571e-06,-6.988005e-07,4.0303426e-06,1.420256e-06,-0.0003218863,-0.00020439694,-0.00012822618,-0.0003265162,-0.00010479449,-0.0054460024,-0.0003897443,-0.0006891125,4.374934e-07,-1.1797785e-06,-4.3763774e-07,-3.8081348e-06,1.7387207e-05,-0.00017509941,4.883281e-05,4.8714348e-05,3.5440462e-05,-6.0289344e-06,-5.0153943e-07,-2.0791334e-05,9.484163e-06,-0.00045667004,2.7056363e-05,5.7777455e-05,-2.5295221e-05,-1.0879372e-06,-7.898147e-07,3.84014e-06,-3.347168e-07,5.9575832e-05,-4.0050827e-07,5.521954e-05,-6.955875e-05,1.9115396e-06,-3.472353e-07,1.2676793e-05,7.994619e-07,0.0001013738,-0.00012414902,4.6882808e-05,0.00012569592,-4.088873e-06,3.6338881e-06,1.6106525e-05,5.661975e-06,2.1496105e-06,-3.2783e-05,3.6701433e-05,-3.243153e-05,-3.3687281e-06,-2.6355362e-06,1.8874439e-06,-4.518435e-06,9.479936e-06,-1.5199442e-05,0.00010749929,-1.7504077e-05,-2.986253e-06,3.4357395e-06,-1.3610348e-05,-1.809357e-05,0.00011091308,-4.4698318e-06,-3.2704015e-06
BT,0.9208903668108058,0.017952261,0.0,1.1444474e-06,0.0003222837,7.8302764e-05,7.4270815e-07,2.8004262e-05,-1.9413092e-07,-9.4539325e-07,1.2820736e-06,-1.5774669e-05,1.15238945e-05,4.002969e-06,1.8514928e-06,3.0653819e-06,6.6171444e-05,-1.7426929e-06,1.9092198e-05,1.5379668e-05,-0.00029927364,-0.00029243913,-0.00022470368,-0.00034500833,-0.005214611,-0.0012155501,-0.00027797627,-5.2106338e-05,-4.6665984e-05,-7.4211435e-05,-5.6811063e-05,-5.160748e-05,-2.9713814e-05,-3.354395e-05,8.228749e-05,-2.053194e-05,7.3143405e-05,1.3120602e-05,-6.1386695e-06,4.8276574e-06,0.00015837466,2.3368653e-05,0.00021761483,3.642437e-06,4.5849898e-05,1.6107604e-06,-1.6310796e-05,-3.9795712e-05,7.544622e-05,0.00013285775,-1.4752244e-05,-3.2676537e-05,0.0001947354,1.0553255e-05,1.1421402e-05,9.047339e-06,5.90994e-07,7.603525e-05,-2.8845592e-05,-9.125045e-06,0.00012322611,2.5673604e-05,3.7816533e-06,2.4674053e-05,9.549142e-05,3.6860592e-06,2.6669435e-05,-1.753014e-05,9.6547745e-05,8.69108e-06,-6.8481077e-06,-2.7628812e-07,0.00060017407,-0.00011814897,-2.8661723e-06
BU,0.9408119495648354,0.015045816,0.0,6.0488237e-06,7.8302764e-05,0.0002263766,5.7153895e-05,9.2903916e-05,1.0659589e-06,1.8247805e-05,6.1984006e-06,-3.522233e-05,1.1046156e-06,1.142253e-05,-4.318283e-06,5.5423243e-06,0.00015702478,-1.6292088e-05,8.193167e-05,3.5535853e-05,-9.934957e-05,-1.2411903e-05,0.00013429252,6.672376e-05,0.0016480369,0.0018009264,0.0011548478,-5.308501e-05,-0.00019465758,-0.00020933742,-0.0002014053,-0.00016825912,-0.0029401518,-0.00018664467,5.8521662e-05,-3.6008416e-05,-4.1971794e-05,-1.3686167e-05,-0.00012759892,-1.5357664e-05,-1.7626911e-05,-4.139388e-05,0.00031858354,0.0001236624,-6.622588e-05,-5.4481377e-05,-5.1154257e-05,-0.0001303062,-0.0003147719,0.00018632616,-4.784139e-05,-1.4536884e-05,3.521186e-07,1.0061373e-06,2.8680824e-05,1.051284e-05,-3.2763787e-06,5.3657324e-05,-6.505276e-05,-2.0208094e-05,1.0248222e-05,3.1206648e-05,-1.31055285e-05,5.0518807e-05,-2.5165471e-05,-6.3932006e-05,-6.3933665e-05,-4.7257632e-05,-3.5076841e-06,1.2035869e-05,4.505576e-05,-8.456809e-07,0.0017468398,-9.606109e-05,-1.3415684e-05
CD,0.7251874411907218,0.025185486,2.5601315582666784e-182,1.8134482e-06,7.4270815e-07,5.7153895e-05,0.00063430873,1.3790685e-05,1.1923972e-06,7.046475e-05,4.952109e-06,-4.0014147e-05,-7.078718e-06,-1.5486079e-05,5.3122867e-06,-8.501108e-06,0.0014875351,-1.1713674e-05,-0.000117206684,-3.7461607e-05,8.344853e-06,-6.4479086e-06,-0.00039900042,-4.8321785e-05,0.0014884967,-1.1429124e-05,0.00031068476,-0.0002305662,-4.901892e-05,-5.4632503e-05,3.1615e-05,-6.197112e-05,0.0010493825,0.00013581477,-5.9354323e-05,-0.00022161273,-0.000649054,-0.0003932668,-0.0013269987,-0.00022294377,-0.0026475324,-0.00066435715,-0.0017672522,-0.000103163926,-1.4214023e-06,-9.435659e-06,3.6350197e-05,-1.5638012e-05,0.00025280946,0.00019118807,-7.405668e-06,-7.9346064e-05,-5.050679e-06,1.0751607e-05,0.0002826656,1.1692974e-05,-3.6545148e-06,0.0001688941,-5.3155756e-05,-5.915434e-05,-7.179499e-05,-6.611161e-05,9.909747e-06,-6.843082e-05,0.0001934181,-0.00026746825,-0.00041229566,-4.9471786e-05,-1.4446847e-05,-1.3833776e-05,0.0009462579,7.041076e-06,0.00012892298,0.00058187667,-1.0338002e-05
BV,0.7232515872811124,0.01923325,1.833082287899267e-309,-2.938571e-06,2.8004262e-05,9.2903916e-05,1.3790685e-05,0.00036991786,7.5191633e-07,6.8921404e-06,3.738795e-05,-2.2520828e-05,1.3786107e-05,8.276103e-06,-3.135362e-06,4.1987925e-05,0.0006272544,2.6123264e-05,0.00015216618,1.1179658e-05,-3.8046408e-05,-1.1128257e-05,8.993541e-05,5.0819992e-05,0.0018872644,0.0010254264,0.0006344899,-7.690858e-05,-8.06106e-05,-7.614156e-05,-0.00010403729,-6.415888e-05,-0.00027414737,0.00011244238,0.0003296399,-2.959185e-05,-1.3558648e-05,7.0603187e-07,-2.3193275e-05,1.1541491e-05,5.7420693e-05,-1.8034241e-05,-4.948345e-05,0.0005398196,-0.00043526103,-0.0003536256,-0.00017778468,-0.00045480984,-0.0014806926,-0.002678646,-0.00018516886,-5.276547e-05,6.2566046e-06,2.2339678e-05,2.1654974e-05,3.169411e-05,-2.3077118e-06,4.5059674e-05,2.8230863e-05,-1.733721e-05,6.6650327e-06,2.3890374e-05,-6.8089225e-06,0.00022572662,9.277628e-05,-2.31065e-05,8.0227706e-05,-2.9188173e-05,-3.1033236e-05,-9.297859e-05,-0.00013828243,4.0639716e-06,0.003370559,-0.00072039064,-7.889478e-05
CS,0.3127575229089316,0.0035905375,0.0,-6.988005e-07,-1.9413092e-07,1.0659589e-06,1.1923972e-06,7.5191633e-07,1.2891959e-05,3.3808848e-07,-2.3852078e-07,1.116594e-05,8.161679e-07,7.652842e-07,-1.145338e-06,1.897421e-06,-0.00026600293,-4.0774507e-06,-1.4780392e-05,-6.2417183e-07,2.5653165e-07,2.4057354e-07,-3.5069488e-07,-4.827547e-07,-8.7219945e-05,1.0622906e-05,-7.889674e-06,-2.267613e-06,-1.0738189e-06,-9.025703e-07,-1.8800367e-06,-1.2935228e-06,0.0001058604,8.549588e-07,-8.154521e-06,-9.3725043e-07,-1.4115369e-06,-7.844363e-07,-2.4843866e-06,-3.791579e-07,8.203111e-06,-1.5435089e-06,-2.5128115e-06,-1.2736157e-06,-7.764409e-07,-7.773089e-07,-3.354847e-07,-8.6404555e-07,1.0278687e-05,-3.355765e-06,1.1874736e-06,-1.0869625e-06,-1.711502e-05,-1.313935e-05,-3.6834317e-05,-1.5076889e-05,-3.984394e-05,-7.925743e-05,-2.4791689e-05,-7.3731184e-07,-3.6675897e-07,-1.437904e-07,-2.4279706e-07,-5.5146558e-08,-1.2367096e-06,-1.2272128e-06,-2.1526278e-06,1.3228124e-06,5.4269094e-07,1.5358147e-06,3.004585e-06,9.5534e-07,-0.00022419638,-2.3820066e-06,4.8781226e-07
DP,0.5137605129818881,0.010799878,0.0,4.0303426e-06,-9.4539325e-07,1.8247805e-05,7.046475e-05,6.8921404e-06,3.3808848e-07,0.00011663738,5.8875494e-06,-3.4424436e-05,-6.433392e-06,-3.864411e-06,-1.7321393e-06,-5.3741137e-06,0.00054602907,-6.550958e-05,-1.6138241e-05,-1.5505735e-05,5.0318617e-06,1.3163947e-06,-5.007034e-05,-2.7764681e-05,0.00027059994,-0.00074622955,0.00011751489,-2.7968847e-05,-1.645027e-05,-1.6755277e-05,-1.2169106e-05,-1.1798305e-05,-4.5661684e-05,2.8101707e-05,9.818633e-06,-1.9310584e-05,-7.348089e-05,-4.1870768e-05,-0.0001490786,-2.248872e-05,6.195169e-05,-0.00017461722,0.00038698417,1.3224528e-05,-6.6224866e-06,-6.322909e-06,1.0501152e-06,-8.30944e-06,-5.9927235e-05,-5.5620832e-05,-4.2780553e-05,1.5599071e-05,-7.658344e-06,9.174569e-06,3.8537924e-05,2.523813e-06,-1.0355379e-06,3.956384e-05,-3.7607875e-05,-2.8370774e-05,-0.00013137836,-0.000110447094,-0.00016094769,-0.00013982355,-0.0005976629,-0.00040478396,-0.0009759095,-1.3404298e-05,-4.1535086e-06,-2.0327214e-05,0.00015626386,-2.1150017e-06,-0.00029653605,0.0009643342,-1.206211e-05
CH,0.5231113432241141,0.013210261,0.0,1.420256e-06,1.2820736e-06,6.1984006e-06,4.952109e-06,3.738795e-05,-2.3852078e-07,5.8875494e-06,0.00017451099,-8.025842e-06,-1.3359522e-06,3.5281954e-07,-1.3169745e-06,-2.091191e-06,-5.1512096e-05,1.9553731e-06,-0.00012078779,-7.2662215e-06,1.8570407e-07,-4.077065e-06,1.5054399e-06,-3.2624645e-05,0.0003747409,2.094095e-05,-0.001032463,-3.7574864e-05,-6.408373e-06,-8.563383e-06,3.7250954e-06,-1.1886781e-05,0.00060160155,-2.0652824e-05,-0.00023759603,-4.9815517e-06,-6.510751e-06,-3.6978186e-06,-9.346838e-06,-4.8255833e-07,3.1645035e-05,-4.2429465e-06,-0.00036323108,5.784996e-05,-4.6213747e-05,-3.600511e-05,-1.512619e-05,-4.8814243e-05,-0.00013198539,-0.00021292086,-5.3762946e-05,-8.074163e-06,1.28237725e-05,4.20538e-06,9.666158e-06,1.5212031e-05,7.3191995e-07,1.8855868e-05,0.00014107194,-3.464026e-06,-6.07632e-06,-4.569292e-06,-4.3154137e-06,2.2597504e-05,-4.323924e-05,-2.0840664e-05,7.572777e-05,4.0325303e-05,-0.00016871566,-0.00013527252,-0.0004579262,-0.00016416667,-0.0019001042,-0.0015995655,-0.0003760415
CA*CA,-1.5205136464381748,0.11758407,2.997498688322885e-38,-0.0003218863,-1.5774669e-05,-3.522233e-05,-4.0014147e-05,-2.2520828e-05,1.116594e-05,-3.4424436e-05,-8.025842e-06,0.013826014,0.00032182492,-0.00018725525,-0.0026328047,-0.00028011596,-0.0045942753,-0.010449498,-0.00045531036,4.281801e-05,1.913157e-05,6.8653753e-06,-1.7557575e-05,-2.4862733e-05,0.00030622777,-0.00030110468,-0.0003803182,-0.0001673776,2.8669914e-05,2.5273486e-05,9.219916e-06,-7.728554e-06,0.00021346037,-9.31471e-05,-0.00040999698,0.0007007296,3.890909e-05,-1.571552e-05,6.1039245e-05,-0.000105817046,-0.0007118546,-0.00022576313,-0.0004221946,0.0004258423,1.45635595e-05,1.1496137e-05,4.4355343e-06,3.4702647e-05,0.00017677947,0.0013243059,-0.0004598391,-0.0025526348,-4.2893447e-05,-6.895594e-05,-0.00034634204,-1.4376243e-05,-3.4304e-05,0.0012581735,-0.00023570287,0.00052306085,2.5658985e-05,5.9567265e-06,-6.205672e-05,9.2825176e-05,-0.00012592856,0.00013812701,-0.0008673575,0.00021528275,3.066126e-05,-4.6662928e-05,0.00023094591,0.00015862772,-0.00097250286,-0.00013988346,2.0125957e-05
CA*BT,-0.23283704166090657,0.0294949,2.923103970732246e-15,-0.00020439694,1.15238945e-05,1.1046156e-06,-7.078718e-06,1.3786107e-05,8.161679e-07,-6.433392e-06,-1.3359522e-06,0.00032182492,0.0008699492,6.698105e-05,0.00035447165,0.000104264465,0.002983601,0.00046802603,0.00079727423,5.115357e-05,9.679796e-06,-2.3658993e-05,-5.1372193e-05,-6.220746e-05,0.002816279,-0.00021176442,0.00010948034,-6.677867e-06,1.1441553e-05,-1.0421376e-05,2.0270014e-05,-1.9007564e-05,1.4475235e-05,-1.9439665e-05,0.00012717301,2.0022777e-05,1.27217945e-05,3.041749e-06,7.884981e-06,1.3744993e-06,-8.0311365e-05,1.1186249e-05,-6.717306e-05,0.00021822253,-5.3293574e-05,-1.0343158e-06,-3.058226e-05,-1.4484489e-05,-5.73245e-05,-3.737312e-05,-9.5117575e-05,-0.00012254802,-0.00032573985,6.7107926e-06,-1.5003847e-06,1.7199083e-05,-2.5096422e-06,0.00012700888,-0.000115565126,3.1719665e-05,7.049307e-06,5.1056772e-06,2.473865e-06,9.607887e-06,-3.724247e-05,2.323224e-05,-9.774548e-05,-1.0900058e-06,3.9533435e-05,-1.537269e-05,-8.354416e-06,5.5774967e-06,0.00049420533,-7.973163e-05,3.2256137e-06
