Param name,Param value,Param stdv,Param p-value,CA,BT,BU,CD,BV,CS,DP,CH,CA*CA,CA*BT,CA*BU,CA*CD,CA*BV,CA*CS,CA*DP,CA*CH,BT*CA,BT*BT,BT*BU,BT*CD,BT*BV,BT*CS,BT*DP,BT*CH,BU*CA,BU*BT,BU*BU,BU*CD,BU*BV,BU*CS,BU*DP,BU*CH,CD*CA,CD*BT,CD*BU,CD*CD,CD*BV,CD*CS,CD*DP,CD*CH,BV*CA,BV*BT,BV*BU,BV*CD,BV*BV,BV*CS,BV*DP,BV*CH,CS*CA,CS*BT,CS*BU,CS*CD,CS*BV,CS*CS,CS*DP,CS*CH,DP*CA,DP*BT,DP*BU,DP*CD,DP*BV,DP*CS,DP*DP,DP*CH,CH*CA,CH*BT,CH*BU,CH*CD,CH*BV,CH*CS,CH*DP,CH*CH
CA,0.30615447821459923,0.0153426295,1.3699036899789283e-88,0.00023539629,1.6210122e-06,8.372259e-06,9.351469e-06,1.0219754e-05,-1.2398207e-06,9.3348336e-07,-9.037625e-06,-0.00024243964,-0.0002598998,-0.0001682266,-0.00047606195,-0.00017287687,-0.003935496,-0.0005304774,-0.0009291212,-6.683623e-06,-1.325171e-06,-2.3477528e-06,2.4361723e-05,2.6949847e-06,0.0011778319,0.00031876768,0.0004095047,6.738627e-07,-6.8948407e-06,-8.425796e-06,-1.04055725e-05,-5.013657e-06,1.1987841e-05,0.00019308492,0.0002179621,2.8216548e-06,-9.637587e-06,-6.496273e-06,-1.6397622e-05,-5.346927e-06,3.799319e-05,-2.2446495e-05,6.9074913e-06,-5.0977637e-06,-1.3957203e-05,-4.6760315e-06,-6.463606e-06,-1.3681231e-05,3.4603338e-05,-0.0001526236,-3.110028e-05,8.89221e-05,-0.00010647139,1.682698e-06,1.0102327e-05,6.0436746e-06,3.7852333e-06,5.5892388e-06,8.897261e-05,9.051166e-06,3.394875e-07,2.0879309e-06,-3.580959e-06,2.4616972e-06,1.7178187e-05,-2.416885e-06,-5.913739e-06,0.0001823642,2.7517203e-06,8.061644e-06,-4.3771688e-05,-2.0694602e-05,7.81595e-05,-0.00025395094,1.9445808e-05
BT,0.8419534369112796,0.014570682,0.0,1.6210122e-06,0.00021230479,4.3892964e-05,1.7483711e-06,1.8815354e-05,-3.695568e-08,-8.134584e-07,-3.2740658e-07,-1.1144721e-05,4.149342e-06,4.4687085e-06,-2.1202825e-06,-6.194997e-07,5.7089033e-05,-6.64987e-07,-4.73832e-06,-1.8235601e-06,-0.00020662395,-0.00017237739,-0.00088502775,-0.00023109106,-0.006936855,-0.0028084365,-0.0019176167,3.980426e-05,-4.805382e-05,-3.8778162e-05,-1.6675242e-05,-2.1004571e-05,-0.0010113304,5.4423348e-05,5.7050343e-05,-3.0124438e-06,0.00020584934,4.0689097e-06,-4.1651374e-06,2.9721916e-06,7.06991e-06,1.2417722e-06,5.174108e-06,3.7311613e-05,-1.4260221e-05,-5.988134e-06,3.2703672e-06,-2.2150092e-05,-0.00032648625,5.5780743e-05,-3.8484035e-05,3.1159261e-06,-0.00022941822,1.2551228e-09,5.5021326e-07,5.8701353e-06,1.1279326e-07,5.4685884e-06,-2.9976463e-06,-3.963614e-06,0.0002613003,1.0376e-05,2.4093717e-06,1.1427741e-05,4.092606e-05,2.1802139e-06,4.1857234e-05,-9.279138e-06,0.00030831146,-1.6559597e-06,-2.5031164e-05,-2.9356333e-06,0.00059157575,-4.8222224e-05,6.328494e-07
BU,0.9156717344134053,0.01612211,0.0,8.372259e-06,4.3892964e-05,0.00025992244,2.9395535e-05,7.550835e-05,1.1928223e-06,1.1026375e-05,7.922307e-06,-9.144958e-05,-9.121015e-06,8.656693e-06,-7.355825e-06,6.8952836e-06,0.0005668383,1.3504943e-05,-4.5555178e-05,3.7343652e-05,-5.0592258e-05,-2.6950104e-07,0.0010406933,-4.80509e-06,0.0020207777,0.0035175702,0.0028372763,-7.601254e-06,-0.00021483767,-0.0002644349,-6.126763e-05,-0.00021555448,-0.0024172554,-0.00014171268,0.00023055293,-2.1221795e-05,6.845388e-06,5.9401254e-06,-6.426259e-05,-9.979446e-06,-8.458782e-05,-3.3680586e-05,7.9683343e-07,3.8633596e-05,-3.4135766e-05,-3.188234e-05,0.00012363259,-0.00010756373,-0.0011754355,0.0006457024,-1.1664906e-05,1.2109225e-05,0.00090286357,7.631507e-06,-7.4325914e-07,2.408836e-06,-3.662765e-06,1.3331365e-05,-5.0443494e-05,-1.3269368e-05,-1.1699183e-05,5.781709e-05,-1.3444347e-06,6.9466834e-05,-0.000108001055,-3.905219e-05,2.5597883e-05,-5.7704496e-05,-4.3344393e-05,1.8696677e-05,1.7630407e-05,2.2667668e-05,0.0008941185,-8.227058e-05,-1.710074e-05
CD,0.676391264323492,0.013793659,0.0,9.351469e-06,1.7483711e-06,2.9395535e-05,0.00019026504,1.7432432e-05,3.0128717e-06,6.354979e-05,9.3522885e-06,-0.00011272247,-8.122683e-06,-4.380846e-06,-1.5122993e-05,-7.096414e-06,0.0011419489,-4.4632536e-05,6.1821406e-06,6.300026e-06,-1.0901927e-06,4.965677e-07,-0.0004806922,-2.6467978e-06,0.00065778417,-0.00013360521,0.0006099728,4.430237e-05,-2.370933e-05,-3.6365673e-05,-9.682025e-06,-2.5106268e-05,-0.0011027241,0.0003233572,0.0002758869,-4.7327747e-05,-0.00024972786,-0.00016555113,-0.00042564637,-0.00017239961,-0.00058901234,-0.00029457093,-0.0002772796,-7.704374e-05,-1.3047941e-05,-9.140938e-06,-0.00019044688,-1.640708e-05,-0.00023370463,-9.8058204e-05,-2.7683545e-05,1.38938e-05,-7.382755e-05,3.2919822e-06,6.4380974e-06,6.7891697e-06,-9.4007655e-06,6.50345e-06,-0.00011205278,3.7196853e-07,-6.63543e-05,-6.328028e-05,-4.739755e-05,-4.2491574e-05,5.0205923e-05,-0.00023549136,-0.00036948227,-0.00052096497,-9.355861e-06,-1.696844e-05,0.00057184184,6.840256e-05,-0.00013877754,0.0008131057,-1.9660969e-05
BV,0.6995989451755698,0.01788995,0.0,1.0219754e-05,1.8815354e-05,7.550835e-05,1.7432432e-05,0.00032005034,1.28971e-06,3.590788e-06,4.0406885e-05,-0.00014952733,7.952823e-06,1.2957056e-05,-1.285755e-05,1.2212173e-05,0.001003542,5.0806826e-05,3.5285855e-05,1.4113505e-05,-2.1862577e-05,-2.1588861e-05,0.00039265514,0.00010454195,0.004883924,0.0030668855,0.0020328132,7.0058936e-06,-6.413275e-05,-7.905001e-05,-1.756055e-05,-2.574456e-05,-0.0050065485,0.0021996635,0.0015665826,-1.5154547e-05,3.782743e-05,-8.495056e-07,-3.7551883e-05,3.9755505e-05,4.508544e-07,-2.1632955e-05,2.0735537e-05,0.00040217588,-0.000373208,-0.00026521826,-0.00010806623,-0.00034708824,-0.0042347615,-0.0022477547,-0.0004885976,8.047989e-06,-0.0006834175,-3.77801e-06,8.219785e-07,2.4336501e-05,-3.931935e-06,-8.111874e-06,9.598572e-05,-7.235738e-06,1.2337717e-05,2.6404974e-05,-3.6588738e-06,0.00022165512,3.611871e-05,-1.2466717e-05,0.00014075768,0.00049387175,-9.200565e-06,-9.540876e-05,-0.00058410806,-8.591812e-05,0.004352545,-0.0015301645,-8.552196e-05
CS,0.31109825935332824,0.003695756,0.0,-1.2398207e-06,-3.695568e-08,1.1928223e-06,3.0128717e-06,1.28971e-06,1.3658612e-05,1.1078163e-06,8.8879716e-08,2.8995933e-05,1.2413253e-06,8.550272e-07,-4.3197024e-06,2.0250657e-06,-0.00043682678,-9.237247e-06,-6.8258587e-06,-4.5003273e-07,8.83787e-08,-1.7227227e-07,-8.286669e-06,-8.981696e-07,-7.452342e-05,0.00010581258,2.6331862e-05,-4.2183632e-07,-1.111833e-06,-1.380051e-06,-7.180771e-06,-2.0364855e-06,0.00019116921,9.800555e-05,9.253302e-06,-1.6295978e-06,-3.5505986e-06,-2.8442657e-06,-6.3855286e-06,-2.5133243e-06,2.9901688e-05,-6.2728036e-06,-3.2655469e-06,-4.337706e-06,-9.701221e-07,-1.5330146e-06,-1.3615661e-06,-1.8453342e-06,0.00013796799,2.0592308e-05,1.4106221e-06,-1.1493822e-05,-4.1633528e-05,-1.27780895e-05,-3.042009e-05,-1.6288737e-05,-4.2367483e-05,-3.5566416e-05,-5.0582385e-05,-1.19145696e-07,-2.39954e-06,-1.6653543e-06,-1.8363245e-06,3.5701822e-07,1.69299e-06,-3.7070886e-06,-6.1556757e-06,-6.5822587e-06,5.2281075e-07,3.462378e-08,1.1037429e-05,2.4285446e-06,-0.00027175876,5.1723464e-06,-2.1775242e-07
DP,0.550314797717991,0.010753307,0.0,9.3348336e-07,-8.134584e-07,1.1026375e-05,6.354979e-05,3.590788e-06,1.1078163e-06,0.00011563361,1.4405889e-05,1.3313376e-05,-1.6363961e-06,1.1289433e-06,-1.1045696e-05,-4.1281132e-06,0.00029608593,-0.00010662719,0.000108071195,3.928929e-06,1.6794486e-06,1.8852188e-06,-0.00017121961,-1.556449e-05,0.00040526158,-0.0015883995,0.000109338725,3.346785e-05,-9.2306655e-06,-1.2735238e-05,1.3298782e-05,-9.425389e-06,-0.00029985813,-0.00039341717,3.3991808e-05,-1.9181183e-05,-7.82359e-05,-5.191667e-05,-0.00014132007,-5.4845237e-05,-8.5020765e-05,-0.00012106944,-4.703457e-05,-7.653715e-05,-9.941439e-07,3.205456e-06,-6.817302e-05,1.1612252e-06,9.611397e-06,-0.00032174666,-6.312205e-05,2.1129517e-07,-1.7167411e-05,3.6530325e-06,1.2206977e-05,8.789529e-06,-3.5200353e-06,7.795119e-06,-0.00018251929,3.069016e-05,-0.00011980602,-0.0001248839,-0.00016298733,-0.00013556136,-0.0002215155,-0.0003958687,-0.0010973731,-0.00076591165,3.6862912e-07,-1.3272293e-05,0.0005910965,0.00010407409,-0.0010991318,0.0010508598,-3.0392941e-05
CH,0.5158217365007358,0.013172639,0.0,-9.037625e-06,-3.2740658e-07,7.922307e-06,9.3522885e-06,4.0406885e-05,8.8879716e-08,1.4405889e-05,0.00017351842,6.584675e-05,1.1530372e-05,-4.455908e-06,4.520324e-06,1.4157761e-05,-8.5135835e-05,-8.70287e-06,-0.0001364841,-1.0437044e-05,8.6139494e-07,-1.9656868e-06,4.791916e-05,-1.2442697e-05,0.00097304716,-0.00028665134,-0.0022880773,-5.066847e-05,-4.0807377e-06,-1.1990399e-05,5.634921e-06,-2.5790016e-05,0.0011660826,-0.0003158776,-0.00061285065,-8.675023e-06,-4.5447023e-06,-6.607141e-06,-2.0524432e-05,-7.069027e-07,-7.2657117e-06,-7.79362e-06,1.3248589e-05,9.948902e-05,-5.0894745e-05,-3.8072798e-05,-1.7262988e-05,-4.7571673e-05,-0.0004590786,-0.00026568686,-0.00013214728,-5.773266e-06,7.291535e-05,1.766369e-06,1.300678e-06,5.542014e-06,-2.5822135e-07,4.021589e-05,0.00029539815,-8.259609e-06,-5.4624195e-07,-1.1305125e-05,-1.3131511e-05,1.7864424e-05,-8.04383e-05,-5.0631144e-05,0.0002902028,0.00043824693,-0.00020049374,-0.00012569485,-0.0006452189,-0.00023270142,-0.0016898564,-0.0012265736,-0.00037928188
CA*CA,-1.8667921024052843,0.15581518,4.479261068755789e-33,-0.00024243964,-1.1144721e-05,-9.144958e-05,-0.00011272247,-0.00014952733,2.8995933e-05,1.3313376e-05,6.584675e-05,0.02427837,5.110568e-05,-0.0006391007,-0.0066289753,-0.0011006449,-0.04023084,-0.011128,-0.0025414503,2.202757e-05,1.3455274e-05,-7.2856795e-07,-0.00020274884,2.8629838e-05,-0.0064169206,-0.0021563477,-0.003948186,-0.00015543973,6.223552e-05,0.0001136621,0.0001645563,0.00013340867,-0.00851874,-0.00046675495,-0.0016572416,6.498703e-05,0.00014130087,6.811057e-05,0.00026408143,3.2328207e-05,-0.0010386258,0.00026120397,7.584439e-05,-0.0004934078,0.00018893028,7.791695e-05,0.00025750673,0.00018830976,-0.00047634527,0.0015492926,0.00020586897,-0.0016550177,-0.00084969,-7.391286e-05,-0.00016319452,-9.96298e-05,-8.8621564e-05,1.22496085e-05,-0.0012620988,-0.00010554043,-3.864655e-05,-0.000100228805,5.4000702e-05,-5.6544348e-05,-0.00028625893,-5.9077145e-05,0.00024363269,-0.0032330228,3.232393e-05,-0.00014594357,0.000905101,0.00029413082,0.0031449338,0.0025971627,-0.0001417958
CA*BT,-0.2253340358270703,0.031509023,8.588918921134459e-13,-0.0002598998,4.149342e-06,-9.121015e-06,-8.122683e-06,7.952823e-06,1.2413253e-06,-1.6363961e-06,1.1530372e-05,5.110568e-05,0.0009928185,9.942781e-05,0.00061093696,0.00016947355,0.0047026165,0.0006572595,0.0011205389,4.847971e-05,6.9521075e-06,-1.3511799e-05,5.6827626e-05,-3.2177933e-05,0.0073854607,0.000444575,0.00024837046,6.597908e-05,2.0128076e-05,2.3878786e-06,1.0609482e-05,2.4499359e-05,-0.0010166268,0.0002136368,-1.8076336e-05,-4.2988145e-06,-3.2631826e-05,4.0977684e-06,1.3037149e-05,7.293891e-06,-3.4560708e-05,2.2027412e-05,-5.0933136e-06,0.00013576029,-3.3655866e-05,6.04515e-07,-1.6770011e-05,-6.0868606e-06,-0.00045598065,-1.1744261e-05,-2.2022297e-05,-8.294086e-05,-0.0013129427,-3.4846814e-06,-1.064336e-05,9.838011e-06,-3.7918708e-06,-4.4133303e-06,-9.905783e-05,-8.961765e-06,-2.8509023e-05,2.7736232e-06,3.3679746e-06,9.945917e-06,2.6664804e-05,4.800589e-06,-7.2546295e-06,-0.00010638591,5.4425136e-06,-5.465052e-06,-2.6020607e-05,1.4325823e-05,0.00016870249,0.00011669138,-2.4942403e-05
