Param name,Param value,Param stdv,Param p-value,CA,BT,BU,CD,BV,CS,DP,CH,CA*CA,CA*BT,CA*BU,CA*CD,CA*BV,CA*CS,CA*DP,CA*CH,BT*CA,BT*BT,BT*BU,BT*CD,BT*BV,BT*CS,BT*DP,BT*CH,BU*CA,BU*BT,BU*BU,BU*CD,BU*BV,BU*CS,BU*DP,BU*CH,CD*CA,CD*BT,CD*BU,CD*CD,CD*BV,CD*CS,CD*DP,CD*CH,BV*CA,BV*BT,BV*BU,BV*CD,BV*BV,BV*CS,BV*DP,BV*CH,CS*CA,CS*BT,CS*BU,CS*CD,CS*BV,CS*CS,CS*DP,CS*CH,DP*CA,DP*BT,DP*BU,DP*CD,DP*BV,DP*CS,DP*DP,DP*CH,CH*CA,CH*BT,CH*BU,CH*CD,CH*BV,CH*CS,CH*DP,CH*CH
CA,0.2993686861621256,0.022542043,3.005439274186691e-40,0.0005081437,4.0453465e-06,1.1414487e-05,2.0455454e-05,2.2869037e-05,-1.2880779e-06,2.242081e-05,3.1613967e-05,-0.00066106557,-0.0005092497,-0.0004244156,-0.0008304878,-0.00015387268,-0.007904438,-0.0018261172,-0.0028537079,0.00011447736,-2.699444e-06,-5.342696e-06,-2.948467e-05,6.2379135e-05,0.00016201542,0.00021408538,-4.0236733e-05,-3.180971e-05,-6.442882e-06,-3.9815786e-06,-3.3258086e-05,3.0681687e-05,-0.00030183053,0.00020355418,-1.3703572e-05,-3.9017363e-05,-1.4055729e-05,-6.7142573e-06,-4.648522e-05,3.4602188e-05,0.00044004677,-7.2154658e-06,0.00023734794,-9.091526e-05,-4.003048e-05,-1.6949893e-05,4.6002488e-06,-3.4976354e-05,0.000567184,-0.0002234641,2.302667e-05,0.00020942604,2.4890007e-06,1.6296059e-05,4.2802112e-05,8.622902e-06,3.9812944e-06,2.512696e-05,0.00014358317,-6.9039896e-05,-1.7454811e-05,-1.7771803e-05,-1.9170553e-05,-1.5621996e-05,0.000573378,-7.455147e-05,9.476953e-05,-0.00065689307,-2.4797871e-05,-1.98536e-05,3.5194098e-06,5.813427e-05,0.00022925992,0.00060605956,-7.58658e-05
BT,0.9849673819121829,0.01798058,0.0,4.0453465e-06,0.00032330124,0.00011234938,1.5829273e-05,4.3162534e-05,-1.8503295e-07,1.5112697e-06,-3.4614839e-06,-2.7962278e-05,1.0186668e-05,1.4049465e-06,-1.9913462e-06,-5.276565e-06,9.4121366e-05,1.7499377e-05,1.9832132e-05,7.1015995e-05,-0.00030606185,-0.00027576694,-0.00022504685,-0.0004253744,-0.0020060148,-0.00086949044,-0.00020262055,1.8895249e-05,-8.312863e-05,-0.00014147251,-7.464547e-05,-0.00010641823,0.0006305695,0.00022331033,0.00016880888,-1.2881434e-05,2.220417e-05,8.027609e-06,-4.5618563e-05,4.2907886e-06,-4.337299e-05,4.1754943e-06,3.50495e-06,-2.3612036e-05,8.560299e-05,-1.9062241e-05,-2.9634002e-05,-4.9380404e-05,0.00024433807,0.00013438056,-1.7723629e-05,-1.2358551e-05,0.00010727846,7.550606e-06,3.444359e-06,2.688498e-06,5.656497e-07,8.4942396e-05,4.96361e-05,-5.432505e-06,0.0001294456,2.1993468e-05,-8.1188057e-07,1.4889477e-05,0.00025575314,-5.594884e-06,2.4965171e-05,1.616586e-05,6.03226e-05,3.584361e-05,2.7990234e-05,5.6037075e-06,6.0937373e-06,5.2651667e-06,7.167793e-06
BU,0.912027785886919,0.01731237,0.0,1.1414487e-05,0.00011234938,0.00029971814,4.5330875e-05,0.000108504435,1.439944e-06,2.1301365e-05,3.159591e-06,-8.8429966e-05,-2.0326556e-06,-3.5251478e-06,1.3951153e-05,-1.6657736e-05,-0.00015549661,1.5970241e-05,0.00015499812,0.00012866867,-0.00014001061,-3.112302e-05,0.00015781306,3.5776848e-05,0.0029753838,0.0024293805,0.0013124212,-5.369144e-06,-0.00024195737,-0.00034852402,-0.00021575745,-0.00027585574,-0.0014522421,-0.00012549535,0.00030174304,-2.7662838e-05,-3.3698583e-05,-1.0844855e-05,-8.713064e-05,-1.6573431e-05,-0.0005821738,-8.818263e-05,-4.465373e-05,-1.637431e-05,-6.7168994e-06,-8.1642924e-05,-6.3967454e-05,-0.00012630565,6.574579e-05,0.00032878772,-3.4055898e-05,5.417411e-05,2.7986305e-05,-3.2007947e-06,1.8200341e-06,-1.2175767e-05,-4.451967e-06,8.59e-05,9.4748226e-05,-2.9129986e-05,-1.2957508e-05,3.395294e-05,-2.1984904e-05,2.6969497e-05,-8.847623e-05,-7.508744e-05,-6.80149e-05,4.9178532e-05,-1.9119529e-05,6.09923e-05,5.1219526e-05,-1.7810756e-06,-0.00026675122,0.00014917008,-8.238592e-06
CD,0.661076532095697,0.016710429,0.0,2.0455454e-05,1.5829273e-05,4.5330875e-05,0.00027923842,1.8928592e-06,2.9844891e-06,6.4074935e-05,2.7571527e-05,-2.4276967e-05,-2.3096942e-05,-2.6694674e-05,-3.5972527e-05,-2.8811102e-05,-5.9062473e-05,-0.000112094276,0.00010080553,-6.809371e-05,-1.255073e-05,-1.40782195e-05,-0.00010660633,-1.6813947e-05,0.00044803502,0.00019894938,0.0001162868,-7.557342e-05,-3.4149845e-05,-4.85351e-05,-3.100537e-05,-4.788871e-05,-0.00021306094,0.0003104959,4.763138e-05,-0.00047986585,-0.00026734677,-0.00021942204,-0.00038930154,-0.00011930223,-0.0044027395,-0.00071038294,-0.0011318227,-6.4922075e-05,1.936181e-05,2.5566735e-06,-1.2809865e-05,8.130807e-06,0.00024110905,0.00031914882,-4.052145e-05,0.00010441877,1.778251e-05,-2.0925381e-05,7.56504e-05,-1.5066022e-05,-9.227947e-06,0.00066421914,2.8795907e-06,-0.00010603002,-6.3764564e-05,-6.730287e-05,-4.9890146e-05,-5.7744583e-05,-0.0002872518,-0.00023444722,0.00017524525,0.0003991536,-2.7641574e-05,3.67018e-06,0.000116688934,-5.4690772e-05,-0.0014221175,0.0012373457,-6.243608e-05
BV,0.9176197441273093,0.026264993,2.0411697942436354e-267,2.2869037e-05,4.3162534e-05,0.000108504435,1.8928592e-06,0.00068984984,4.010177e-07,4.8817208e-05,-2.0027024e-05,-0.00012184444,-1.20414725e-05,-3.7005634e-06,-4.1160565e-05,2.3385475e-05,0.00045264544,-1.9890225e-05,7.633192e-05,-0.00010884696,-5.634908e-05,4.3212704e-06,4.793927e-05,0.0002078821,0.0011009685,0.0015052859,0.0005126881,-0.0002192086,-8.108783e-05,-0.00012700987,-0.00013557845,0.00015831713,-0.001266202,0.00065945246,0.00017443247,-6.160592e-05,2.1157032e-06,-1.9912184e-05,2.694026e-05,-3.5259534e-05,-0.0003244989,-7.934208e-05,-0.00021964964,0.0009974343,-0.00090116065,-0.00066022354,-0.00017462739,-0.00093986135,1.4161976e-05,-0.0020438316,-0.00017278628,-2.5857848e-06,-1.3630017e-05,8.344313e-06,-1.7583332e-06,4.2697047e-05,-1.2294826e-06,-0.00014041309,-8.608797e-05,-0.00011483122,-4.2379976e-05,-3.196869e-05,-6.053966e-05,5.8860318e-05,-0.00026980214,-0.0001592284,-0.0008707803,0.000453952,2.237512e-05,-6.6989796e-06,1.993787e-05,-9.4195166e-05,-9.552261e-05,-0.0020436128,5.0158644e-05
CS,0.3097357366780587,0.0036490026,0.0,-1.2880779e-06,-1.8503295e-07,1.439944e-06,2.9844891e-06,4.010177e-07,1.3315221e-05,1.3434379e-06,1.3582484e-06,8.655689e-06,1.2013503e-06,8.3898635e-07,-3.705914e-07,1.5548784e-06,-4.8577444e-05,-5.3245293e-07,-1.2716105e-05,-5.607447e-07,2.7555296e-07,1.850121e-07,-1.8905733e-06,1.0282951e-07,-5.2030777e-05,1.4600039e-05,9.554368e-07,-2.035979e-06,-1.4197492e-06,-1.5707901e-06,-3.0195092e-06,2.890761e-07,6.554827e-05,7.2931302e-06,2.7088458e-06,-2.3207963e-06,-2.9898433e-06,-2.9108178e-06,-5.916418e-06,-4.631271e-07,8.666591e-05,-5.722178e-06,-2.0439174e-06,-1.7135307e-06,1.5974838e-07,-3.991934e-10,-4.5211243e-07,-2.063199e-07,-8.020462e-06,4.4517187e-06,2.0451152e-08,-2.2682909e-05,-1.8538798e-05,-1.1164145e-05,-3.6261838e-05,-1.0368137e-05,-4.1407664e-05,-0.00012667914,-4.0916562e-05,-1.1030156e-06,-1.5606876e-06,-1.5875044e-06,-1.4649014e-06,-1.1345523e-06,4.368212e-05,-4.7513918e-06,-6.2798745e-06,-1.7711247e-05,-9.802143e-07,-2.535188e-06,-1.1906036e-07,9.320434e-07,8.423254e-05,-1.305433e-05,-3.1755003e-06
DP,0.5107828800824606,0.014364734,6.224761765272077e-277,2.242081e-05,1.5112697e-06,2.1301365e-05,6.4074935e-05,4.8817208e-05,1.3434379e-06,0.00020634559,1.6169608e-05,-7.0678085e-05,-2.5873587e-05,-2.1694234e-05,-2.8879565e-05,-2.9051687e-06,0.00017561832,-0.000115190145,-0.00014907267,-4.5784287e-05,2.3697198e-06,3.5679594e-07,-2.2485852e-05,-4.106494e-05,0.00042827043,-0.0009746265,7.552046e-05,-4.5912497e-05,-1.6101672e-05,-2.356844e-05,-7.957382e-06,-1.786181e-05,-0.00021708499,-0.00022247163,3.8416638e-05,-8.093316e-05,-5.9981245e-05,-4.4803408e-05,-9.8457276e-05,-1.2064822e-05,-0.00061460177,-0.0002300979,-0.00018878086,-2.6156044e-05,-5.3723095e-05,-5.2201864e-05,-6.898606e-06,-6.739255e-05,-0.000114303126,0.0007287451,-9.838666e-06,3.205154e-05,4.948652e-06,-1.7485912e-05,3.5191093e-05,9.048593e-06,-4.1637877e-06,0.00066743203,5.3361828e-06,-0.00027385485,-0.00022840874,-0.00017194288,-0.00021736648,-7.5539596e-05,-0.004440861,-0.000720114,-0.0017961434,-0.00013236876,-1.3805975e-05,-2.4767573e-05,1.3591153e-05,-3.2256025e-06,-0.00023707496,0.002106522,-3.6667087e-05
CH,0.5031012202907814,0.014243938,2.8584075505992825e-273,3.1613967e-05,-3.4614839e-06,3.159591e-06,2.7571527e-05,-2.0027024e-05,1.3582484e-06,1.6169608e-05,0.00020288976,-8.989995e-05,-3.578141e-05,-3.7586837e-05,-2.8331657e-05,-2.376533e-05,9.0456764e-05,-0.00012139822,-0.0002963183,3.4740668e-05,5.931938e-06,-3.310209e-06,-4.900545e-06,-2.5326368e-05,5.0996758e-05,-0.00015432703,-0.0007214782,2.6541538e-05,-4.4439407e-06,4.5485447e-08,3.0300785e-06,-1.74814e-05,0.00018511343,-0.0001739159,-0.00050663634,-7.422822e-05,-2.4000385e-05,-3.105447e-05,-1.988923e-06,-5.4743618e-05,-0.0007026804,-0.00011872132,-8.263313e-05,-0.00011887996,2.7603728e-05,1.7085767e-05,2.0432414e-07,3.5926627e-05,8.290091e-05,0.00014243016,5.1536124e-05,-5.7616226e-06,3.96876e-06,-2.4006073e-07,8.343927e-06,2.3671892e-05,-4.183699e-06,-5.824719e-05,-0.00014466378,-4.2985608e-05,-1.746099e-05,-1.604464e-05,-1.168871e-05,-1.1719869e-05,-0.0003388689,-5.4179618e-05,-7.367887e-05,-0.0008504708,-0.0001825449,-0.00018951122,-0.0005812662,-5.515035e-05,-0.0021505717,-0.001890234,-0.0004471114
CA*CA,-1.5993568744653166,0.1500492,1.5848873119312903e-26,-0.00066106557,-2.7962278e-05,-8.8429966e-05,-2.4276967e-05,-0.00012184444,8.655689e-06,-7.0678085e-05,-8.989995e-05,0.022514762,0.0007476538,-0.00030398733,-0.0049220114,0.00028600616,-7.784737e-05,-0.016151583,-0.014857522,-0.00024469156,5.4858945e-05,-3.152376e-05,-0.00019490301,-0.00013838823,0.00021150579,-0.0021600497,-0.00084382447,0.00012925496,6.216305e-05,8.919255e-05,1.2184048e-05,1.1720231e-05,0.0037170397,-0.0017141188,-0.0011929697,0.00041960328,4.9685195e-06,-0.0001919639,0.00031338638,-0.00048053797,-0.0014988977,-0.00080784847,-0.0018514171,0.00093305734,0.00013690292,0.00019910294,7.7082215e-05,0.000113693626,-0.0054094126,0.0004742297,-2.5974334e-05,-0.0032183367,4.539774e-05,-0.00013385342,3.1276602e-05,0.000135886,-2.6729016e-05,0.00041996725,-0.0011212227,0.00027291512,5.5641493e-05,3.381205e-05,-4.3021748e-05,3.0768846e-05,-0.0034783464,0.00027703602,-0.0013124846,0.0036689753,5.6402157e-05,-2.065683e-05,-0.00015174752,-0.00045608956,-0.00012902476,-0.0016460579,0.00021737728
CA*BT,-0.2189961723772334,0.03261996,1.899280878891622e-11,-0.0005092497,1.0186668e-05,-2.0326556e-06,-2.3096942e-05,-1.20414725e-05,1.2013503e-06,-2.5873587e-05,-3.578141e-05,0.0007476538,0.0010640619,0.00035417854,0.00078550243,0.00018984448,0.00604598,0.001755611,0.002402813,0.0017138754,1.6697863e-05,-3.5658235e-05,-3.2759468e-05,-0.00016045975,0.000121294244,-0.00037730302,0.00016902192,9.4613126e-05,3.656966e-05,-1.75224e-05,3.8834114e-05,-5.6948917e-05,0.00031314953,-0.00032810247,9.436255e-05,1.1685114e-05,6.500401e-05,2.8407374e-06,5.2516578e-05,-3.9430855e-05,-0.0004972236,6.407355e-06,-0.00029365515,0.00020675943,1.795974e-05,1.1986724e-05,-1.3876828e-05,1.9189923e-05,-0.00075180654,8.680675e-05,-3.104806e-05,-0.00020998855,-8.988725e-05,-1.9551342e-05,-4.7513222e-05,-7.1710124e-06,-3.7097907e-06,-1.8544208e-05,-0.00017711213,4.6867728e-05,4.758306e-05,1.8216097e-05,2.2060265e-05,1.579774e-05,-0.00056176743,8.6260945e-05,-5.6419398e-05,0.0005271443,9.48845e-05,1.4760888e-05,-1.251576e-05,-6.9202615e-05,-0.00021624246,-0.00038790592,8.62721e-05
