Param name,Param value,Param stdv,Param p-value,CD,CA,EL,DP,BU,PV,CDEVO,CD*CD,CD*CA,CD*EL,CD*DP,CD*BU,CD*PV,CD*CDEVO,CA*CD,CA*CA,CA*EL,CA*DP,CA*BU,CA*PV,CA*CDEVO,EL*CD,EL*CA,EL*EL,EL*DP,EL*BU,EL*PV,EL*CDEVO,DP*CD,DP*CA,DP*EL,DP*DP,DP*BU,DP*PV,DP*CDEVO,BU*CD,BU*CA,BU*EL,BU*DP,BU*BU,BU*PV,BU*CDEVO,PV*CD,PV*CA,PV*EL,PV*DP,PV*BU,PV*PV,PV*CDEVO,CDEVO*CD,CDEVO*CA,CDEVO*EL,CDEVO*DP,CDEVO*BU,CDEVO*PV,CDEVO*CDEVO
CD,2.1152716388122754,0.36337718,5.84454863563519e-09,0.13204297,0.018945415,0.022377152,-0.010293157,-0.08723699,0.03744807,-0.00035527992,-0.28315157,0.004761635,0.13149254,-0.17178154,0.04118151,-0.01025657,0.0,-0.02337258,-0.017938646,0.0,0.0,0.0,0.0,0.0,-0.012762403,0.0,-0.06764851,0.0,0.0,0.0,0.0,-0.041281674,0.0,0.0,0.047800776,0.0,0.0,0.0,0.09030485,0.0,0.0,0.0,0.11285625,0.0,0.0,-0.013482991,0.0,0.0,0.0,0.0,-0.031843316,-0.027677175,0.0,0.0,0.0,0.0,0.0,3.998236e-06,0.0009539316
CA,3.2983120186668886,0.51733196,1.8222414538465685e-10,0.018945415,0.26763234,0.0033206095,-0.0014115431,-0.013701014,0.0055654095,-5.2792584e-05,-0.043029565,-0.019100795,0.025010137,-0.023181384,0.00948364,-0.00093234226,0.0,-0.35672882,-0.25794697,0.0,0.0,0.0,0.0,0.0,-0.0019119651,0.0,-0.010036474,0.0,0.0,0.0,0.0,-0.0055984566,0.0,0.0,0.006551012,0.0,0.0,0.0,0.014112389,0.0,0.0,0.0,0.017716954,0.0,0.0,-0.0027198396,0.0,0.0,0.0,0.0,-0.0047328062,-0.004112436,0.0,0.0,0.0,0.0,0.0,5.9429294e-07,0.00014174891
EL,3.38757148849539,1.2160436,0.005340701466442787,0.022377152,0.0033206095,1.4787621,-0.0016397303,-0.016680392,0.006654585,-6.312109e-05,-0.051835362,0.0048791994,-0.0595909,-0.026763568,0.012706134,-0.0008742618,0.0,-0.0043820897,-0.003143016,0.0,0.0,0.0,0.0,0.0,-0.8131048,0.0,-4.5468726,0.0,0.0,0.0,0.0,-0.006475892,0.0,0.0,0.007608232,0.0,0.0,0.0,0.017154094,0.0,0.0,0.0,0.021566674,0.0,0.0,-0.0035431068,0.0,0.0,0.0,0.0,-0.005659184,-0.0049169078,0.0,0.0,0.0,0.0,0.0,7.1064665e-07,0.00016948114
DP,0.5996752416459548,0.1544078,0.00010287424951357283,-0.010293157,-0.0014115431,-0.0016397303,0.023841769,0.00567434,-0.002736169,2.596658e-05,0.019787792,0.002045416,-0.004409418,0.047831472,0.00018848821,0.0013122072,0.0,0.0015719328,0.0013372063,0.0,0.0,0.0,0.0,0.0,0.0009179629,0.0,0.004959051,0.0,0.0,0.0,0.0,0.026329948,0.0,0.0,-0.10306849,0.0,0.0,0.0,-0.005940864,0.0,0.0,0.0,-0.0073480625,0.0,0.0,0.00030436047,0.0,0.0,0.0,0.0,0.0023263115,0.0020230713,0.0,0.0,0.0,0.0,0.0,-2.920646e-07,-6.972057e-05
BU,5.4162402968806145,2.87013,0.05914604006483107,-0.08723699,-0.013701014,-0.016680392,0.00567434,8.237647,-0.028058581,0.00026605974,0.22851017,-0.046977706,-0.19281301,0.08821766,-0.29343417,-0.002522866,0.0,0.01997616,0.012960721,0.0,0.0,0.0,0.0,0.0,0.009825803,0.0,0.050390784,0.0,0.0,0.0,0.0,0.021676557,0.0,0.0,-0.026280496,0.0,0.0,0.0,-8.859466,0.0,0.0,0.0,-10.525272,0.0,0.0,0.022449423,0.0,0.0,0.0,0.0,0.023865297,0.020722773,0.0,0.0,0.0,0.0,0.0,-2.997108e-06,-0.0007143747
PV,5.658856407594354,1.2055044,2.6767643719449516e-06,0.03744807,0.0055654095,0.006654585,-0.002736169,-0.028058581,1.453241,-0.013262775,-0.08703892,0.0084748985,0.054511342,-0.04461008,0.021698996,-0.006307877,0.0,-0.007365461,-0.0052676736,0.0,0.0,0.0,0.0,0.0,-0.0038461036,0.0,-0.020111678,0.0,0.0,0.0,0.0,-0.010798033,0.0,0.0,0.012695088,0.0,0.0,0.0,0.028847763,0.0,0.0,0.0,0.036277123,0.0,0.0,-1.0567873,0.0,0.0,0.0,0.0,-1.2587719,-1.0189716,0.0,0.0,0.0,0.0,0.0,0.0001600413,0.035615414
CDEVO,1.3055009822320505,0.29116556,7.335746631044119e-06,-0.00035527992,-5.2792584e-05,-6.312109e-05,2.596658e-05,0.00026605974,-0.013262775,0.08477738,0.0008254748,-8.0100086e-05,-0.00051643,0.00042340293,-0.00020543752,5.8967275e-05,0.0,6.9847076e-05,4.99684e-05,0.0,0.0,0.0,0.0,0.0,3.6479607e-05,0.0,0.00019076664,0.0,0.0,0.0,0.0,0.000102482605,0.0,0.0,-0.00012047849,0.0,0.0,0.0,-0.00027355057,0.0,0.0,0.0,-0.0003439912,0.0,0.0,0.010199669,0.0,0.0,0.0,0.0,0.011208238,0.0113673,0.0,0.0,0.0,0.0,0.0,-0.0052125524,-0.22420815
CD*CD,-4.885887746822598,0.8314266,4.190033763695738e-09,-0.28315157,-0.043029565,-0.051835362,0.019787792,0.22851017,-0.08703892,0.0008254748,0.69127023,-0.09914629,-0.49692437,0.31708643,-0.21338817,0.0031266694,0.0,0.059320908,0.040718175,0.0,0.0,0.0,0.0,0.0,0.030197248,0.0,0.15663111,0.0,0.0,0.0,0.0,0.07716745,0.0,0.0,-0.09174965,0.0,0.0,0.0,-0.23408143,0.0,0.0,0.0,-0.2953484,0.0,0.0,0.056392014,0.0,0.0,0.0,0.0,0.074024625,0.06429871,0.0,0.0,0.0,0.0,0.0,-9.295611e-06,-0.002216414
CD*CA,1.0646651105638587,0.5933642,0.07276751240735108,0.004761635,-0.019100795,0.0048791994,0.002045416,-0.046977706,0.0084748985,-8.0100086e-05,-0.09914629,0.35208106,0.23210068,0.048045084,0.13378274,0.019586451,0.0,0.121602565,0.018363515,0.0,0.0,0.0,0.0,0.0,-0.003453232,0.0,-0.014673465,0.0,0.0,0.0,0.0,0.010523285,0.0,0.0,-0.00965068,0.0,0.0,0.0,0.046022777,0.0,0.0,0.0,0.060489044,0.0,0.0,-0.02955142,0.0,0.0,0.0,0.0,-0.0072198124,-0.00623176,0.0,0.0,0.0,0.0,0.0,9.0766935e-07,0.00021507258
CD*EL,4.932632857489452,1.3048334,0.00015665343469869274,0.13149254,0.025010137,-0.0595909,-0.004409418,-0.19281301,0.054511342,-0.00051643,-0.49692437,0.23210068,1.7025902,-0.03997044,0.36076757,0.038019735,0.0,-0.046797026,-0.02361774,0.0,0.0,0.0,0.0,0.0,0.103794195,0.0,0.18439952,0.0,0.0,0.0,0.0,-0.012077163,0.0,0.0,0.020109937,0.0,0.0,0.0,0.1932927,0.0,0.0,0.0,0.24874884,0.0,0.0,-0.083675995,0.0,0.0,0.0,0.0,-0.046384986,-0.040211268,0.0,0.0,0.0,0.0,0.0,5.826869e-06,0.0013866284
