Param name,Param value,Param stdv,Param p-value,CD,CA,EL,DP,BU,PV,CDEVO,CD*CD,CD*CA,CD*EL,CD*DP,CD*BU,CD*PV,CD*CDEVO,CA*CD,CA*CA,CA*EL,CA*DP,CA*BU,CA*PV,CA*CDEVO,EL*CD,EL*CA,EL*EL,EL*DP,EL*BU,EL*PV,EL*CDEVO,DP*CD,DP*CA,DP*EL,DP*DP,DP*BU,DP*PV,DP*CDEVO,BU*CD,BU*CA,BU*EL,BU*DP,BU*BU,BU*PV,BU*CDEVO,PV*CD,PV*CA,PV*EL,PV*DP,PV*BU,PV*PV,PV*CDEVO,CDEVO*CD,CDEVO*CA,CDEVO*EL,CDEVO*DP,CDEVO*BU,CDEVO*PV,CDEVO*CDEVO
CD,1.677678068752766,0.45716217,0.00024277285877166924,0.20899725,-0.00021080924,0.00030923117,0.00039668015,0.0073133283,0.0041708774,-7.00359e-05,-0.7700583,-0.031911556,0.96549654,-0.5856662,0.06779291,0.20582446,0.0,-0.0009809652,0.0005709347,0.0,0.0,0.0,0.0,0.0,0.000556748,0.0,-0.0016709205,0.0,0.0,0.0,0.0,0.00048831705,0.0,0.0,-0.002224609,0.0,0.0,0.0,-0.019369608,0.0,0.0,0.0,-0.018943533,0.0,0.0,-0.0072640306,0.0,0.0,0.0,0.0,-0.0051568393,-0.0074530067,0.0,0.0,0.0,0.0,0.0,2.709583e-05,0.00031555834
CA,-1.1495366639146434,0.13658492,3.8863482015584344e-17,-0.00021080924,0.018655442,-3.1456955e-07,-3.9682155e-07,-7.36457e-06,-4.1364965e-06,6.991656e-08,0.0007804408,-0.00032892093,-0.0009883948,0.0005857483,-7.5113545e-05,-0.00021136332,0.0,-0.02278864,-0.08567669,0.0,0.0,0.0,0.0,0.0,-5.659321e-07,0.0,1.699924e-06,0.0,0.0,0.0,0.0,-4.877281e-07,0.0,0.0,2.2254383e-06,0.0,0.0,0.0,1.9841877e-05,0.0,0.0,0.0,1.9063984e-05,0.0,0.0,7.2980592e-06,0.0,0.0,0.0,0.0,5.0935932e-06,7.4604704e-06,0.0,0.0,0.0,0.0,0.0,-2.7046747e-08,-3.1502782e-07
EL,0.12214238525244944,0.0401878,0.002371362415644892,0.00030923117,-3.1456955e-07,0.0016150591,3.828518e-07,1.00715915e-05,1.8084904e-06,-5.873024e-08,-0.0013687563,-2.213434e-05,-0.0014501096,-0.0005573365,0.00051702774,0.00053690455,0.0,-1.4854018e-06,8.988161e-07,0.0,0.0,0.0,0.0,0.0,-0.0011731334,0.0,-0.0097039705,0.0,0.0,0.0,0.0,4.2396152e-07,0.0,0.0,-2.149168e-06,0.0,0.0,0.0,-4.7503705e-05,0.0,0.0,0.0,-2.5328956e-05,0.0,0.0,-8.960581e-06,0.0,0.0,0.0,0.0,-9.5267933e-07,-7.4917166e-06,0.0,0.0,0.0,0.0,0.0,2.2200776e-08,2.647983e-07
DP,0.1995594381721745,0.05749379,0.000518574728571704,0.00039668015,-3.9682155e-07,3.828518e-07,0.003305536,1.48098625e-05,1.3334112e-05,-1.8848934e-07,-0.0011769473,-9.169208e-05,0.00071679434,0.010551404,-0.00038842933,0.00010231614,0.0,-1.8197172e-06,1.0165429e-06,0.0,0.0,0.0,0.0,0.0,7.2179193e-07,0.0,-2.0564391e-06,0.0,0.0,0.0,0.0,-0.0029291306,0.0,0.0,-0.021032192,0.0,0.0,0.0,-1.3378797e-05,0.0,0.0,0.0,-3.930357e-05,0.0,0.0,-1.600913e-05,0.0,0.0,0.0,0.0,-1.8077124e-05,-1.8532173e-05,0.0,0.0,0.0,0.0,0.0,7.3298466e-08,8.494628e-07
BU,2.4321862412979245,1.2668896,0.054882005831271514,0.0073133283,-7.36457e-06,1.00715915e-05,1.48098625e-05,1.6050092,0.00016544362,-2.6332132e-06,-0.025899388,-0.0012311266,0.029681828,-0.021905003,-0.0064769946,0.0061418368,0.0,-3.4171426e-05,1.9731568e-05,0.0,0.0,0.0,0.0,0.0,1.823503e-05,0.0,-5.4369604e-05,0.0,0.0,0.0,0.0,1.844093e-05,0.0,0.0,-8.302598e-05,0.0,0.0,0.0,-3.482223,0.0,0.0,0.0,-4.4656568,0.0,0.0,-0.00026178928,0.0,0.0,0.0,0.0,-0.00021033955,-0.00027636692,0.0,0.0,0.0,0.0,0.0,1.0218005e-06,1.1865383e-05
PV,4.949852020458228,1.477698,0.0008089771804155158,0.0041708774,-4.1364965e-06,1.8084904e-06,1.3334112e-05,0.00016544362,2.1835911,-0.024650095,-0.009282844,-0.0013021951,-0.004583764,-0.019889465,-0.009701729,-0.04969441,0.0,-1.867727e-05,9.960032e-06,0.0,0.0,0.0,0.0,0.0,3.960767e-06,0.0,-9.512376e-06,0.0,0.0,0.0,0.0,1.7664393e-05,0.0,0.0,-7.471847e-05,0.0,0.0,0.0,0.000114139715,0.0,0.0,0.0,-0.00044860475,0.0,0.0,-2.7771683,0.0,0.0,0.0,0.0,-3.2432756,-2.0965698,0.0,0.0,0.0,0.0,0.0,0.009756278,0.110997275
CDEVO,-0.2516642606367896,0.12572148,0.045310531073591696,-7.00359e-05,6.991656e-08,-5.873024e-08,-1.8848934e-07,-2.6332132e-06,-0.024650095,0.015805893,0.00019541758,1.7541674e-05,-7.804335e-05,0.00028070153,9.106406e-05,0.00053859066,0.0,3.1944938e-07,-1.7654888e-07,0.0,0.0,0.0,0.0,0.0,-1.1294539e-07,0.0,3.146936e-07,0.0,0.0,0.0,0.0,-2.4515893e-07,0.0,0.0,1.0563568e-06,0.0,0.0,0.0,1.2980079e-06,0.0,0.0,0.0,7.0227447e-06,0.0,0.0,0.032095317,0.0,0.0,0.0,0.0,0.035814356,0.036640905,0.0,0.0,0.0,0.0,0.0,-0.01111412,-0.07088403
CD*CD,-6.72204402033953,1.7768519,0.00015487466807543213,-0.7700583,0.0007804408,-0.0013687563,-0.0011769473,-0.025899388,-0.009282844,0.00019541758,3.1572027,0.082600676,-4.811349,1.7266945,-0.8309395,-1.0824274,0.0,0.003661801,-0.0021790408,0.0,0.0,0.0,0.0,0.0,-0.002427479,0.0,0.007409579,0.0,0.0,0.0,0.0,-0.0013828268,0.0,0.0,0.006603357,0.0,0.0,0.0,0.09764435,0.0,0.0,0.0,0.06602731,0.0,0.0,0.024271373,0.0,0.0,0.0,0.0,0.009687552,0.022529949,0.0,0.0,0.0,0.0,0.0,-7.489003e-05,-0.0008807169
CD*CA,-0.47402679585433316,1.4193575,0.7384000920236211,-0.031911556,-0.00032892093,-2.213434e-05,-9.169208e-05,-0.0012311266,-0.0013021951,1.7541674e-05,0.082600676,2.0145757,-0.010309175,0.13657568,0.053194765,0.004006973,0.0,-0.001540329,0.000910226,0.0,0.0,0.0,0.0,0.0,-4.3884203e-05,0.0,0.00011812142,0.0,0.0,0.0,0.0,-0.00012009122,0.0,0.0,0.00051389216,0.0,0.0,0.0,8.4345076e-05,0.0,0.0,0.0,0.0033047758,0.0,0.0,0.0013817529,0.0,0.0,0.0,0.0,0.0018057144,0.0016771592,0.0,0.0,0.0,0.0,0.0,-6.8645118e-06,-7.901164e-05
CD*EL,11.648418354548888,3.5925481,0.0011853444936145705,0.96549654,-0.0009883948,-0.0014501096,0.00071679434,0.029681828,-0.004583764,-7.804335e-05,-4.811349,-0.010309175,12.906403,-1.0152795,2.5912223,2.221106,0.0,-0.0047175204,0.002933124,0.0,0.0,0.0,0.0,0.0,-0.0004760982,0.0,0.0074764015,0.0,0.0,0.0,0.0,0.0006236492,0.0,0.0,-0.0040314263,0.0,0.0,0.0,-0.19248094,0.0,0.0,0.0,-0.072732136,0.0,0.0,-0.023784814,0.0,0.0,0.0,0.0,0.012683027,-0.0151022,0.0,0.0,0.0,0.0,0.0,2.741575e-05,0.00035253927
