Treatments,species,true,pred
CDanc-BU,BU,0.01384054,0.06369724124670029
CDanc-BU,CD,0.011926127,0.02567867934703827
CDanc-BU,BU,0.23919032533333331,0.4239669740200043
CDanc-BU,CD,0.14617634133333332,0.10504085570573807
CDanc-BU,BU,0.906576979,0.7206403017044067
CDanc-BU,CD,0.2886230223333333,0.33897799253463745
CDanc-BU,BU,0.5550739336666667,0.6742303967475891
CDanc-BU,CD,0.5700844056666666,0.382068008184433
CDanc-CA-BV,CA,0.27386860366666665,0.09111632406711578
CDanc-CA-BV,CD,0.866942195,0.5073192119598389
CDanc-CA-BV,BV,0.251655901,0.7898927927017212
CDanc-CS-BT,BT,1.0745103583333333,1.0054107904434204
CDanc-CS-BT,CD,0.13957183333333334,0.06663230806589127
CDanc-CS-BT,CS,0.017584487666666666,0.01389111764729023
CDanc-CS-BT-BU-BV,BT,0.827561486,0.8386713862419128
CDanc-CS-BT-BU-BV,BU,0.231113746,0.2511306405067444
CDanc-CS-BT-BU-BV,CD,0.028624202,0.08299818634986877
CDanc-CS-BT-BU-BV,BV,0.12033266166666666,0.05653104931116104
CDanc-CS-BT-BU-BV,CS,0.003834569666666667,0.006165476515889168
CDanc-CS-BT-BU-BV,BT,0.8109950403333334,0.868213951587677
CDanc-CS-BT-BU-BV,BU,0.22964533433333334,0.2175014466047287
CDanc-CS-BT-BU-BV,CD,0.12679966233333334,0.10378414392471313
CDanc-CS-BT-BU-BV,BV,0.044038447,0.025180915370583534
CDanc-CS-BT-BU-BV,CS,0.004388196,0.005266780033707619
CDanc-DP-BV,CD,0.48101326133333333,0.5071441531181335
CDanc-DP-BV,BV,0.6386184433333333,0.7900611758232117
CDanc-DP-BV,DP,0.02553496566666667,0.10220019519329071
CDanc-CH,CD,0.010875525333333335,0.0302389245480299
CDanc-CH,CH,0.0016911413333333333,0.019748076796531677
CDanc-CH,CD,0.11055987333333332,0.1399288922548294
CDanc-CH,CH,0.005306793666666666,0.07257833331823349
CDanc-CH,CD,0.2680235875,0.13252508640289307
CDanc-CH,CH,0.15235974116666667,0.5753026008605957
CDanc-CS-CH-CA,CA,0.11675274866666667,0.05834958702325821
CDanc-CS-CH-CA,CD,0.512658926,0.34956684708595276
CDanc-CS-CH-CA,CS,0.010814779666666668,0.02586127445101738
CDanc-CS-CH-CA,CH,0.008106891333333333,0.11101023107767105
CDanc-CS-CH-CA,CA,0.23233468833333334,0.2223864495754242
CDanc-CS-CH-CA,CD,0.39931814899999996,0.2807866930961609
CDanc-CS-CH-CA,CS,0.012586554666666666,0.0017480305396020412
CDanc-CS-CH-CA,CH,0.03702726866666667,0.056549690663814545
CDanc-CS-DP-BU-BV,BU,0.5796566586666667,0.5696297287940979
CDanc-CS-DP-BU-BV,CD,0.33123496366666666,0.2998574376106262
CDanc-CS-DP-BU-BV,BV,0.19300941166666666,0.27934765815734863
CDanc-CS-DP-BU-BV,CS,0.007375360333333333,0.002746440703049302
CDanc-CS-DP-BU-BV,DP,0.014456896666666665,0.03576229140162468
CDanc-CS-DP-BU-BV,BU,0.40539278566666664,0.31588131189346313
CDanc-CS-DP-BU-BV,CD,0.21295601733333336,0.49527081847190857
CDanc-CS-DP-BU-BV,BV,0.482798196,0.3961382508277893
CDanc-CS-DP-BU-BV,CS,0.005512512333333334,2.3429924112861045e-05
CDanc-CS-DP-BU-BV,DP,0.010640477,0.04644697532057762
CDanc-CS-DP-BU-CA,CA,0.06391890533333333,0.02626023441553116
CDanc-CS-DP-BU-CA,BU,0.6999724296666666,0.7832661867141724
CDanc-CS-DP-BU-CA,CD,0.34477698900000003,0.24369452893733978
CDanc-CS-DP-BU-CA,CS,0.0069077723333333335,0.0077056679874658585
CDanc-CS-DP-BU-CA,DP,0.025790539,0.03405367583036423
CDanc-CS-DP-BU-CA,CA,0.14706605033333334,0.11733031272888184
CDanc-CS-DP-BU-CA,BU,0.6719134353333334,0.6784833073616028
CDanc-CS-DP-BU-CA,CD,0.29500638933333334,0.3168320953845978
CDanc-CS-DP-BU-CA,CS,0.004858378000000001,0.0004971600719727576
CDanc-CS-DP-BU-CA,DP,0.049189064000000005,0.020247893407940865
CDanc-DP-BT-BU-BV-CA,CA,0.013485922333333332,0.009102215059101582
CDanc-DP-BT-BU-BV-CA,BT,0.8242452533333333,0.8204054236412048
CDanc-DP-BT-BU-BV-CA,BU,0.25841008833333334,0.22898438572883606
CDanc-DP-BT-BU-BV-CA,CD,0.05011776033333334,0.08205288648605347
CDanc-DP-BT-BU-BV-CA,BV,0.028904523,0.061285510659217834
CDanc-DP-BT-BU-BV-CA,DP,0.009769792333333334,0.011621587909758091
CDanc-DP-BT-BU-BV-CA,CA,0.030624101,0.020929288119077682
CDanc-DP-BT-BU-BV-CA,BT,0.7609332206666667,0.8539156913757324
CDanc-DP-BT-BU-BV-CA,BU,0.23504978733333334,0.19045525789260864
CDanc-DP-BT-BU-BV-CA,CD,0.08757417733333332,0.11696196347475052
CDanc-DP-BT-BU-BV-CA,BV,0.043914841,0.025208301842212677
CDanc-DP-BT-BU-BV-CA,DP,0.010170522333333333,0.003890577470883727
CDanc-CH-BU-CA,CA,0.07064101066666667,0.03268534690141678
CDanc-CH-BU-CA,BU,0.8270080633333333,0.7648143768310547
CDanc-CH-BU-CA,CD,0.256375515,0.27453121542930603
CDanc-CH-BU-CA,CH,0.013908751000000002,0.07107072323560715
CDanc-CH-BU-CA,CA,0.127526479,0.15729548037052155
CDanc-CH-BU-CA,BU,0.7725607923333332,0.667098879814148
CDanc-CH-BU-CA,CD,0.2300630743333333,0.3060849606990814
CDanc-CH-BU-CA,CH,0.008782989666666666,0.01987607404589653
CDanc-CH-DP-BT-BU,BT,0.8367495453333333,0.8579591512680054
CDanc-CH-DP-BT-BU,BU,0.23600330166666664,0.26741039752960205
CDanc-CH-DP-BT-BU,CD,0.06658524133333334,0.06568711251020432
CDanc-CH-DP-BT-BU,DP,0.005865259,0.014990643598139286
CDanc-CH-DP-BT-BU,CH,0.007696667666666666,0.021070489659905434
CDanc-CH-DP-BT-BU,BT,0.7793354386666667,0.8548493385314941
CDanc-CH-DP-BT-BU,BU,0.22880149033333333,0.2396395057439804
CDanc-CH-DP-BT-BU,CD,0.09060623066666668,0.08632182329893112
CDanc-CH-DP-BT-BU,DP,0.0061765809999999996,0.006363978609442711
CDanc-CH-DP-BT-BU,CH,0.007013565,0.02554781548678875
CDanc-CS-CA,CA,0.16119765,0.04157395288348198
CDanc-CS-CA,CD,0.4566381055,0.4344150722026825
CDanc-CS-CA,CS,0.017064232999999998,0.014000503346323967
CDanc-CS-CA,CA,0.21322832833333336,0.12718676030635834
CDanc-CS-CA,CD,0.353061659,0.4459071755409241
CDanc-CS-CA,CS,0.00917668,0.0006538613815791905
CDanc-DP-BT-CA,CA,0.03016931266666667,0.007957464084029198
CDanc-DP-BT-CA,BT,1.0425896666666665,1.0749329328536987
CDanc-DP-BT-CA,CD,0.07394086933333334,0.05545550584793091
CDanc-DP-BT-CA,DP,0.009300164333333333,0.0203896202147007
CDanc-DP-BT-CA,CA,0.15603343,0.010062730871140957
CDanc-DP-BT-CA,BT,0.936693735,1.048468828201294
CDanc-DP-BT-CA,CD,0.051163535333333336,0.05465442314743996
CDanc-DP-BT-CA,DP,0.007675959,0.010788237676024437
CS-CH-DP-BT-BU-BV-CA,CA,0.013172101,0.00809729564934969
CS-CH-DP-BT-BU-BV-CA,BT,0.771952514,0.8405367136001587
CS-CH-DP-BT-BU-BV-CA,BU,0.318997774,0.27839890122413635
CS-CH-DP-BT-BU-BV-CA,BV,0.022833777333333333,0.05122857168316841
CS-CH-DP-BT-BU-BV-CA,CS,0.0034693886666666666,0.0053495545871555805
CS-CH-DP-BT-BU-BV-CA,DP,0.012885742666666667,0.012160217389464378
CS-CH-DP-BT-BU-BV-CA,CH,0.020855346333333333,0.01633646711707115
CS-CH-DP-BT-BU-BV-CA,CA,0.026517992333333334,0.0204478707164526
CS-CH-DP-BT-BU-BV-CA,BT,0.7566428406666668,0.8257912993431091
CS-CH-DP-BT-BU-BV-CA,BU,0.27792678533333337,0.2925693690776825
CS-CH-DP-BT-BU-BV-CA,BV,0.029772895333333337,0.022381877526640892
CS-CH-DP-BT-BU-BV-CA,CS,0.0041761283333333335,0.0033864344004541636
CS-CH-DP-BT-BU-BV-CA,DP,0.013691634000000001,0.005137511063367128
CS-CH-DP-BT-BU-BV-CA,CH,0.06260503133333334,0.015729425475001335
CDanc-CA-CH,CA,0.424318691,0.12073693424463272
CDanc-CA-CH,CD,0.210783265,0.33221209049224854
CDanc-CA-CH,CH,0.11673135866666666,0.1094687357544899
CDanc-CH-BT,BT,0.9952312170000001,1.0436543226242065
CDanc-CH-BT,CD,0.069565715,0.05799073725938797
CDanc-CH-BT,CH,0.12693638299999999,0.016782095655798912
CDanc-CS-DP-BT,BT,1.0853958046666665,1.0567536354064941
CDanc-CS-DP-BT,CD,0.064206932,0.061460092663764954
CDanc-CS-DP-BT,CS,0.0062228380000000005,0.005252925679087639
CDanc-CS-DP-BT,DP,0.010207767333333334,0.021565252915024757
CDanc-CS-DP-BT,BT,1.0609543316666665,1.0503805875778198
CDanc-CS-DP-BT,CD,0.080568068,0.06230418384075165
CDanc-CS-DP-BT,CS,0.006715382,0.0012867945479229093
CDanc-CS-DP-BT,DP,0.010095554,0.014594604261219501
CDanc-DP-CS,CD,0.32560402066666666,0.41644418239593506
CDanc-DP-CS,CS,0.026948689666666664,0.0023681530728936195
CDanc-DP-CS,DP,0.16884727900000004,0.2370622754096985
CH-DP-BT-BU-BV-CA,CA,0.007331443,0.008343463763594627
CH-DP-BT-BU-BV-CA,BT,0.8129144949999999,0.8507767915725708
CH-DP-BT-BU-BV-CA,BU,0.31005281133333334,0.25097307562828064
CH-DP-BT-BU-BV-CA,BV,0.025456184333333336,0.0631692036986351
CH-DP-BT-BU-BV-CA,DP,0.011475304666666667,0.013618445955216885
CH-DP-BT-BU-BV-CA,CH,0.011203095666666668,0.014572410844266415
CH-DP-BT-BU-BV-CA,CA,0.014603722,0.024477731436491013
CH-DP-BT-BU-BV-CA,BT,0.8086059533333333,0.8705225586891174
CH-DP-BT-BU-BV-CA,BU,0.2636546773333333,0.24429024755954742
CH-DP-BT-BU-BV-CA,BV,0.04060463633333333,0.03422973304986954
CH-DP-BT-BU-BV-CA,DP,0.010545007666666667,0.007170508150011301
CH-DP-BT-BU-BV-CA,CH,0.03821932933333333,0.012126928195357323
CDanc-BT-BU-CA,CA,0.012359901333333333,0.012249093502759933
CDanc-BT-BU-CA,BT,0.8752898330000001,0.7833874821662903
CDanc-BT-BU-CA,BU,0.30059792066666663,0.27702227234840393
CDanc-BT-BU-CA,CD,0.018252353666666665,0.10557226836681366
CDanc-BT-BU-CA,CA,0.02247761233333333,0.028736434876918793
CDanc-BT-BU-CA,BT,0.870774072,0.8074120283126831
CDanc-BT-BU-CA,BU,0.28029982400000003,0.23444320261478424
CDanc-BT-BU-CA,CD,0.06404849533333333,0.11936185508966446
CDanc-CA,CA,0.0007394356666666667,0.00865129940211773
CDanc-CA,CD,0.006327231333333333,0.03419921174645424
CDanc-CA,CA,0.001990791,0.015026518143713474
CDanc-CA,CD,0.10244254233333333,0.17845754325389862
CDanc-CA,CA,0.11524415066666667,0.048161640763282776
CDanc-CA,CD,0.549155846,0.5511151552200317
CDanc-CA,CA,0.10064018400000001,0.1599908024072647
CDanc-CA,CD,0.37281666799999996,0.4948117434978485
CDanc-CA-BT,CA,0.144471694,0.018743367865681648
CDanc-CA-BT,BT,0.9576480813333333,1.0022544860839844
CDanc-CA-BT,CD,0.098946912,0.09572641551494598
CDanc-CS-BT-BU-CA,CA,0.019963184999999998,0.0114365229383111
CDanc-CS-BT-BU-CA,BT,0.939492982,0.7946776747703552
CDanc-CS-BT-BU-CA,BU,0.24344098133333333,0.281751424074173
CDanc-CS-BT-BU-CA,CD,0.029092715,0.08688874542713165
CDanc-CS-BT-BU-CA,CS,0.004476817333333333,0.0010186132276430726
CDanc-CS-BT-BU-CA,CA,0.03251507633333334,0.027137361466884613
CDanc-CS-BT-BU-CA,BT,0.878763656,0.8065677881240845
CDanc-CS-BT-BU-CA,BU,0.21805928033333333,0.2410150170326233
CDanc-CS-BT-BU-CA,CD,0.09244325033333334,0.11203553527593613
CDanc-CS-BT-BU-CA,CS,0.004085408,2.3299313397728838e-05
CDanc-DP-CH,CD,0.2034449163333333,0.40201660990715027
CDanc-DP-CH,DP,0.33838496633333337,0.24907954037189484
CDanc-DP-CH,CH,0.14260345300000002,6.187865074025467e-05
CDanc-BT-BV,BT,0.9901584073333334,0.9739384055137634
CDanc-BT-BV,CD,0.23617470966666665,0.11187361925840378
CDanc-BT-BV,BV,0.063133537,0.05844708904623985
CDanc-CS,CD,0.006386345333333334,0.03403832018375397
CDanc-CS,CS,0.004980321333333333,0.011906137689948082
CDanc-CS,CD,0.08086429899999999,0.19415193796157837
CDanc-CS,CS,0.020569034,0.022676002234220505
CDanc-CS,CD,0.464856838,0.64008629322052
CDanc-CS,CS,0.025976499333333333,0.011172055266797543
CDanc-CS,CD,0.40265370699999997,0.6294151544570923
CDanc-CS,CS,0.011687954625,0.0005703966016881168
CS-CH-BT-BU-BV-CA,CA,0.009454044,0.009273040108382702
CS-CH-BT-BU-BV-CA,BT,0.807435714,0.7723439931869507
CS-CH-BT-BU-BV-CA,BU,0.27465052133333334,0.31505346298217773
CS-CH-BT-BU-BV-CA,BV,0.077953656,0.07073235511779785
CS-CH-BT-BU-BV-CA,CS,0.004711183333333333,0.00118509610183537
CS-CH-BT-BU-BV-CA,CH,0.012028237999999998,0.0035372315905988216
CS-CH-BT-BU-BV-CA,CA,0.017800714333333332,0.015126321464776993
CS-CH-BT-BU-BV-CA,BT,0.8147868633333334,0.7475512027740479
CS-CH-BT-BU-BV-CA,BU,0.25681857466666663,0.34029704332351685
CS-CH-BT-BU-BV-CA,BV,0.04518528633333333,0.03845294564962387
CS-CH-BT-BU-BV-CA,CS,0.006019195666666667,0.00022128816635813564
CS-CH-BT-BU-BV-CA,CH,0.022956029666666666,0.00011832524614874274
CS-CH-BU-BV,BU,0.8829448723333333,0.8865649104118347
CS-CH-BU-BV,BV,0.16816390833333336,0.253456711769104
CS-CH-BU-BV,CS,0.012098775333333334,0.00013806045171804726
CS-CH-BU-BV,CH,0.12039246733333335,0.043404970318078995
CS-CH-BU-BV,BU,0.7563416306666667,0.8918998837471008
CS-CH-BU-BV,BV,0.325670478,0.22756989300251007
CS-CH-BU-BV,CS,0.014938509666666669,7.635577503606328e-08
CS-CH-BU-BV,CH,0.09301605533333335,0.03655940294265747
CDanc-DP,CD,0.012001608999999998,0.028445128351449966
CDanc-DP,DP,0.009898391,0.0183116365224123
CDanc-DP,CD,0.13975358066666668,0.12787559628486633
CDanc-DP,DP,0.048779752333333336,0.056956011801958084
CDanc-DP,CD,0.3899174273333334,0.4098202884197235
CDanc-DP,DP,0.27758256666666664,0.16927899420261383
CDanc-DP,CD,0.40093441436363636,0.42805153131484985
CDanc-DP,DP,0.20538680345454544,0.21404103934764862
CDanc-DP-BU,BU,0.5910313933333333,0.6763184666633606
CDanc-DP-BU,CD,0.4205312943333334,0.3931553363800049
CDanc-DP-BU,DP,0.14350399700000002,0.024192148819565773
CH-DP-BT-BU,BT,0.8445462246666667,0.8561589121818542
CH-DP-BT-BU,BU,0.28924186133333335,0.3107401132583618
CH-DP-BT-BU,DP,0.008827675666666666,0.014496847987174988
CH-DP-BT-BU,CH,0.014817584333333333,0.019130786880850792
CH-DP-BT-BU,BT,0.8366360526666666,0.8408879637718201
CH-DP-BT-BU,BU,0.2807203953333333,0.31881341338157654
CH-DP-BT-BU,DP,0.009254062333333334,0.0063666836358606815
CH-DP-BT-BU,CH,0.033856156000000005,0.016491664573550224
CS-DP-BT-BU,BT,0.880185672,0.8410375118255615
CS-DP-BT-BU,BU,0.25886139466666663,0.3138773441314697
CS-DP-BT-BU,CS,0.004767647666666667,0.008970670402050018
CS-DP-BT-BU,DP,0.010451956666666666,0.015093350782990456
CS-DP-BT-BU,BT,0.8850126836666666,0.8260195255279541
CS-DP-BT-BU,BU,0.2571899266666667,0.3239797055721283
CS-DP-BT-BU,CS,0.005870640666666667,0.005968346260488033
CS-DP-BT-BU,DP,0.010260085666666667,0.0069341291673481464
CDanc-CS-BT-BV-CA,CA,0.010070132666666667,0.01109976414591074
CDanc-CS-BT-BV-CA,BT,0.9613623673333334,0.9725659489631653
CDanc-CS-BT-BV-CA,CD,0.032424744,0.08451396971940994
CDanc-CS-BT-BV-CA,BV,0.22391496766666666,0.09009537100791931
CDanc-CS-BT-BV-CA,CS,0.004327793000000001,0.006275656167417765
CDanc-CS-BT-BV-CA,CA,0.013266930333333335,0.023716649040579796
CDanc-CS-BT-BV-CA,BT,0.9430033593333333,0.9894745945930481
CDanc-CS-BT-BV-CA,CD,0.09372465133333334,0.10082431882619858
CDanc-CS-BT-BV-CA,BV,0.13097313600000002,0.04982153698801994
CDanc-CS-BT-BV-CA,CS,0.004365249666666667,0.0021922478917986155
CDanc-CS-CH-DP,CD,0.4566745543333333,0.29752492904663086
CDanc-CS-CH-DP,CS,0.02157698266666667,0.025885693728923798
CDanc-CS-CH-DP,DP,0.15356675866666666,0.1625068634748459
CDanc-CS-CH-DP,CH,0.014648371666666667,0.08433713763952255
CDanc-CS-CH-DP,CD,0.419802701,0.22829760611057281
CDanc-CS-CH-DP,CS,0.007776360666666667,0.03371066600084305
CDanc-CS-CH-DP,DP,0.22244061333333334,0.25369495153427124
CDanc-CS-CH-DP,CH,0.01908032633333333,0.09590087085962296
CDanc-CS-DP-BT-BV-CA,CA,0.012206098333333332,0.011260222643613815
CDanc-CS-DP-BT-BV-CA,BT,1.0509199436666667,1.0085008144378662
CDanc-CS-DP-BT-BV-CA,CD,0.04623080433333333,0.06735538691282272
CDanc-CS-DP-BT-BV-CA,BV,0.06814280500000001,0.07320182025432587
CDanc-CS-DP-BT-BV-CA,CS,0.005002527,0.005251016467809677
CDanc-CS-DP-BT-BV-CA,DP,0.011997826000000001,0.012562265619635582
CDanc-CS-DP-BT-BV-CA,CA,0.029689109333333335,0.024379530921578407
CDanc-CS-DP-BT-BV-CA,BT,0.989631995,1.0126603841781616
CDanc-CS-DP-BT-BV-CA,CD,0.08488093833333332,0.08025553822517395
CDanc-CS-DP-BT-BV-CA,BV,0.051971430000000006,0.03751459717750549
CDanc-CS-DP-BT-BV-CA,CS,0.005602812333333333,0.0018648665864020586
CDanc-CS-DP-BT-BV-CA,DP,0.012390389666666668,0.004461600910872221
CDanc-CS-DP-BU,BU,0.7890050013333333,0.745670735836029
CDanc-CS-DP-BU,CD,0.313036693,0.2724606990814209
CDanc-CS-DP-BU,CS,0.008173960333333334,0.014110246673226357
CDanc-CS-DP-BU,DP,0.025751038666666667,0.046912726014852524
CDanc-CS-DP-BU,BU,0.665726608,0.6393460035324097
CDanc-CS-DP-BU,CD,0.3931455366666667,0.3984334468841553
CDanc-CS-DP-BU,CS,0.009585035666666667,0.006221173796802759
CDanc-CS-DP-BU,DP,0.028142830666666663,0.05705435946583748
CDanc-CS-CH,CD,0.31969154333333333,0.46960511803627014
CDanc-CS-CH,CS,0.035831629000000004,0.0864056721329689
CDanc-CS-CH,CH,0.13654348433333333,0.001992534613236785
CH-DP-BV-CA,CA,0.02865486266666667,0.08191433548927307
CH-DP-BV-CA,BV,0.9144954666666667,0.7527422904968262
CH-DP-BV-CA,DP,0.024012601999999997,0.09976089745759964
CH-DP-BV-CA,CH,0.05570375033333333,0.19427847862243652
CH-DP-BV-CA,CA,0.09097150466666666,0.13286499679088593
CH-DP-BV-CA,BV,0.931739352,0.9242613315582275
CH-DP-BV-CA,DP,0.008746028666666667,0.05646156892180443
CH-DP-BV-CA,CH,0.012109814000000002,0.11978760361671448
CS-DP-BT-BV,BT,1.0794961010000002,1.0346825122833252
CS-DP-BT-BV,BV,0.0518562405,0.08279646933078766
CS-DP-BT-BV,CS,0.0053327105,0.00847573485225439
CS-DP-BT-BV,DP,0.011464930500000001,0.01260545663535595
CS-DP-BT-BV,BT,1.0564141366666666,1.0411996841430664
CS-DP-BT-BV,BV,0.061405355333333335,0.04901944100856781
CS-DP-BT-BV,CS,0.0072163823333333335,0.004928113892674446
CS-DP-BT-BV,DP,0.012797438,0.00456437049433589
CS-DP-BU-CA,CA,0.08309143000000001,0.033689457923173904
CS-DP-BU-CA,BU,1.0375681110000001,0.9194307327270508
CS-DP-BU-CA,CS,0.008459878999999998,0.018602482974529266
CS-DP-BU-CA,DP,0.036347241333333336,0.03140893951058388
CS-DP-BU-CA,CA,0.37819713266666666,0.09010906517505646
CS-DP-BU-CA,BU,0.707466653,0.9210329651832581
CS-DP-BU-CA,CS,0.011131615333333332,0.012595517560839653
CS-DP-BU-CA,DP,0.05067129233333333,0.013798549771308899
CDanc-BT,BT,0.040448594,0.12292812764644623
CDanc-BT,CD,0.012784738999999998,0.02855546399950981
CDanc-BT,BT,0.7718386826666667,0.7782367467880249
CDanc-BT,CD,0.08632798400000001,0.07901524007320404
CDanc-BT,BT,1.218282767,1.0142114162445068
CDanc-BT,CD,0.02711726,0.09457235038280487
