Treatments,species,true,pred
CDanc-BU,BU,0.01384054,0.07444342970848083
CDanc-BU,CD,0.011926127,0.029419979080557823
CDanc-BU,BU,0.23919032533333331,0.47585684061050415
CDanc-BU,CD,0.14617634133333332,0.1353403478860855
CDanc-BU,BU,0.906576979,0.5927816033363342
CDanc-BU,CD,0.2886230223333333,0.42333081364631653
CDanc-BU,BU,0.5550739336666667,0.5220316648483276
CDanc-BU,CD,0.5700844056666666,0.45299407839775085
CDanc-CA-BV,CA,0.27386860366666665,0.050622373819351196
CDanc-CA-BV,CD,0.866942195,0.483845591545105
CDanc-CA-BV,BV,0.251655901,0.7707392573356628
CDanc-CS-BT,BT,1.0745103583333333,1.0444042682647705
CDanc-CS-BT,CD,0.13957183333333334,0.1650480180978775
CDanc-CS-BT,CS,0.017584487666666666,0.0020376667380332947
CDanc-CS-BT-BU-BV,BT,0.827561486,0.7827605605125427
CDanc-CS-BT-BU-BV,BU,0.231113746,0.26791709661483765
CDanc-CS-BT-BU-BV,CD,0.028624202,0.09938082098960876
CDanc-CS-BT-BU-BV,BV,0.12033266166666666,0.0765393078327179
CDanc-CS-BT-BU-BV,CS,0.003834569666666667,0.002409913344308734
CDanc-CS-BT-BU-BV,BT,0.8109950403333334,0.8219383955001831
CDanc-CS-BT-BU-BV,BU,0.22964533433333334,0.23949262499809265
CDanc-CS-BT-BU-BV,CD,0.12679966233333334,0.1251227706670761
CDanc-CS-BT-BU-BV,BV,0.044038447,0.0477324053645134
CDanc-CS-BT-BU-BV,CS,0.004388196,0.00014432707394007593
CDanc-DP-BV,CD,0.48101326133333333,0.46916475892066956
CDanc-DP-BV,BV,0.6386184433333333,0.79172682762146
CDanc-DP-BV,DP,0.02553496566666667,0.04934537410736084
CDanc-CH,CD,0.010875525333333335,0.030171973630785942
CDanc-CH,CH,0.0016911413333333333,0.025594208389520645
CDanc-CH,CD,0.11055987333333332,0.13770537078380585
CDanc-CH,CH,0.005306793666666666,0.09921535104513168
CDanc-CH,CD,0.2680235875,0.4437970817089081
CDanc-CH,CH,0.15235974116666667,0.2212052196264267
CDanc-CS-CH-CA,CA,0.11675274866666667,0.08253470808267593
CDanc-CS-CH-CA,CD,0.512658926,0.32806792855262756
CDanc-CS-CH-CA,CS,0.010814779666666668,0.025399204343557358
CDanc-CS-CH-CA,CH,0.008106891333333333,0.18902087211608887
CDanc-CS-CH-CA,CA,0.23233468833333334,0.4012102484703064
CDanc-CS-CH-CA,CD,0.39931814899999996,0.21313923597335815
CDanc-CS-CH-CA,CS,0.012586554666666666,0.001959869172424078
CDanc-CS-CH-CA,CH,0.03702726866666667,0.10014981031417847
CDanc-CS-DP-BU-BV,BU,0.5796566586666667,0.4841560125350952
CDanc-CS-DP-BU-BV,CD,0.33123496366666666,0.28261062502861023
CDanc-CS-DP-BU-BV,BV,0.19300941166666666,0.4053637385368347
CDanc-CS-DP-BU-BV,CS,0.007375360333333333,0.010773626156151295
CDanc-CS-DP-BU-BV,DP,0.014456896666666665,0.04089060425758362
CDanc-CS-DP-BU-BV,BU,0.40539278566666664,0.355949729681015
CDanc-CS-DP-BU-BV,CD,0.21295601733333336,0.3831360340118408
CDanc-CS-DP-BU-BV,BV,0.482798196,0.47378048300743103
CDanc-CS-DP-BU-BV,CS,0.005512512333333334,0.004177072085440159
CDanc-CS-DP-BU-BV,DP,0.010640477,0.04832214117050171
CDanc-CS-DP-BU-CA,CA,0.06391890533333333,0.026683488860726357
CDanc-CS-DP-BU-CA,BU,0.6999724296666666,0.7414866089820862
CDanc-CS-DP-BU-CA,CD,0.34477698900000003,0.31124401092529297
CDanc-CS-DP-BU-CA,CS,0.0069077723333333335,0.014780985191464424
CDanc-CS-DP-BU-CA,DP,0.025790539,0.04404841363430023
CDanc-CS-DP-BU-CA,CA,0.14706605033333334,0.20035724341869354
CDanc-CS-DP-BU-CA,BU,0.6719134353333334,0.6534333229064941
CDanc-CS-DP-BU-CA,CD,0.29500638933333334,0.24794068932533264
CDanc-CS-DP-BU-CA,CS,0.004858378000000001,0.007746762130409479
CDanc-CS-DP-BU-CA,DP,0.049189064000000005,0.057493746280670166
CDanc-DP-BT-BU-BV-CA,CA,0.013485922333333332,0.006669503636658192
CDanc-DP-BT-BU-BV-CA,BT,0.8242452533333333,0.8158957362174988
CDanc-DP-BT-BU-BV-CA,BU,0.25841008833333334,0.24073629081249237
CDanc-DP-BT-BU-BV-CA,CD,0.05011776033333334,0.06812585145235062
CDanc-DP-BT-BU-BV-CA,BV,0.028904523,0.08667795360088348
CDanc-DP-BT-BU-BV-CA,DP,0.009769792333333334,0.00780434301123023
CDanc-DP-BT-BU-BV-CA,CA,0.030624101,0.013843994587659836
CDanc-DP-BT-BU-BV-CA,BT,0.7609332206666667,0.8246615529060364
CDanc-DP-BT-BU-BV-CA,BU,0.23504978733333334,0.2345849573612213
CDanc-DP-BT-BU-BV-CA,CD,0.08757417733333332,0.10166006535291672
CDanc-DP-BT-BU-BV-CA,BV,0.043914841,0.05228060111403465
CDanc-DP-BT-BU-BV-CA,DP,0.010170522333333333,0.0007371669635176659
CDanc-CH-BU-CA,CA,0.07064101066666667,0.011421714909374714
CDanc-CH-BU-CA,BU,0.8270080633333333,0.7138421535491943
CDanc-CH-BU-CA,CD,0.256375515,0.32647907733917236
CDanc-CH-BU-CA,CH,0.013908751000000002,0.07960901409387589
CDanc-CH-BU-CA,CA,0.127526479,0.013089403510093689
