Treatments,species,true,pred
CDanc-BT-BU-CA,CA,0.0123599013333333,0.032223955
CDanc-BT-BU-CA,CA,0.0224776123333333,0.13640462
CDanc-CA,CA,0.0007394356666666,0.008519322
CDanc-CA,CA,0.001990791,0.014631575
CDanc-CA,CA,0.1152441506666666,0.047550727
CDanc-CA,CA,0.100640184,0.13017413
CDanc-CA-BT,CA,0.144471694,0.16880207
CDanc-CA-BU,CA,0.2339197763333333,0.1306611
CDanc-CA-BV,CA,0.2738686036666666,0.07838321
CDanc-CA-CH,CA,0.424318691,0.24879187
CDanc-CA-CS,CA,0.128767567,0.20479758
CDanc-CH-BU-CA,CA,0.0706410106666666,0.012664029
CDanc-CH-BU-CA,CA,0.127526479,0.0139620155
CDanc-CH-DP-CA,CA,0.2205151796666666,0.063184254
CDanc-CH-DP-CA,CA,0.2778381686666666,0.1988268
CDanc-CS-BT-BU-CA,CA,0.0199631849999999,0.029290564
CDanc-CS-BT-BU-CA,CA,0.0325150763333333,0.1321536
CDanc-CS-BT-BV-CA,CA,0.0100701326666666,0.010427431
CDanc-CS-BT-BV-CA,CA,0.0132669303333333,0.08853819
CDanc-CS-BV-CA,CA,0.0222539259999999,0.017140927
CDanc-CS-BV-CA,CA,0.0555960763333333,0.022654489
CDanc-CS-CA,CA,0.16119765,0.023832172
CDanc-CS-CA,CA,0.2132283283333333,0.103359096
CDanc-CS-CH-CA,CA,0.1167527486666666,0.061928112
CDanc-CS-CH-CA,CA,0.2323346883333333,0.43090403
CDanc-CS-CH-DP-BT-BU-BV-CA,CA,0.0125825483333333,0.0070337704
CDanc-CS-CH-DP-BT-BU-BV-CA,CA,0.032714805,0.014867497
CDanc-CS-DP-BT-BV-CA,CA,0.0122060983333333,0.0084505165
CDanc-CS-DP-BT-BV-CA,CA,0.0296891093333333,0.06316559
CDanc-CS-DP-BU-CA,CA,0.0639189053333333,0.026722921
CDanc-CS-DP-BU-CA,CA,0.1470660503333333,0.16171658
CDanc-CS-DP-BV-CA,CA,0.0121706946666666,0.027382776
CDanc-CS-DP-BV-CA,CA,0.038857643,0.0924848
CDanc-CS-DP-CA,CA,0.2661011636666667,0.058660794
CDanc-CS-DP-CA,CA,0.2316086186666666,0.17801178
CDanc-DP-BT-BU-BV-CA,CA,0.0134859223333333,0.0064442223
CDanc-DP-BT-BU-BV-CA,CA,0.030624101,0.011731449
CDanc-DP-BT-CA,CA,0.0301693126666666,0.012654222
CDanc-DP-BT-CA,CA,0.15603343,0.04577427
CDanc-DP-BU-CA,CA,0.0630320533333333,0.019206412
CDanc-DP-BU-CA,CA,0.153087699,0.17640331
CDanc-DP-CA,CA,0.1392902103333333,0.25200415
CH-BU-BV-CA,CA,0.0249965469999999,0.049330875
CH-BU-BV-CA,CA,0.0267911955,0.121677406
CH-DP-BT-BU-BV-CA,CA,0.007331443,0.005888919
CH-DP-BT-BU-BV-CA,CA,0.014603722,0.007833081
CH-DP-BU-CA,CA,0.0223024649999999,0.030348519
CH-DP-BU-CA,CA,0.0648077886666666,0.3352053
CH-DP-BV-CA,CA,0.0286548626666666,0.026663456
CH-DP-BV-CA,CA,0.0909715046666666,0.25968271
CS-BT-BU-CA,CA,0.0128008513333333,0.009637012
CS-BT-BU-CA,CA,0.0196180066666666,0.011519698
CS-BT-BV-CA,CA,0.01306211,0.0071451715
CS-BT-BV-CA,CA,0.0225774696666666,0.009757133
CS-CH-BT-BU-BV-CA,CA,0.009454044,0.004667671
CS-CH-BT-BU-BV-CA,CA,0.0178007143333333,0.006623363
CS-CH-BT-BU-CA,CA,0.005985259,0.008402132
CS-CH-BT-BU-CA,CA,0.0114638063333333,0.00781802
CS-CH-BT-CA,CA,0.0125186239999999,0.018927332
CS-CH-BT-CA,CA,0.0236767586666666,0.058189206
CS-CH-BV-CA,CA,0.0748374053333333,0.043724313
CS-CH-BV-CA,CA,0.1066683706666666,0.24043179
CS-CH-DP-BT-BU-BV-CA,CA,0.013172101,0.004929332
CS-CH-DP-BT-BU-BV-CA,CA,0.0265179923333333,0.008205596
CS-CH-DP-BT-BU-CA,CA,0.0105131623333333,0.0062456187
CS-CH-DP-BT-BU-CA,CA,0.0437008666666666,0.0071008424
CS-CH-DP-BU-BV-CA,CA,0.0386345326666666,0.040777992
CS-CH-DP-BU-BV-CA,CA,0.0746021123333333,0.14626688
CS-CH-DP-BV-CA,CA,0.0596795343333333,0.018453596
CS-CH-DP-BV-CA,CA,0.2541832976666667,0.10354094
CS-CH-DP-CA,CA,0.2732369555,0.03458202
CS-CH-DP-CA,CA,0.389091296,8.71029
CS-DP-BT-BU-BV-CA,CA,0.0070079306666666,0.0050397483
CS-DP-BT-BU-BV-CA,CA,0.0139738663333333,0.0046175285
CS-DP-BT-BV-CA,CA,0.007005632,0.009457745
CS-DP-BT-BV-CA,CA,0.01130066,0.034124464
CS-DP-BU-BV-CA,CA,0.0322127426666666,0.029946106
