Treatments,species,true,pred
CDevo-BT-BU-CA,CA,0.0141888923333333,0.013773408
CDevo-BT-BU-CA,CA,0.020078655,0.034055486
CDevo-CA,CA,0.1685384383333333,0.033862747
CDevo-CA,CA,0.237501805,0.31506705
CDevo-CH-BU-CA,CA,0.0890177786666666,0.020955374
CDevo-CH-BU-CA,CA,0.1013203463333333,0.07042572
CDevo-CH-DP-CA,CA,0.2461507903333333,0.020751236
CDevo-CH-DP-CA,CA,0.22937964,0.13676837
CDevo-CS-BT-BU-CA,CA,0.018350355,0.0075790845
CDevo-CS-BT-BU-CA,CA,0.0237983856666666,0.015862664
CDevo-CS-BT-BV-CA,CA,0.010685872,0.007617438
CDevo-CS-BT-BV-CA,CA,0.0109862505,0.01748331
CDevo-CS-BV-CA,CA,0.047979241,0.0325755
CDevo-CS-BV-CA,CA,0.0832020953333333,0.21245457
CDevo-CS-CA,CA,0.266628923,0.03272411
CDevo-CS-CA,CA,0.302381982,0.27081257
CDevo-CS-CH-CA,CA,0.2358067773333333,0.02596582
CDevo-CS-CH-CA,CA,0.281976941,0.24845994
CDevo-CS-CH-DP-BT-BU-BV-CA,CA,0.0148250286666666,0.0098229265
CDevo-CS-CH-DP-BT-BU-BV-CA,CA,0.030206364,0.013955829
CDevo-CS-DP-BT-BV-CA,CA,0.019573047,0.007086596
CDevo-CS-DP-BT-BV-CA,CA,0.021159901,0.01028181
CDevo-CS-DP-BU-CA,CA,0.0514099843333333,0.016159555
CDevo-CS-DP-BU-CA,CA,0.1033766216666666,0.15025623
CDevo-CS-DP-BV-CA,CA,0.0438092123333333,0.0336537
CDevo-CS-DP-BV-CA,CA,0.1499082666666666,0.24755731
CDevo-CS-DP-CA,CA,0.3426096386666666,0.029874722
CDevo-CS-DP-CA,CA,0.2441325606666666,0.28690302
CDevo-DP-BT-BU-BV-CA,CA,0.0137790523333333,0.0061035696
CDevo-DP-BT-BU-BV-CA,CA,0.0189990523333333,0.013382133
CDevo-DP-BT-CA,CA,0.0283587906666666,0.011333625
