Treatments,Time,CA,BT,BU,CD,BV,CS,DP,CH
BT_1,0,0.0,0.011599998,0.0,0.0,0.0,0.0,0.0,0.0
BT_1,3,0.0,0.086499999,0.0,0.0,0.0,0.0,0.0,0.0
BT_1,6,0.0,0.478699977,0.0,0.0,0.0,0.0,0.0,0.0
BT_1,9,0.0,0.979499991,0.0,0.0,0.0,0.0,0.0,0.0
BT_1,12,0.0,1.08480006,0.0,0.0,0.0,0.0,0.0,0.0
BT_1,15,0.0,1.068800027,0.0,0.0,0.0,0.0,0.0,0.0
BT_1,18,0.0,1.043700034,0.0,0.0,0.0,0.0,0.0,0.0
BT_1,21,0.0,0.997499997,0.0,0.0,0.0,0.0,0.0,0.0
BT_1,24,0.0,0.927400048,0.0,0.0,0.0,0.0,0.0,0.0
BT_2,0,0.0,0.007299999,0.0,0.0,0.0,0.0,0.0,0.0
BT_2,3,0.0,0.082999999,0.0,0.0,0.0,0.0,0.0,0.0
BT_2,6,0.0,0.486299987,0.0,0.0,0.0,0.0,0.0,0.0
BT_2,9,0.0,0.985699947,0.0,0.0,0.0,0.0,0.0,0.0
BT_2,12,0.0,1.079299981,0.0,0.0,0.0,0.0,0.0,0.0
BT_2,15,0.0,1.065800006,0.0,0.0,0.0,0.0,0.0,0.0
BT_2,18,0.0,1.037800009,0.0,0.0,0.0,0.0,0.0,0.0
BT_2,21,0.0,1.011200006,0.0,0.0,0.0,0.0,0.0,0.0
BT_2,24,0.0,0.938200052,0.0,0.0,0.0,0.0,0.0,0.0
BT_3,0,0.0,0.008400003,0.0,0.0,0.0,0.0,0.0,0.0
BT_3,3,0.0,0.080500002,0.0,0.0,0.0,0.0,0.0,0.0
BT_3,6,0.0,0.471100027,0.0,0.0,0.0,0.0,0.0,0.0
BT_3,9,0.0,0.956900055,0.0,0.0,0.0,0.0,0.0,0.0
BT_3,12,0.0,1.058800037,0.0,0.0,0.0,0.0,0.0,0.0
BT_3,15,0.0,1.046600039,0.0,0.0,0.0,0.0,0.0,0.0
BT_3,18,0.0,1.019800002,0.0,0.0,0.0,0.0,0.0,0.0
BT_3,21,0.0,0.990899975,0.0,0.0,0.0,0.0,0.0,0.0
BT_3,24,0.0,0.965400035,0.0,0.0,0.0,0.0,0.0,0.0
BU_1,0,0.0,0.0,0.006000007,0.0,0.0,0.0,0.0,0.0
BU_1,3,0.0,0.0,0.050900007,0.0,0.0,0.0,0.0,0.0
BU_1,6,0.0,0.0,0.544399972,0.0,0.0,0.0,0.0,0.0
BU_1,9,0.0,0.0,1.031600053,0.0,0.0,0.0,0.0,0.0
BU_1,12,0.0,0.0,1.012000019,0.0,0.0,0.0,0.0,0.0
BU_1,15,0.0,0.0,0.997600014,0.0,0.0,0.0,0.0,0.0
BU_1,18,0.0,0.0,0.963599975,0.0,0.0,0.0,0.0,0.0
BU_1,21,0.0,0.0,0.913000042,0.0,0.0,0.0,0.0,0.0
BU_1,24,0.0,0.0,0.898600037,0.0,0.0,0.0,0.0,0.0
BU_2,0,0.0,0.0,0.004900003,0.0,0.0,0.0,0.0,0.0
BU_2,3,0.0,0.0,0.053600008,0.0,0.0,0.0,0.0,0.0
BU_2,6,0.0,0.0,0.50560003,0.0,0.0,0.0,0.0,0.0
BU_2,9,0.0,0.0,0.990799959,0.0,0.0,0.0,0.0,0.0
BU_2,12,0.0,0.0,0.992700035,0.0,0.0,0.0,0.0,0.0
BU_2,15,0.0,0.0,0.988900001,0.0,0.0,0.0,0.0,0.0
BU_2,18,0.0,0.0,0.947699959,0.0,0.0,0.0,0.0,0.0
BU_2,21,0.0,0.0,0.894599969,0.0,0.0,0.0,0.0,0.0
BU_2,24,0.0,0.0,0.89000004,0.0,0.0,0.0,0.0,0.0
BU_3,0,0.0,0.0,0.005100007,0.0,0.0,0.0,0.0,0.0
BU_3,3,0.0,0.0,0.046500007,0.0,0.0,0.0,0.0,0.0
BU_3,6,0.0,0.0,0.545199985,0.0,0.0,0.0,0.0,0.0
BU_3,9,0.0,0.0,1.039500053,0.0,0.0,0.0,0.0,0.0
BU_3,12,0.0,0.0,1.010899956,0.0,0.0,0.0,0.0,0.0
BU_3,15,0.0,0.0,0.946800048,0.0,0.0,0.0,0.0,0.0
BU_3,18,0.0,0.0,0.928399975,0.0,0.0,0.0,0.0,0.0
BU_3,21,0.0,0.0,0.85299998,0.0,0.0,0.0,0.0,0.0
BU_3,24,0.0,0.0,0.873599942,0.0,0.0,0.0,0.0,0.0
BV_1,0,0.0,0.0,0.0,0.0,0.021700005,0.0,0.0,0.0
BV_1,3,0.0,0.0,0.0,0.0,0.116699989,0.0,0.0,0.0
