Treatments,Time,CD,CA,EL,DP,BU,PV,CDEVO
BU_1,0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0
BU_1,1,0.0,0.0,0.0,0.0,1.000699957,0.0,0.0
BU_1,2,0.0,0.0,0.0,0.0,0.373733322,0.0,0.0
BU_1,3,0.0,0.0,0.0,0.0,0.445566637,0.0,0.0
BU_1,4,0.0,0.0,0.0,0.0,0.474833357,0.0,0.0
BU_1,5,0.0,0.0,0.0,0.0,0.462266684,0.0,0.0
BU_2,0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0
BU_2,1,0.0,0.0,0.0,0.0,0.979299982,0.0,0.0
BU_2,2,0.0,0.0,0.0,0.0,0.371433328,0.0,0.0
BU_2,3,0.0,0.0,0.0,0.0,0.450466675,0.0,0.0
BU_2,4,0.0,0.0,0.0,0.0,0.468833315,0.0,0.0
BU_2,5,0.0,0.0,0.0,0.0,0.454566658,0.0,0.0
BU_3,0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0
BU_3,1,0.0,0.0,0.0,0.0,0.97119995,0.0,0.0
BU_3,2,0.0,0.0,0.0,0.0,0.366333346,0.0,0.0
BU_3,3,0.0,0.0,0.0,0.0,0.431066674,0.0,0.0
BU_3,4,0.0,0.0,0.0,0.0,0.452133345,0.0,0.0
BU_3,5,0.0,0.0,0.0,0.0,0.438766658,0.0,0.0
BU_3,6,0.0,0.0,0.0,0.0,0.488566649,0.0,0.0
BU_3,7,0.0,0.0,0.0,0.0,0.572900002,0.0,0.0
BU_3,8,0.0,0.0,0.0,0.0,0.504466658,0.0,0.0
BU_3,9,0.0,0.0,0.0,0.0,0.526966661,0.0,0.0
BU_3,10,0.0,0.0,0.0,0.0,0.56500001,0.0,0.0
CA_1,0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0,0.0
CA_1,1,0.0,0.106300001,0.0,0.0,0.0,0.0,0.0
CA_1,2,0.0,-0.000366663,0.0,0.0,0.0,0.0,0.0
CA_1,3,0.0,0.001366665,0.0,0.0,0.0,0.0,0.0
