Time,Sample,Replicate,CD,CA,EL,DP,BU,PV,CDEVO
0,CD_CA,1,0.00275,0.00275,0,0,0,0,0
0,CD_CA,2,0.00275,0.00275,0,0,0,0,0
0,CD_CA,3,0.00275,0.00275,0,0,0,0,0
0,CD_EL,1,0.00275,0,0.00275,0,0,0,0
0,CD_EL,2,0.00275,0,0.00275,0,0,0,0
0,CD_EL,3,0.00275,0,0.00275,0,0,0,0
0,CD_DP,1,0.00275,0,0,0.00275,0,0,0
0,CD_DP,2,0.00275,0,0,0.00275,0,0,0
0,CD_DP,3,0.00275,0,0,0.00275,0,0,0
0,CD_BU,1,0.00275,0,0,0,0.00275,0,0
0,CD_BU,2,0.00275,0,0,0,0.00275,0,0
0,CD_BU,3,0.00275,0,0,0,0.00275,0,0
0,CD_PV,1,0.00275,0,0,0,0,0.00275,0
0,CD_PV,2,0.00275,0,0,0,0,0.00275,0
0,CD_PV,3,0.00275,0,0,0,0,0.00275,0
1,CD_CA,1,0.429843349,0.054056622,0,0,0,0,0
1,CD_CA,2,0.412226531,0.035773443,0,0,0,0,0
1,CD_CA,3,0.396033151,0.033066846,0,0,0,0,0
1,CD_EL,1,0.404245379,0,0.115954596,0,0,0,0
1,CD_EL,2,0.40065496,0,0.163545044,0,0,0,0
1,CD_EL,3,0.472677944,0,0.098522029,0,0,0,0
1,CD_DP,1,0.358209881,0,0,0.139190125,0,0,0
1,CD_DP,2,0.345655042,0,0,0.13124496,0,0,0
1,CD_DP,3,0.35266814,0,0,0.13733183,0,0,0
1,CD_BU,1,0.526139983,0,0,0,0.60605998,0,0
1,CD_BU,2,0.607989845,0,0,0,0.535610102,0,0
1,CD_BU,3,0.585377769,0,0,0,0.561522249,0,0
1,CD_PV,1,0.828465233,0,0,0,0,0.440834711,0
1,CD_PV,2,0.895146401,0,0,0,0,0.381753612,0
1,CD_PV,3,0.675709963,0,0,0,0,0.567390045,0
7,CD_CA,1,0.471726268,0.03620706,0,0,0,0,0
7,CD_CA,2,0.323657752,0.029275576,0,0,0,0,0
7,CD_CA,3,0.318028662,0.021004684,0,0,0,0,0
7,CD_EL,1,0.306275524,0,0.048657807,0,0,0,0
7,CD_EL,2,0.297370034,0,0.047863297,0,0,0,0
7,CD_EL,3,0.389734812,0,0.069298509,0,0,0,0
7,CD_DP,1,0.692864855,0,0,0.169068505,0,0,0
7,CD_DP,2,0.406694978,0,0,0.13523833,0,0,0
7,CD_DP,3,0.310109868,0,0,0.123023476,0,0,0
7,CD_BU,1,0.46365889,0,0,0,0.094274451,0,0
7,CD_BU,2,0.448411451,0,0,0,0.124421859,0,0
7,CD_BU,3,0.510361033,0,0,0,0.092072301,0,0
7,CD_PV,1,0.927479866,0,0,0,0,0.130153425,0
7,CD_PV,2,0.892150835,0,0,0,0,0.157682473,0
7,CD_PV,3,0.881096542,0,0,0,0,0.162436793,0
14,CD_EL,1,0.757676506,0,0.135390181,0,0,0,0
14,CD_EL,2,0.595276057,0,0.129190607,0,0,0,0
14,CD_EL,3,0.375392998,0,0.074273663,0,0,0,0
14,CD_DP,1,0.32349498,0,0,0.170871708,0,0,0
14,CD_DP,2,0.341441827,0,0,0.122424866,0,0,0
14,CD_DP,3,0.306771492,0,0,0.143595166,0,0,0
14,CD_BU,1,0.387587037,0,0,0,0.173579649,0,0
14,CD_BU,2,0.458883805,0,0,0,0.118582845,0,0
14,CD_BU,3,0.425745945,0,0,0,0.119820715,0,0
14,CD_PV,1,0.818871035,0,0,0,0,0.1661956,0
14,CD_PV,2,0.288619039,0,0,0,0,0.881047592,0
14,CD_PV,3,0.436600788,0,0,0,0,0.615965842,0
21,CD_EL,1,0.502452685,0,0.139380667,0,0,0,0
21,CD_EL,2,0.427335979,0,0.14119737,0,0,0,0
21,CD_EL,3,0.447257925,0,0.15567541,0,0,0,0
21,CD_DP,1,0.363450767,0,0,0.206782565,0,0,0
21,CD_DP,2,0.287860765,0,0,0.22647259,0,0,0
21,CD_DP,3,0.295284131,0,0,0.207149216,0,0,0
21,CD_BU,1,0.416015446,0,0,0,0.141117858,0,0
21,CD_BU,2,0.419592007,0,0,0,0.176841322,0,0
21,CD_BU,3,0.430652755,0,0,0,0.176980584,0,0
21,CD_PV,1,0.003231877,0,0,0,0,1.081601494,0
21,CD_PV,2,0.253303021,0,0,0,0,0.861230272,0
21,CD_PV,3,0.136017332,0,0,0,0,0.985715964,0
28,CD_EL,2,0.373520101,0,0.218746578,0,0,0,0
28,CD_EL,3,0.443291491,0,0.193675154,0,0,0,0
28,CD_DP,1,0.21735866,0,0,0.193408002,0,0,0
28,CD_DP,2,0.247005231,0,0,0.251761429,0,0,0
28,CD_BU,1,0.442274019,0,0,0,0.14239265,0,0
28,CD_PV,1,0.000795328,0,0,0,0,1.094371296,0
28,CD_PV,2,0.256170312,0,0,0,0,0.917796394,0
35,CD_EL,2,0.357932003,0,0.18363468,0,0,0,0
35,CD_EL,3,0.458628762,0,0.101437891,0,0,0,0
35,CD_DP,1,0.180665761,0,0,0.225200904,0,0,0
35,CD_DP,2,0.107712791,0,0,0.261353878,0,0,0
35,CD_BU,1,0.428128386,0,0,0,0.151938307,0,0
35,CD_PV,1,0.00129507,0,0,0,0,1.137071641,0
35,CD_PV,2,0.000711418,0,0,0,0,1.131155287,0
35,CD_PV,3,0.413682296,0,0,0,0,0.643184362,0
42,CD_EL,2,0.533498261,0,0.142501743,0,0,0,0
42,CD_EL,3,0.606077454,0,0.138622566,0,0,0,0
42,CD_DP,2,0.12675738,0,0,0.310542621,0,0,0
42,CD_BU,1,0.554043127,0,0,0,0.182356886,0,0
42,CD_PV,1,0.000573037,0,0,0,0,1.225726909,0
42,CD_PV,2,0.002490621,0,0,0,0,1.27220937,0
42,CD_PV,3,0.006746615,0,0,0,0,1.103553395,0
49,CD_EL,2,0.474934195,0,0.182332487,0,0,0,0
49,CD_EL,3,0.554894344,0,0.1107723,0,0,0,0
49,CD_DP,2,0.309582052,0,0,0.218384631,0,0,0
49,CD_BU,1,0.504401366,0,0,0,0.176365281,0,0
49,CD_PV,1,0.002602228,0,0,0,0,1.165364381,0
49,CD_PV,2,0.000413487,0,0,0,0,1.163553173,0
49,CD_PV,3,0.000817443,0,0,0,0,1.052049259,0
56,CD_DP,2,0.124640106,0,0,0.248926551,0,0,0
56,CD_BU,1,0.424034336,0,0,0,0.136232308,0,0
56,CD_PV,1,0,0,0,0,0,1.159666628,0
56,CD_PV,2,0.000129265,0,0,0,0,1.161837386,0
56,CD_PV,3,0.000131128,0,0,0,0,1.010735484,0
64,CD_DP,2,0.05572878,0,0,0.393771197,0,0,0
64,CD_BU,1,0.528017508,0,0,0,0.225382473,0,0
64,CD_PV,1,0.000338386,0,0,0,0,1.178261639,0
64,CD_PV,2,0.000389081,0,0,0,0,1.147010893,0
64,CD_PV,3,0,0,0,0,0,1.184400034,0
0,CD,1,0.0055,0,0,0,0,0,0
0,CD,2,0.0055,0,0,0,0,0,0
0,CD,3,0.0055,0,0,0,0,0,0
1,CD,1,0.414499988,0,0,0,0,0,0
1,CD,2,0.421600004,0,0,0,0,0,0
1,CD,3,0.425300022,0,0,0,0,0,0
7,CD,1,0.215533326,0,0,0,0,0,0
7,CD,2,0.255933324,0,0,0,0,0,0
7,CD,3,0.37773333,0,0,0,0,0,0
14,CD,1,0.245266659,0,0,0,0,0,0
14,CD,2,0.211966676,0,0,0,0,0,0
14,CD,3,0.184766663,0,0,0,0,0,0
21,CD,1,0.314133334,0,0,0,0,0,0
21,CD,2,0.24993332,0,0,0,0,0,0
21,CD,3,0.321133333,0,0,0,0,0,0
28,CD,2,0.359466672,0,0,0,0,0,0
28,CD,3,0.363566667,0,0,0,0,0,0
35,CD,2,0.320366663,0,0,0,0,0,0
35,CD,3,0.33926667,0,0,0,0,0,0
42,CD,2,0.384500002,0,0,0,0,0,0
42,CD,3,0.397500013,0,0,0,0,0,0
49,CD,2,0.341266667,0,0,0,0,0,0
49,CD,3,0.308066671,0,0,0,0,0,0
56,CD,2,0.310266674,0,0,0,0,0,0
56,CD,3,0.325666666,0,0,0,0,0,0
64,CD,2,0.362499995,0,0,0,0,0,0
64,CD,3,0.353200001,0,0,0,0,0,0
0,BU,1,0,0,0,0,0.0055,0,0
0,BU,2,0,0,0,0,0.0055,0,0
0,BU,3,0,0,0,0,0.0055,0,0
1,BU,1,0,0,0,0,1.000699957,0,0
1,BU,2,0,0,0,0,0.979299982,0,0
1,BU,3,0,0,0,0,0.97119995,0,0
7,BU,1,0,0,0,0,0.373733322,0,0
7,BU,2,0,0,0,0,0.371433328,0,0
7,BU,3,0,0,0,0,0.366333346,0,0
14,BU,1,0,0,0,0,0.445566637,0,0
14,BU,2,0,0,0,0,0.450466675,0,0
14,BU,3,0,0,0,0,0.431066674,0,0
21,BU,1,0,0,0,0,0.474833357,0,0
21,BU,2,0,0,0,0,0.468833315,0,0
21,BU,3,0,0,0,0,0.452133345,0,0
28,BU,1,0,0,0,0,0.462266684,0,0
28,BU,2,0,0,0,0,0.454566658,0,0
28,BU,3,0,0,0,0,0.438766658,0,0
35,BU,3,0,0,0,0,0.488566649,0,0
42,BU,3,0,0,0,0,0.572900002,0,0
49,BU,3,0,0,0,0,0.504466658,0,0
56,BU,3,0,0,0,0,0.526966661,0,0
64,BU,3,0,0,0,0,0.56500001,0,0
0,PV,1,0,0,0,0,0,0.0055,0
0,PV,2,0,0,0,0,0,0.0055,0
0,PV,3,0,0,0,0,0,0.0055,0
