Treatments,species,true,pred
CDanc-BT-BU-CA,CA,0.0123599013333333,0.030046687
CDanc-BT-BU-CA,CA,0.0224776123333333,0.17429307
CDanc-CA,CA,0.0007394356666666,0.009335419
CDanc-CA,CA,0.001990791,0.017017774
CDanc-CA,CA,0.1152441506666666,0.048526905
CDanc-CA,CA,0.100640184,0.14790867
CDanc-CA-BT,CA,0.144471694,0.21422794
CDanc-CA-BU,CA,0.2339197763333333,0.10440975
CDanc-CA-BV,CA,0.2738686036666666,0.044810157
CDanc-CA-CH,CA,0.424318691,0.2247677
CDanc-CA-CS,CA,0.128767567,0.217115
CDanc-CH-BU-CA,CA,0.0706410106666666,0.012558533
CDanc-CH-BU-CA,CA,0.127526479,0.016865974
CDanc-CH-DP-CA,CA,0.2205151796666666,0.022798704
CDanc-CH-DP-CA,CA,0.2778381686666666,0.32856494
CDanc-CS-BT-BU-CA,CA,0.0199631849999999,0.029386226
CDanc-CS-BT-BU-CA,CA,0.0325150763333333,0.17038064
CDanc-CS-BT-BV-CA,CA,0.0100701326666666,0.0061746347
CDanc-CS-BT-BV-CA,CA,0.0132669303333333,0.025014464
CDanc-CS-BV-CA,CA,0.0222539259999999,0.011221653
CDanc-CS-BV-CA,CA,0.0555960763333333,0.015955769
CDanc-CS-CA,CA,0.16119765,0.022219552
CDanc-CS-CA,CA,0.2132283283333333,0.10872419
CDanc-CS-CH-CA,CA,0.1167527486666666,0.058636907
CDanc-CS-CH-CA,CA,0.2323346883333333,0.40395135
CDanc-CS-CH-DP-BT-BU-BV-CA,CA,0.0125825483333333,0.0071228
CDanc-CS-CH-DP-BT-BU-BV-CA,CA,0.032714805,0.015974293
CDanc-CS-DP-BT-BV-CA,CA,0.0122060983333333,0.006816719
CDanc-CS-DP-BT-BV-CA,CA,0.0296891093333333,0.02505241
CDanc-CS-DP-BU-CA,CA,0.0639189053333333,0.022767946
CDanc-CS-DP-BU-CA,CA,0.1470660503333333,0.20364173
CDanc-CS-DP-BV-CA,CA,0.0121706946666666,0.037194762
CDanc-CS-DP-BV-CA,CA,0.038857643,0.14556696
CDanc-CS-DP-CA,CA,0.2661011636666667,0.017253932
CDanc-CS-DP-CA,CA,0.2316086186666666,0.14511204
CDanc-DP-BT-BU-BV-CA,CA,0.0134859223333333,0.0016808495
CDanc-DP-BT-BU-BV-CA,CA,0.030624101,10.0
CDanc-DP-BT-CA,CA,0.0301693126666666,0.013120579
CDanc-DP-BT-CA,CA,0.15603343,0.054317668
CDanc-DP-BU-CA,CA,0.0630320533333333,0.020039478
CDanc-DP-BU-CA,CA,0.153087699,0.16654244
CDanc-DP-CA,CA,0.1392902103333333,0.25623453
CH-BU-BV-CA,CA,0.0249965469999999,0.014328113
CH-BU-BV-CA,CA,0.0267911955,0.06683455
CH-DP-BT-BU-BV-CA,CA,0.007331443,0.004604418
CH-DP-BT-BU-BV-CA,CA,0.014603722,0.0023614499
CH-DP-BU-CA,CA,0.0223024649999999,0.067425326
CH-DP-BU-CA,CA,0.0648077886666666,0.37072617
CH-DP-BV-CA,CA,0.0286548626666666,0.0793139
CH-DP-BV-CA,CA,0.0909715046666666,0.2528004
CS-BT-BU-CA,CA,0.0128008513333333,0.0075624483
CS-BT-BU-CA,CA,0.0196180066666666,0.011136588
CS-BT-BV-CA,CA,0.01306211,0.0059094676
CS-BT-BV-CA,CA,0.0225774696666666,0.0051404852
