Treatments,species,true,pred
CDevo-BT-BU-CA,CA,0.0141888923333333,0.009055216
CDevo-BT-BU-CA,CA,0.020078655,0.020365503
CDevo-CA,CA,0.1685384383333333,0.04206218
CDevo-CA,CA,0.237501805,0.2683492
CDevo-CH-BU-CA,CA,0.0890177786666666,0.028957482
CDevo-CH-BU-CA,CA,0.1013203463333333,0.08709858
CDevo-CH-DP-CA,CA,0.2461507903333333,0.019386778
CDevo-CH-DP-CA,CA,0.22937964,0.1778545
CDevo-CS-BT-BU-CA,CA,0.018350355,0.011516837
CDevo-CS-BT-BU-CA,CA,0.0237983856666666,0.02285989
CDevo-CS-BT-BV-CA,CA,0.010685872,0.012681656
CDevo-CS-BT-BV-CA,CA,0.0109862505,0.016279556
CDevo-CS-BV-CA,CA,0.047979241,0.10390164
CDevo-CS-BV-CA,CA,0.0832020953333333,0.19083457
CDevo-CS-CA,CA,0.266628923,0.031404722
CDevo-CS-CA,CA,0.302381982,0.3589607
CDevo-CS-CH-CA,CA,0.2358067773333333,0.017304024
CDevo-CS-CH-CA,CA,0.281976941,0.18230829
CDevo-CS-CH-DP-BT-BU-BV-CA,CA,0.0148250286666666,0.005872126
CDevo-CS-CH-DP-BT-BU-BV-CA,CA,0.030206364,0.011021015
CDevo-CS-DP-BT-BV-CA,CA,0.019573047,0.015614605
CDevo-CS-DP-BT-BV-CA,CA,0.021159901,0.018700846
CDevo-CS-DP-BU-CA,CA,0.0514099843333333,0.082254715
CDevo-CS-DP-BU-CA,CA,0.1033766216666666,0.24638124
CDevo-CS-DP-BV-CA,CA,0.0438092123333333,0.099788904
CDevo-CS-DP-BV-CA,CA,0.1499082666666666,0.18715005
CDevo-CS-DP-CA,CA,0.3426096386666666,0.022434643
CDevo-CS-DP-CA,CA,0.2441325606666666,0.44119602
CDevo-DP-BT-BU-BV-CA,CA,0.0137790523333333,0.00979351
CDevo-DP-BT-BU-BV-CA,CA,0.0189990523333333,0.012510988
CDevo-DP-BT-CA,CA,0.0283587906666666,0.015746502
CDevo-DP-BT-CA,CA,0.1155761396666666,0.013966131
CDevo-DP-BU-CA,CA,0.0774825786666666,0.040333267
CDevo-DP-BU-CA,CA,0.1046732426666666,0.109525524
CH-BU-BV-CA,CA,0.0249965469999999,0.021657333
CH-BU-BV-CA,CA,0.0267911955,0.033774804
CH-DP-BT-BU-BV-CA,CA,0.007331443,0.00024972335
