Treatments,species,true,pred,stdv,n,passage
CD_BT,CD,0.0027500000000000003,0.0027500000000000003,0.0,3,1
CD_BT,DP,0.0,0.0,0.0,3,1
CD_BT,CA,0.0,0.0,0.0,3,1
CD_BT,PC,0.0,0.0,0.0,3,1
CD_BT,CS,0.0,0.0,0.0,3,1
CD_BT,CH,0.0,0.0,0.0,3,1
CD_BT,BU,0.0,0.0,0.0,3,1
CD_BT,BT,0.0027500000000000003,0.0027500000000000003,0.0,3,1
CD_BT,PV,0.0,0.0,0.0,3,1
CD_BT,EL,0.0,0.0,0.0,3,1
CD_BT,CD,0.17117832533333335,0.13571294499499095,0.16698304317474597,3,2
CD_BT,DP,0.0,0.0,0.0,3,2
CD_BT,CA,0.0,0.0,0.0,3,2
CD_BT,PC,0.0,0.0,0.0,3,2
CD_BT,CS,0.0,0.0,0.0,3,2
CD_BT,CH,0.0,0.0,0.0,3,2
CD_BT,BU,0.0,0.0,0.0,3,2
CD_BT,BT,1.0644550033333333,1.1082638651170076,0.13958751869959352,3,2
CD_BT,PV,0.0,0.0,0.0,3,2
CD_BT,EL,0.0,0.0,0.0,3,2
CD_BT,CD,0.0012943373333333334,0.1352506782099012,0.167452587087932,3,8
CD_BT,DP,0.0,0.0,0.0,3,8
CD_BT,CA,0.0,0.0,0.0,3,8
CD_BT,PC,0.0,0.0,0.0,3,8
CD_BT,CS,0.0,0.0,0.0,3,8
CD_BT,CH,0.0,0.0,0.0,3,8
CD_BT,BU,0.0,0.0,0.0,3,8
CD_BT,BT,0.8515056793333334,1.0967186144891512,0.12145703128246288,3,8
CD_BT,PV,0.0,0.0,0.0,3,8
CD_BT,EL,0.0,0.0,0.0,3,8
CD_BT,CD,0.0002669676666666667,0.13525067577693944,0.1674525898727363,3,15
CD_BT,DP,0.0,0.0,0.0,3,15
CD_BT,CA,0.0,0.0,0.0,3,15
CD_BT,PC,0.0,0.0,0.0,3,15
CD_BT,CS,0.0,0.0,0.0,3,15
CD_BT,CH,0.0,0.0,0.0,3,15
CD_BT,BU,0.0,0.0,0.0,3,15
CD_BT,BT,1.2297996986666666,1.0967185409913134,0.12145691143730868,3,15
CD_BT,PV,0.0,0.0,0.0,3,15
CD_BT,EL,0.0,0.0,0.0,3,15
CD_BT,CD,0.0008053896666666667,0.13525067577693672,0.16745258987273942,3,22
CD_BT,DP,0.0,0.0,0.0,3,22
CD_BT,CA,0.0,0.0,0.0,3,22
CD_BT,PC,0.0,0.0,0.0,3,22
CD_BT,CS,0.0,0.0,0.0,3,22
CD_BT,CH,0.0,0.0,0.0,3,22
CD_BT,BU,0.0,0.0,0.0,3,22
CD_BT,BT,1.2687279436666667,1.096718540991231,0.12145691143717435,3,22
CD_BT,PV,0.0,0.0,0.0,3,22
CD_BT,EL,0.0,0.0,0.0,3,22
CD_BT,CD,0.00039182433333333325,0.13525067577693672,0.16745258987273942,3,29
CD_BT,DP,0.0,0.0,0.0,3,29
CD_BT,CA,0.0,0.0,0.0,3,29
CD_BT,PC,0.0,0.0,0.0,3,29
CD_BT,CS,0.0,0.0,0.0,3,29
CD_BT,CH,0.0,0.0,0.0,3,29
CD_BT,BU,0.0,0.0,0.0,3,29
CD_BT,BT,1.0805748523333334,1.096718540991231,0.12145691143717435,3,29
CD_BT,PV,0.0,0.0,0.0,3,29
CD_BT,EL,0.0,0.0,0.0,3,29
CD_BT,CD,0.0004164066666666667,0.13525067577693672,0.16745258987273942,3,36
CD_BT,DP,0.0,0.0,0.0,3,36
CD_BT,CA,0.0,0.0,0.0,3,36
CD_BT,PC,0.0,0.0,0.0,3,36
CD_BT,CS,0.0,0.0,0.0,3,36
CD_BT,CH,0.0,0.0,0.0,3,36
CD_BT,BU,0.0,0.0,0.0,3,36
CD_BT,BT,0.964883592,1.096718540991231,0.12145691143717435,3,36
CD_BT,PV,0.0,0.0,0.0,3,36
CD_BT,EL,0.0,0.0,0.0,3,36
CD_BT_EL,CD,0.0018333330000000001,0.0018333329999999997,4.51389359802078e-19,13,1
CD_BT_EL,DP,0.0,0.0,0.0,13,1
CD_BT_EL,CA,0.0,0.0,0.0,13,1
CD_BT_EL,PC,0.0,0.0,0.0,13,1
CD_BT_EL,CS,0.0,0.0,0.0,13,1
CD_BT_EL,CH,0.0,0.0,0.0,13,1
CD_BT_EL,BU,0.0,0.0,0.0,13,1
CD_BT_EL,BT,0.0018333330000000001,0.0018333329999999997,4.51389359802078e-19,13,1
CD_BT_EL,PV,0.0,0.0,0.0,13,1
CD_BT_EL,EL,0.0018333330000000001,0.0018333329999999997,4.51389359802078e-19,13,1
CD_BT_EL,CD,0.13766722233333334,0.2238849599935779,0.1670502475096924,13,2
CD_BT_EL,DP,0.0,0.0,0.0,13,2
CD_BT_EL,CA,0.0,0.0,0.0,13,2
