Treatments,species,true,pred,stdv,passage
BT,CD,0.0,0.0,0.0,1
BT,DP,0.0,0.0,0.0,1
BT,CA,0.0,0.0,0.0,1
BT,PC,0.0,0.0,0.0,1
BT,CS,0.0,0.0,0.0,1
BT,CH,0.0,0.0,0.0,1
BT,BU,0.0,0.0,0.0,1
BT,BT,0.0055000000000000005,0.005499999999999999,1.8118595785761773e-18,1
BT,PV,0.0,0.0,0.0,1
BT,EL,0.0,0.0,0.0,1
BT,CD,0.0,0.0,0.0,2
BT,DP,0.0,0.0,0.0,2
BT,CA,0.0,0.0,0.0,2
BT,PC,0.0,0.0,0.0,2
BT,CS,0.0,0.0,0.0,2
BT,CH,0.0,0.0,0.0,2
BT,BU,0.0,0.0,0.0,2
BT,BT,1.0562666603333335,0.7859709711846601,0.26641895619676914,2
BT,PV,0.0,0.0,0.0,2
BT,EL,0.0,0.0,0.0,2
BT,CD,0.0,0.0,0.0,8
BT,DP,0.0,0.0,0.0,8
BT,CA,0.0,0.0,0.0,8
BT,PC,0.0,0.0,0.0,8
BT,CS,0.0,0.0,0.0,8
BT,CH,0.0,0.0,0.0,8
BT,BU,0.0,0.0,0.0,8
BT,BT,0.8404333243333332,0.7859713452950472,0.266419187194871,8
BT,PV,0.0,0.0,0.0,8
BT,EL,0.0,0.0,0.0,8
BT,CD,0.0,0.0,0.0,15
BT,DP,0.0,0.0,0.0,15
BT,CA,0.0,0.0,0.0,15
BT,PC,0.0,0.0,0.0,15
BT,CS,0.0,0.0,0.0,15
BT,CH,0.0,0.0,0.0,15
BT,BU,0.0,0.0,0.0,15
BT,BT,1.1956666663333335,0.7859713452950472,0.266419187194871,15
BT,PV,0.0,0.0,0.0,15
BT,EL,0.0,0.0,0.0,15
BT,CD,0.0,0.0,0.0,22
BT,DP,0.0,0.0,0.0,22
BT,CA,0.0,0.0,0.0,22
BT,PC,0.0,0.0,0.0,22
BT,CS,0.0,0.0,0.0,22
BT,CH,0.0,0.0,0.0,22
BT,BU,0.0,0.0,0.0,22
BT,BT,1.1414333333333333,0.7859713452950472,0.266419187194871,22
BT,PV,0.0,0.0,0.0,22
BT,EL,0.0,0.0,0.0,22
BT,CD,0.0,0.0,0.0,29
BT,DP,0.0,0.0,0.0,29
BT,CA,0.0,0.0,0.0,29
BT,PC,0.0,0.0,0.0,29
BT,CS,0.0,0.0,0.0,29
BT,CH,0.0,0.0,0.0,29
BT,BU,0.0,0.0,0.0,29
BT,BT,1.1263999986666666,0.7859713452950472,0.266419187194871,29
BT,PV,0.0,0.0,0.0,29
BT,EL,0.0,0.0,0.0,29
BT,CD,0.0,0.0,0.0,36
BT,DP,0.0,0.0,0.0,36
BT,CA,0.0,0.0,0.0,36
BT,PC,0.0,0.0,0.0,36
BT,CS,0.0,0.0,0.0,36
BT,CH,0.0,0.0,0.0,36
BT,BU,0.0,0.0,0.0,36
BT,BT,0.8186333326666667,0.7859713452950472,0.266419187194871,36
BT,PV,0.0,0.0,0.0,36
BT,EL,0.0,0.0,0.0,36
BU,CD,0.0,0.0,0.0,1
BU,DP,0.0,0.0,0.0,1
BU,CA,0.0,0.0,0.0,1
BU,PC,0.0,0.0,0.0,1
BU,CS,0.0,0.0,0.0,1
BU,CH,0.0,0.0,0.0,1
BU,BU,0.0055000000000000005,0.005499999999999999,1.8118595785761773e-18,1
BU,BT,0.0,0.0,0.0,1
BU,PV,0.0,0.0,0.0,1
BU,EL,0.0,0.0,0.0,1
BU,CD,0.0,0.0,0.0,2
BU,DP,0.0,0.0,0.0,2
BU,CA,0.0,0.0,0.0,2
BU,PC,0.0,0.0,0.0,2
BU,CS,0.0,0.0,0.0,2
BU,CH,0.0,0.0,0.0,2
BU,BU,1.0382666536666667,0.42783519161007094,0.14518672312810177,2
BU,BT,0.0,0.0,0.0,2
BU,PV,0.0,0.0,0.0,2
BU,EL,0.0,0.0,0.0,2
BU,CD,0.0,0.0,0.0,8
BU,DP,0.0,0.0,0.0,8
BU,CA,0.0,0.0,0.0,8
BU,PC,0.0,0.0,0.0,8
BU,CS,0.0,0.0,0.0,8
BU,CH,0.0,0.0,0.0,8
BU,BU,0.37210001033333334,0.42783519258862274,0.14518672402073488,8
BU,BT,0.0,0.0,0.0,8
BU,PV,0.0,0.0,0.0,8
BU,EL,0.0,0.0,0.0,8
BU,CD,0.0,0.0,0.0,15
BU,DP,0.0,0.0,0.0,15
BU,CA,0.0,0.0,0.0,15
BU,PC,0.0,0.0,0.0,15
BU,CS,0.0,0.0,0.0,15
BU,CH,0.0,0.0,0.0,15
BU,BU,0.5656999996666666,0.42783519258862274,0.14518672402073488,15
BU,BT,0.0,0.0,0.0,15
BU,PV,0.0,0.0,0.0,15
BU,EL,0.0,0.0,0.0,15
BU,CD,0.0,0.0,0.0,22
BU,DP,0.0,0.0,0.0,22
BU,CA,0.0,0.0,0.0,22
BU,PC,0.0,0.0,0.0,22
BU,CS,0.0,0.0,0.0,22
BU,CH,0.0,0.0,0.0,22
BU,BU,0.7182666666666666,0.42783519258862274,0.14518672402073488,22
BU,BT,0.0,0.0,0.0,22
BU,PV,0.0,0.0,0.0,22
BU,EL,0.0,0.0,0.0,22
BU,CD,0.0,0.0,0.0,29
BU,DP,0.0,0.0,0.0,29
BU,CA,0.0,0.0,0.0,29
BU,PC,0.0,0.0,0.0,29
BU,CS,0.0,0.0,0.0,29
BU,CH,0.0,0.0,0.0,29
BU,BU,0.5726999890000001,0.42783519258862274,0.14518672402073488,29
BU,BT,0.0,0.0,0.0,29
BU,PV,0.0,0.0,0.0,29
BU,EL,0.0,0.0,0.0,29
BU,CD,0.0,0.0,0.0,36
BU,DP,0.0,0.0,0.0,36
BU,CA,0.0,0.0,0.0,36
BU,PC,0.0,0.0,0.0,36
BU,CS,0.0,0.0,0.0,36
BU,CH,0.0,0.0,0.0,36
BU,BU,0.5333000170000001,0.42783519258862274,0.14518672402073488,36
BU,BT,0.0,0.0,0.0,36
BU,PV,0.0,0.0,0.0,36
BU,EL,0.0,0.0,0.0,36
CA,CD,0.0,0.0,0.0,1
CA,DP,0.0,0.0,0.0,1
CA,CA,0.0055000000000000005,0.005499999999999999,1.8118595785761773e-18,1
CA,PC,0.0,0.0,0.0,1
CA,CS,0.0,0.0,0.0,1
CA,CH,0.0,0.0,0.0,1
CA,BU,0.0,0.0,0.0,1
CA,BT,0.0,0.0,0.0,1
CA,PV,0.0,0.0,0.0,1
CA,EL,0.0,0.0,0.0,1
CA,CD,0.0,0.0,0.0,2
CA,DP,0.0,0.0,0.0,2
CA,CA,0.030266662333333333,0.16762309890001462,0.05874444551627631,2
CA,PC,0.0,0.0,0.0,2
CA,CS,0.0,0.0,0.0,2
CA,CH,0.0,0.0,0.0,2
CA,BU,0.0,0.0,0.0,2
CA,BT,0.0,0.0,0.0,2
CA,PV,0.0,0.0,0.0,2
CA,EL,0.0,0.0,0.0,2
CA,CD,0.0,0.0,0.0,8
CA,DP,0.0,0.0,0.0,8
CA,CA,0.0,0.16762294438057437,0.05874461114751907,8
CA,PC,0.0,0.0,0.0,8
CA,CS,0.0,0.0,0.0,8
CA,CH,0.0,0.0,0.0,8
CA,BU,0.0,0.0,0.0,8
CA,BT,0.0,0.0,0.0,8
CA,PV,0.0,0.0,0.0,8
CA,EL,0.0,0.0,0.0,8
CA,CD,0.0,0.0,0.0,15
CA,DP,0.0,0.0,0.0,15
CA,CA,0.0,0.16762294438057437,0.05874461114751907,15
CA,PC,0.0,0.0,0.0,15
CA,CS,0.0,0.0,0.0,15
CA,CH,0.0,0.0,0.0,15
CA,BU,0.0,0.0,0.0,15
CA,BT,0.0,0.0,0.0,15
CA,PV,0.0,0.0,0.0,15
CA,EL,0.0,0.0,0.0,15
CA,CD,0.0,0.0,0.0,22
CA,DP,0.0,0.0,0.0,22
CA,CA,0.0,0.16762294438057437,0.05874461114751907,22
CA,PC,0.0,0.0,0.0,22
CA,CS,0.0,0.0,0.0,22
CA,CH,0.0,0.0,0.0,22
CA,BU,0.0,0.0,0.0,22
CA,BT,0.0,0.0,0.0,22
CA,PV,0.0,0.0,0.0,22
CA,EL,0.0,0.0,0.0,22
CA,CD,0.0,0.0,0.0,29
CA,DP,0.0,0.0,0.0,29
CA,CA,0.0,0.16762294438057437,0.05874461114751907,29
CA,PC,0.0,0.0,0.0,29
CA,CS,0.0,0.0,0.0,29
CA,CH,0.0,0.0,0.0,29
CA,BU,0.0,0.0,0.0,29
CA,BT,0.0,0.0,0.0,29
CA,PV,0.0,0.0,0.0,29
CA,EL,0.0,0.0,0.0,29
CA,CD,0.0,0.0,0.0,36
CA,DP,0.0,0.0,0.0,36
CA,CA,0.03253333266666667,0.16762294438057437,0.05874461114751907,36
CA,PC,0.0,0.0,0.0,36
CA,CS,0.0,0.0,0.0,36
CA,CH,0.0,0.0,0.0,36
CA,BU,0.0,0.0,0.0,36
CA,BT,0.0,0.0,0.0,36
CA,PV,0.0,0.0,0.0,36
CA,EL,0.0,0.0,0.0,36
CD,CD,0.0055000000000000005,0.005499999999999999,1.8118595785761773e-18,1
CD,DP,0.0,0.0,0.0,1
CD,CA,0.0,0.0,0.0,1
CD,PC,0.0,0.0,0.0,1
CD,CS,0.0,0.0,0.0,1
CD,CH,0.0,0.0,0.0,1
CD,BU,0.0,0.0,0.0,1
CD,BT,0.0,0.0,0.0,1
CD,PV,0.0,0.0,0.0,1
CD,EL,0.0,0.0,0.0,1
CD,CD,0.20310000066666664,0.24021871778654894,0.07897313872003695,2
CD,DP,0.0,0.0,0.0,2
CD,CA,0.0,0.0,0.0,2
CD,PC,0.0,0.0,0.0,2
CD,CS,0.0,0.0,0.0,2
CD,CH,0.0,0.0,0.0,2
CD,BU,0.0,0.0,0.0,2
CD,BT,0.0,0.0,0.0,2
CD,PV,0.0,0.0,0.0,2
CD,EL,0.0,0.0,0.0,2
CD,CD,0.27653332066666664,0.24021896478722082,0.0789735542533073,8
CD,DP,0.0,0.0,0.0,8
CD,CA,0.0,0.0,0.0,8
CD,PC,0.0,0.0,0.0,8
CD,CS,0.0,0.0,0.0,8
CD,CH,0.0,0.0,0.0,8
CD,BU,0.0,0.0,0.0,8
CD,BT,0.0,0.0,0.0,8
CD,PV,0.0,0.0,0.0,8
CD,EL,0.0,0.0,0.0,8
CD,CD,0.397033333,0.24021896478722082,0.0789735542533073,15
CD,DP,0.0,0.0,0.0,15
CD,CA,0.0,0.0,0.0,15
CD,PC,0.0,0.0,0.0,15
CD,CS,0.0,0.0,0.0,15
CD,CH,0.0,0.0,0.0,15
CD,BU,0.0,0.0,0.0,15
CD,BT,0.0,0.0,0.0,15
CD,PV,0.0,0.0,0.0,15
CD,EL,0.0,0.0,0.0,15
CD,CD,0.4214,0.24021896478722082,0.0789735542533073,22
CD,DP,0.0,0.0,0.0,22
CD,CA,0.0,0.0,0.0,22
CD,PC,0.0,0.0,0.0,22
CD,CS,0.0,0.0,0.0,22
CD,CH,0.0,0.0,0.0,22
CD,BU,0.0,0.0,0.0,22
CD,BT,0.0,0.0,0.0,22
CD,PV,0.0,0.0,0.0,22
CD,EL,0.0,0.0,0.0,22
CD,CD,0.358099992,0.24021896478722082,0.0789735542533073,29
CD,DP,0.0,0.0,0.0,29
CD,CA,0.0,0.0,0.0,29
CD,PC,0.0,0.0,0.0,29
CD,CS,0.0,0.0,0.0,29
CD,CH,0.0,0.0,0.0,29
CD,BU,0.0,0.0,0.0,29
CD,BT,0.0,0.0,0.0,29
CD,PV,0.0,0.0,0.0,29
CD,EL,0.0,0.0,0.0,29
CD,CD,0.325333342,0.24021896478722082,0.0789735542533073,36
CD,DP,0.0,0.0,0.0,36
CD,CA,0.0,0.0,0.0,36
CD,PC,0.0,0.0,0.0,36
CD,CS,0.0,0.0,0.0,36
CD,CH,0.0,0.0,0.0,36
CD,BU,0.0,0.0,0.0,36
CD,BT,0.0,0.0,0.0,36
CD,PV,0.0,0.0,0.0,36
CD,EL,0.0,0.0,0.0,36
CD_BT,CD,0.0027500000000000003,0.0027499999999999994,9.059297892880886e-19,1
CD_BT,DP,0.0,0.0,0.0,1
CD_BT,CA,0.0,0.0,0.0,1
CD_BT,PC,0.0,0.0,0.0,1
CD_BT,CS,0.0,0.0,0.0,1
CD_BT,CH,0.0,0.0,0.0,1
CD_BT,BU,0.0,0.0,0.0,1
CD_BT,BT,0.0027500000000000003,0.0027499999999999994,9.059297892880886e-19,1
CD_BT,PV,0.0,0.0,0.0,1
CD_BT,EL,0.0,0.0,0.0,1
CD_BT,CD,0.17117832533333335,0.05925561716881477,0.039505452512625876,2
CD_BT,DP,0.0,0.0,0.0,2
CD_BT,CA,0.0,0.0,0.0,2
CD_BT,PC,0.0,0.0,0.0,2
CD_BT,CS,0.0,0.0,0.0,2
CD_BT,CH,0.0,0.0,0.0,2
CD_BT,BU,0.0,0.0,0.0,2
CD_BT,BT,1.0644550033333333,1.0620617862598036,0.03451190235508191,2
CD_BT,PV,0.0,0.0,0.0,2
CD_BT,EL,0.0,0.0,0.0,2
CD_BT,CD,0.0012943373333333334,0.05382581687074606,0.04384253314681275,8
CD_BT,DP,0.0,0.0,0.0,8
CD_BT,CA,0.0,0.0,0.0,8
CD_BT,PC,0.0,0.0,0.0,8
CD_BT,CS,0.0,0.0,0.0,8
CD_BT,CH,0.0,0.0,0.0,8
CD_BT,BU,0.0,0.0,0.0,8
CD_BT,BT,0.8515056793333334,1.05330440199912,0.030500165977462836,8
CD_BT,PV,0.0,0.0,0.0,8
CD_BT,EL,0.0,0.0,0.0,8
CD_BT,CD,0.0002669676666666667,0.053569773375659165,0.04415619027055498,15
CD_BT,DP,0.0,0.0,0.0,15
CD_BT,CA,0.0,0.0,0.0,15
CD_BT,PC,0.0,0.0,0.0,15
CD_BT,CS,0.0,0.0,0.0,15
CD_BT,CH,0.0,0.0,0.0,15
CD_BT,BU,0.0,0.0,0.0,15
CD_BT,BT,1.2297996986666666,1.0533999711003106,0.030397761170720905,15
CD_BT,PV,0.0,0.0,0.0,15
CD_BT,EL,0.0,0.0,0.0,15
CD_BT,CD,0.0008053896666666667,0.05348519506355981,0.044263243495783956,22
CD_BT,DP,0.0,0.0,0.0,22
CD_BT,CA,0.0,0.0,0.0,22
CD_BT,PC,0.0,0.0,0.0,22
CD_BT,CS,0.0,0.0,0.0,22
CD_BT,CH,0.0,0.0,0.0,22
CD_BT,BU,0.0,0.0,0.0,22
CD_BT,BT,1.2687279436666667,1.0534316471518577,0.030364716366298724,22
CD_BT,PV,0.0,0.0,0.0,22
CD_BT,EL,0.0,0.0,0.0,22
CD_BT,CD,0.00039182433333333325,0.053443212860629204,0.044317004914891205,29
CD_BT,DP,0.0,0.0,0.0,29
CD_BT,CA,0.0,0.0,0.0,29
CD_BT,PC,0.0,0.0,0.0,29
CD_BT,CS,0.0,0.0,0.0,29
CD_BT,CH,0.0,0.0,0.0,29
CD_BT,BU,0.0,0.0,0.0,29
CD_BT,BT,1.0805748523333334,1.0534473220960492,0.03034849753394381,29
CD_BT,PV,0.0,0.0,0.0,29
CD_BT,EL,0.0,0.0,0.0,29
CD_BT,CD,0.0004164066666666667,0.053418235709626206,0.0443491854114445,36
CD_BT,DP,0.0,0.0,0.0,36
CD_BT,CA,0.0,0.0,0.0,36
CD_BT,PC,0.0,0.0,0.0,36
CD_BT,CS,0.0,0.0,0.0,36
CD_BT,CH,0.0,0.0,0.0,36
CD_BT,BU,0.0,0.0,0.0,36
CD_BT,BT,0.964883592,1.0534566327966732,0.03033890567372596,36
CD_BT,PV,0.0,0.0,0.0,36
CD_BT,EL,0.0,0.0,0.0,36
CD_BT_EL,CD,0.0018333330000000001,0.0018333329999999997,4.529648946440443e-19,1
CD_BT_EL,DP,0.0,0.0,0.0,1
CD_BT_EL,CA,0.0,0.0,0.0,1
CD_BT_EL,PC,0.0,0.0,0.0,1
CD_BT_EL,CS,0.0,0.0,0.0,1
CD_BT_EL,CH,0.0,0.0,0.0,1
CD_BT_EL,BU,0.0,0.0,0.0,1
CD_BT_EL,BT,0.0018333330000000001,0.0018333329999999997,4.529648946440443e-19,1
CD_BT_EL,PV,0.0,0.0,0.0,1
CD_BT_EL,EL,0.0018333330000000001,0.0018333329999999997,4.529648946440443e-19,1
CD_BT_EL,CD,0.13766722233333334,0.08152960211117653,0.035120741598078625,2
CD_BT_EL,DP,0.0,0.0,0.0,2
CD_BT_EL,CA,0.0,0.0,0.0,2
CD_BT_EL,PC,0.0,0.0,0.0,2
CD_BT_EL,CS,0.0,0.0,0.0,2
