,species,alpha,ini,cost,success,opt_para
0,BT,0.03,"[0.5694048990358438, -1.5019240695855214]",0.08969969065660019,True,[ 0.76594334 -0.71878847]
1,BT,0.03,"[0.8356652431132684, -1.032239269220415]",0.08969969059449417,True,[ 0.76594208 -0.71878675]
2,BT,0.03,"[0.09564885558262345, -0.7593561255418244]",0.08969969059449512,True,[ 0.76594208 -0.71878676]
4,BT,0.03,"[1.758444052220188, -1.6842761856842]",0.08969969065661362,True,[ 0.76594335 -0.71878847]
5,BU,0.03,"[0.5694048990358438, -1.5019240695855214]",0.22671911378402243,True,[ 0.91645456 -0.96441295]
6,BU,0.03,"[0.8356652431132684, -1.032239269220415]",0.22671911379144463,True,[ 0.91645557 -0.9644143 ]
7,BU,0.03,"[0.09564885558262345, -0.7593561255418244]",0.22671911378402276,True,[ 0.91645456 -0.96441295]
8,BU,0.03,"[1.5641039820300882, -0.02246024043400152]",0.22671911378419235,True,[ 0.91645473 -0.96441318]
9,BU,0.03,"[1.758444052220188, -1.6842761856842]",0.22671911378402265,True,[ 0.91645456 -0.96441295]
10,PV,0.03,"[0.5694048990358438, -1.5019240695855214]",0.17065455611960959,True,[ 0.84127151 -0.84572772]
11,PV,0.03,"[0.8356652431132684, -1.032239269220415]",0.17065455610914948,True,[ 0.84127028 -0.84572602]
12,PV,0.03,"[0.09564885558262345, -0.7593561255418244]",0.1706545561091498,True,[ 0.84127028 -0.84572602]
13,PV,0.03,"[1.5641039820300882, -0.02246024043400152]",0.17065455610915126,True,[ 0.84127027 -0.84572601]
14,PV,0.03,"[1.758444052220188, -1.6842761856842]",0.17065455610915012,True,[ 0.84127028 -0.84572602]
15,CA,0.03,"[0.5694048990358438, -1.5019240695855214]",0.11910608301822903,True,[ 0.63424644 -1.10763218]
16,CA,0.03,"[0.8356652431132684, -1.032239269220415]",0.11910608301700973,True,[ 0.63424585 -1.10763071]
17,CA,0.03,"[0.09564885558262345, -0.7593561255418244]",0.11910608305397795,True,[ 0.63424898 -1.10763847]
18,CA,0.03,"[1.5641039820300882, -0.02246024043400152]",0.1191060830540884,True,[ 0.63424899 -1.10763848]
19,CA,0.03,"[1.758444052220188, -1.6842761856842]",0.11910608305420775,True,[ 0.63424899 -1.10763849]
20,CH,0.03,"[0.5694048990358438, -1.5019240695855214]",0.18219694254206073,True,[ 0.44662254 -0.5610063 ]
21,CH,0.03,"[0.8356652431132684, -1.032239269220415]",0.1821969425420636,True,[ 0.44662253 -0.56100626]
22,CH,0.03,"[0.09564885558262345, -0.7593561255418244]",0.18219694254206306,True,[ 0.44662255 -0.56100632]
23,CH,0.03,"[1.5641039820300882, -0.02246024043400152]",0.1821969425420636,True,[ 0.44662253 -0.56100625]
24,CH,0.03,"[1.758444052220188, -1.6842761856842]",0.18219694254206287,True,[ 0.44662255 -0.56100631]
25,CS,0.03,"[0.5694048990358438, -1.5019240695855214]",0.1346791367060024,True,[ 0.31256944 -0.56394133]
26,CS,0.03,"[0.8356652431132684, -1.032239269220415]",0.134679136706007,True,[ 0.31256943 -0.56394131]
27,CS,0.03,"[0.09564885558262345, -0.7593561255418244]",0.1346791367060008,True,[ 0.31256944 -0.56394134]
28,CS,0.03,"[1.5641039820300882, -0.02246024043400152]",0.13467913673205173,True,[ 0.31257042 -0.56394445]
29,CS,0.03,"[1.758444052220188, -1.6842761856842]",0.13467913673203072,True,[ 0.31257042 -0.56394445]
30,DP,0.03,"[0.5694048990358438, -1.5019240695855214]",0.11058148859992417,True,[ 0.5181576 -1.5270873]
31,DP,0.03,"[0.8356652431132684, -1.032239269220415]",0.1105814886472848,True,[ 0.51816093 -1.52710029]
32,DP,0.03,"[0.09564885558262345, -0.7593561255418244]",0.11058148864738679,True,[ 0.51816093 -1.52710031]
33,DP,0.03,"[1.5641039820300882, -0.02246024043400152]",0.11058148864741493,True,[ 0.51816093 -1.52710031]
34,DP,0.03,"[1.758444052220188, -1.6842761856842]",0.11058148859992575,True,[ 0.51815761 -1.52708732]
35,EL,0.03,"[0.5694048990358438, -1.5019240695855214]",0.08770153552190438,True,[ 0.42975273 -1.32595375]
36,EL,0.03,"[0.8356652431132684, -1.032239269220415]",0.0877015355224206,True,[ 0.42975289 -1.32595455]
37,EL,0.03,"[0.09564885558262345, -0.7593561255418244]",0.08770153552190418,True,[ 0.42975272 -1.32595374]
38,EL,0.03,"[1.5641039820300882, -0.02246024043400152]",0.08770153552243536,True,[ 0.42975289 -1.32595456]
39,EL,0.03,"[1.758444052220188, -1.6842761856842]",0.08770153552242749,True,[ 0.42975289 -1.32595455]
40,PC,0.03,"[0.5694048990358438, -1.5019240695855214]",0.21444524838698945,True,[ 0.22858434 -0.22533801]
41,PC,0.03,"[0.8356652431132684, -1.032239269220415]",0.21444524837423004,True,[ 0.22858406 -0.22533732]
42,PC,0.03,"[0.09564885558262345, -0.7593561255418244]",0.2144452483741746,True,[ 0.22858402 -0.22533722]
43,PC,0.03,"[1.5641039820300882, -0.02246024043400152]",0.21444524837417206,True,[ 0.22858402 -0.22533722]
44,PC,0.03,"[1.758444052220188, -1.6842761856842]",0.21444524878387367,True,[ 0.22858575 -0.22534152]
45,CD,0.03,"[0.5694048990358438, -1.5019240695855214]",0.14728480203070224,True,[ 0.64342388 -0.95094961]
46,CD,0.03,"[0.8356652431132684, -1.032239269220415]",0.14728480203152558,True,[ 0.64342418 -0.95095055]
47,CD,0.03,"[0.09564885558262345, -0.7593561255418244]",0.14728480203071348,True,[ 0.64342392 -0.95094974]
48,CD,0.03,"[1.5641039820300882, -0.02246024043400152]",0.14728480203071181,True,[ 0.64342391 -0.95094973]
49,CD,0.03,"[1.758444052220188, -1.6842761856842]",0.14728480203156422,True,[ 0.64342419 -0.95095057]
